Last Name,First Name,"The European Union often uses its antitrust powers to protect EU-based firms from international competition, rather than to promote greater competition in European markets.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Uncertain,3,I would say the evidence is mixed and I do not enough about it to draw a reasonable conclusion.
Antras,Pol,Uncertain,5,
Bénassy-Quéré,Agnès,Strongly Disagree,5,Many European firms have been targeted.
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Disagree,3,
Bloom,Nicholas,Strongly Disagree,7,
Blundell,Richard William,Uncertain,5,
Carletti,Elena,Disagree,6,
Danthine,Jean-Pierre,Did Not Answer,,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Disagree,7,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,No Opinion,,
Galí,Jordi,No Opinion,,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Disagree,8,"I'd like to see clear evidence for this statement, which I currently do not see"
Griffith,Rachel,Disagree,8,
Guerrieri,Veronica,Agree,6,"This is a weak ""agree"". I think sometimes it does, but sometimes it does not. ""Often"" sounds a bit too strong to me."
Guiso,Luigi,Strongly Disagree,7,
Honohan,Patrick,Uncertain,1,
Kőszegi,Botond,No Opinion,,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"A generalized answer to this question needs to be specify a particular industry. In banking I do not agree, in others I don't know enough."
Krusell,Per,No Opinion,,I don’t know. 
La Ferrara,Eliana,Disagree,3,
Leuz,Christian,Disagree,5,Little hard evidence to support protectionism for mergers or fines. Could be in other areas&we lack similar EU tech firms as counterfactuals
Meghir,Costas,Did Not Answer,,
Neary,Peter,Uncertain,3,"Given the size of the European market, favouring EU-based firms need not be so costly, provided a robust approach is taken to market abuse."
O'Rourke,Kevin,Disagree,5,
Pagano,Marco,Uncertain,1,
Pastor,Lubos,No Opinion,,
Persson,Torsten,Disagree,4,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Disagree,9,"European competition policy focuses on market power (unlike US). No evidence of protectionist motives, quite the contrary."
Prendergast,Canice,Agree,8,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,Disagree,7,
Rey,Hélène,Strongly Disagree,8,Cases against tech giants have been very visible . Does not mean bias. DG comp has a very good record over the years.
Schoar,Antoinette,Did Not Answer,,
Van Reenen,John,Strongly Disagree,9,"EU anti-trust policy similar to US, but enforced more vigorously"
Vickers,John,Did Not Answer,,
Voth,Hans-Joachim,Disagree,7,
Weder di Mauro,Beatrice,Did Not Answer,,
Whelan,Karl,Strongly Disagree,7,This is not my area of academic expertise but this is not my impression of how antitrust rules have operated in the EU.
Wyplosz,Charles,Uncertain,2,Anti-trust is pro-competition but its use can be distorted for protectionist aims. 
Zilibotti,Fabrizio,Disagree,7,
