Last Name,First Name,"The
typical chief executive officer of a publicly traded corporation in the
U.S. is paid more than his or her marginal contribution
to the firm's value.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Mandating that U.S. publicly listed corporations must allow
shareholders to cast a non-binding vote on executive compensation was a good
idea.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4,"CEOs received substantial rents, partly because pay is set by negotiation and with weak oversight. But bad CEO can do huge damage to a firm.",Agree,4,"Yes, but not sufficient given that disperse shareholders may not have sufficient incentives to monitor performance.",,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,2,,Agree,2,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Uncertain,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Autor,David,Uncertain,3,,Disagree,6,I weakly disagree. I suspect that this requirement is ineffective -- so it silences some critics without solving any agency problems.,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Uncertain,5,,Agree,4,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Uncertain,8,"I am fairly confident that the literature is not conclusive on this for the ""typical"" CEO.",Agree,9,I don't think this policy will do much though their have been a few high profile institution-led No votes on these resolutions.,,,,,,,,,,,,,,,,,,
Currie,Janet,Agree,6,,Agree,6,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,7,,Agree,6,"I don't know if it affected pay, but shareholders should have the right to express some view on this.",,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,4,,Agree,2,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,1,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,Hard to test this. ,Agree,5,Seems to have had little effect so far.  Gives stockholders potentially more power at probably low costs of administering it. ,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,3,Big discrepancy between  CEO compensation and long-term shareholder returns.,Uncertain,1,"""Non-binding"" means the mandate has no teeth",,,,,,,,,,,,,,,,,,
Goldin,Claudia,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Uncertain,3,"There are reasons to believe CEO wages = marginal product & to think they are paid more, but I'm unaware of any credible empirical evidence",Agree,8,Difficult to see harm but there is plenty of evidence that more sunshine can improve firm performance.  See below link for an example,,,,,,,,,,,,,,,,,,
Hall,Robert,Uncertain,3,,Uncertain,3,"Ex ante, giving management a significant stake in a company has its logic, so cutting the payoff ex post may be a problem.",,,,,,,,,,,,,,,,,,
Holmström,Bengt,Disagree,4,Very hard to measure MP of CEO. Harder still to assess MP of alternatives to CEO. So CEO mkt not competitive in normal sense. ,Uncertain,4,"Direct shareholder intervention has benefits as well as costs. Costs much underappreciated in current climate. Still, some oversight needed.",,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Uncertain,8,"This depends on how the CEO adds value--as a % increase on the firm's profit base or as an absolute amt.  If the former, no is more likely. ",Uncertain,10,"The vote is good for governance, but mandating it is not. If you don't like how executives are paid, sell the shares.",,,,,,,,,,,,,,,,,,
Judd,Kenneth,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
