Last Name,First Name,Strong competition from foreign producers is likely to encourage greater private sector expenditure on research and development in the home market.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Difficult question where the answer depends significantly on the particular circumstances being considered.
Antras,Pol,Uncertain,8,This is neither clear theoretically (scale effects versus escape competition effects) nor empirically (see Autor et al. versus Bloom et al.)
Bandiera,Oriana,Agree,8,
Blanchard,Olivier,No Opinion,,
Bloom,Nicholas,Strongly Agree,10,Trade and competition is a long established driver of innovation. Autarkies - like North Korea - have little innovation.
Blundell,Richard William,Agree,8,
Carletti,Elena,Agree,5,
Danthine,Jean-Pierre,Agree,3,
De Grauwe,Paul,Uncertain,5,
Eeckhout,Jan,Agree,6,
Fehr,Ernst,Uncertain,9,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Agree,8,
Griffith,Rachel,Uncertain,10,It depends on the capabilities of firms in the home market; if they are too far behind the frontier they won't be able to compete
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Strongly Agree,7,
Guriev,Sergei,Uncertain,8,The relationship between competition and innovation is non-linear
Honohan,Patrick,Agree,1,
Javorcik,Beata,Agree,4,
Kőszegi,Botond,Agree,8,
Krahnen,Jan Pieter,Did Not Answer,,
La Ferrara,Eliana,Uncertain,3,
Leuz,Christian,Uncertain,5,"Evidence in both directions, differing for Europe & US. Difference could depend on domestic comp or labor markets (e.g., trapped factors)"
Mayer,Thierry,Uncertain,9,"My understanding of the literature both in theory and empirics is that this relationship is 
ambiguous."
Meghir,Costas,Strongly Agree,9,
Neary,Peter,Did Not Answer,,
Pagano,Marco,Uncertain,1,
Pastor,Lubos,Uncertain,3,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Strongly Agree,8,R&D will increase the quality of the product or lower its costs and comparative advantage will be restored
Portes,Richard,Strongly Agree,8,
Prendergast,Canice,Uncertain,8,
Rasul,Imran,Agree,6,
Reichlin,Lucrezia,Uncertain,2,
Repullo,Rafael,Uncertain,4,
Rey,Hélène,Uncertain,7,"Depends on the nature of the industry (monopoly, network effects...). "
Schoar,Antoinette,Uncertain,6,
Sturm,Daniel,Strongly Agree,9,
Van Reenen,John,Strongly Agree,10,
Vickers,John,Uncertain,4,
Voth,Hans-Joachim,Uncertain,9,Bell labs? I think there is little reason to expect something really systematic here
Whelan,Karl,Uncertain,5,
Wyplosz,Charles,Uncertain,1,
Zilibotti,Fabrizio,Strongly Agree,10,
