Last Name,First Name,"The European Union often uses its antitrust powers to protect EU-based firms from international competition, rather than to promote greater competition in European markets.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Q4 - Topics,,
Acemoglu,Daron,Uncertain,5,Vigorous anti-trust policy from EU is critical for competition. Question implies domestic bias is EU-specific. US policy is no different.,,,
Alesina,Alberto,Did Not Answer,,,,,
Altonji,Joseph,No Opinion,,,,,
Auerbach,Alan,Agree,3,,,,
Autor,David,No Opinion,,,,,
Baicker,Katherine,No Opinion,,,,,
Banerjee,Abhijit,Uncertain,7,It clearly happens but I have no idea of whether it is often or rarely relative to the demand for such protection. ,,,
Bertrand,Marianne,Disagree,5,,,,
Brunnermeier,Markus,Strongly Agree,9,Panelist misread the question: meant to Strongly Disagree,,,
Chetty,Raj,Did Not Answer,,,,,
Chevalier,Judith,Uncertain,8,There are some outlier cases (GE-Honeywell) but I am not convinced that it is a systemic problem. ,Unknown,,
Cutler,David,Uncertain,4,,,,
Deaton,Angus,Disagree,5,"Not sure what ""often"" means. Sure it has happened, but doubt it is the majority of cases.",,,
Duffie,Darrell,Uncertain,4,,,,
Edlin,Aaron,Did Not Answer,,,,,
Eichengreen,Barry,No Opinion,,,,,
Einav,Liran,Uncertain,1,,,,
Fair,Ray,Agree,3,,,,
Finkelstein,Amy,Did Not Answer,,,,,
Goldberg,Pinelopi,Did Not Answer,,,,,
Goolsbee,Austan,Agree,5,,,,
Greenstone,Michael,Uncertain,4,,,,
Hall,Robert,Agree,7,"The EC's main objective is to hobble American companies. The GE-Honeywell merger denial is an example, a beneficial merger of complements.",,,
Hart,Oliver,Uncertain,5,,,,
Holmström,Bengt,Agree,4,,,,
Hoxby,Caroline,Did Not Answer,,,,,
Hoynes,Hilary,Uncertain,1,,,,
Judd,Kenneth,Uncertain,6,,,,
Kaplan,Steven,Agree,7,,,,
Kashyap,Anil,No Opinion,,"disclosure i am an official of the bank of england, no comment on this",,,
Klenow,Pete,Uncertain,1,,,,
Levin,Jonathan,Uncertain,4,,,,
Maskin,Eric,Disagree,4,Studies I've seen don't support this hypothesis. But I'm hardly an expert myself.,,,
Nordhaus,William,No Opinion,,,,,
Saez,Emmanuel,Disagree,2,,,,
Samuelson,Larry,Disagree,4,"I am not certain, but view EU antitrust policy as sometimes protecting European firms, and often promoting competition.",,,
Scheinkman,José,Uncertain,5,,,,
Schmalensee,Richard,Disagree,8,"Sometimes, sure, but the most visible cases against US firms don't involve EU competitors.  Potential EU entry may be a concern.  ",,,
Shapiro,Carl,Did Not Answer,,,,,
Shimer,Robert,Agree,3,,,,
Stock,James,No Opinion,,,,,
Thaler,Richard,No Opinion,,,,,
Udry,Christopher,Disagree,4,,,,
,,,,,,,
,,,,,,,
