Last Name,First Name,"The lower willingness of private firms to go public, combined with the increased number of publicly traded firms being taken private over the last 25 years, is measurably net negative for economic growth.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"All else equal, reducing regulatory barriers (including reporting requirements such as Sarbanes Oxley 404) to public listing would substantially increase the share of publicly traded firms in the economy.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The lack of transparency about unlisted private firms' financial performance substantially hinders the efficiency of the allocation of capital.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,"Public firms have better access to credit and their actions may be more transparent, but it is not clear whether having fewer public firms has become a major factor in economic growth. Public firms may be subject to more short-termist pressure as well.",Uncertain,2,This sounds reasonable but I do not know the specific evidence supporting or contradicting it.,Uncertain,3,
Aguiar,Mark,Uncertain,3,,Uncertain,3,,Uncertain,3,
Altonji,Joseph,No Opinion,,,No Opinion,,,No Opinion,,
Auerbach,Alan,Uncertain,3,,Agree,3,,Uncertain,3,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Uncertain,5,,Agree,5,But there is no obvious implication that this way of getting them listed is desirable,Agree,3,
Bergemann,Dirk,Uncertain,5,The balance of public and private markets may change over time.,Agree,7,,Disagree,6,
Bertrand,Marianne,Uncertain,5,,Agree,5,,Uncertain,5,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,4,There are too many factors at work to say this. ,Agree,5,,Uncertain,5,
Cutler,David,Uncertain,1,,Uncertain,1,,Agree,5,
Duffie,Darrell,Uncertain,6,,Agree,5,"In just about any activity where there is entry at the margin, lowering the cost of entry increases the quantity of entry.",Uncertain,3,"Holding constant the wide distribution of investors typical of public firms, this is obvious. But private firms have far more concentrated ownership, with a substantial degree of direct shareholder oversight."
Edlin,Aaron,Uncertain,7,"There are pluses and minuses to being public and none are fully understood. For example, public firms may be more concerned with short term financial results or accounting instead of economic profits. ",Agree,7,,Uncertain,6,
Eichengreen,Barry,Uncertain,1,,Uncertain,1,,Uncertain,1,
Einav,Liran,Uncertain,1,,Agree,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Uncertain,5,,Uncertain,5,
Glaeser,Edward,Disagree,5,,Uncertain,5,,Disagree,5,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Uncertain,2,,Agree,5,,Strongly Agree,5,"With apologies for the self-reference, this paper demonstrates the benefits of SEC mandatory disclosure rules."
Hart,Oliver,Uncertain,5,,Agree,6,But that does not mean it's a good idea,Agree,6,The lack of transparency of large private firms is bad for many reasons including that we don't know about the environmental damage they are causing
Holmström,Bengt,Agree,5,Loss of investment opportunities for the broader public is a significant negative. ,Agree,6,Excessive regulation has reduced attraction to list.,Agree,3,
Hoxby,Caroline,No Opinion,,,Agree,10,,Agree,6,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Hurst,Erik,Disagree,5,,Agree,3,,Disagree,3,
Judd,Kenneth,Agree,6,The risk-sharing function of public equity allows firms to raise large amounts of capital efficiently.,Agree,3,"It is easy to blame regulation but other important factors are taxes, the concentration of wealth, and the technological improvements in organizing that wealth as private equity.",Agree,7,Transparency is necessary for the market to efficiently aggregate information.
Kaplan,Steven,Strongly Disagree,8,Economic growth in the U.S. and world has been solid.  Private equity tends to improve productivity.,Strongly Agree,9,Economics 101.  Regulation and costs to being public appear to have increased over time.,Disagree,8,
Kashyap,Anil,Uncertain,5,see the explanation following the next two questions ,Agree,7,"There are plenty of reporting burdens that public firms face, not clear that they are all constructive   ",Uncertain,5,The lack of transparency definitely hinders the allocation and judging the quantitative impact is hard.  This is the downside of the rise in the share of private firms.   
Klenow,Pete,Disagree,1,,Disagree,1,,Agree,1,
Levin,Jonathan,Uncertain,4,,Agree,6,,Uncertain,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Disagree,4,,Disagree,4,,Agree,6,
Obstfeld,Maurice,Uncertain,1,,Agree,1,,Uncertain,1,
Pathak,Parag,Uncertain,5,,Uncertain,4,,Uncertain,5,
Samuelson,Larry,Uncertain,1,,Uncertain,1,"Other factors, such as increases in private capital and the increased importance of intangible assets also lead to the reduction in the number of public forms, so it is difficult to assess the importance of regulatory barriers.",Agree,4,
Scheinkman,José,Uncertain,6,,Uncertain,6,Reporting requirements are costly but associated enforcement by government and penalties lower agency costs. ,Uncertain,5,
Schmalensee,Richard,Uncertain,4,,Agree,3,,Uncertain,3,
Scott Morton,Fiona,Agree,7,,No Opinion,,,Strongly Agree,7,"When corporations can hide their business plans, it allows them to have strategies that are illegal or would be made illegal if governments realized what was happening. Investments in these business models are inefficient and wrong."
Shapiro,Carl,Uncertain,7,,Agree,2,,Uncertain,6,
Shimer,Robert,Uncertain,3,The answer depends on why this has happened.  Improvements in private equity should help growth.  Worsening conditions for publicly-traded companies hurts growth.,Agree,4,,Disagree,4,
Stantcheva,Stefanie,Agree,3,,Uncertain,4,,Agree,4,
Stokey,Nancy,No Opinion,,,No Opinion,,,No Opinion,,
Syverson,Chad,Uncertain,3,"I'm not clear on this one at all. Maybe startups' strategy shift from IPO to acquisition is somewhat harmful, but beyond that I just don't know.",Agree,6,"If you reduce the cost of doing something that is beneficial to someone, they will do more of it.",Agree,3,I would defer strongly to my accounting colleagues here.
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,No Opinion,,,Agree,3,,Uncertain,2,
Werning,Ivan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
