Last Name,First Name,"Long run fiscal sustainability in the U.S. will require cuts in currently promised Medicare and Medicaid benefits and/or tax increases that include higher taxes on households with incomes below $250,000.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,
Acemoglu,Daron,Strongly Agree,5,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,9,Health spending per recipient can rise above current levels.  Reform is needed to make health spending increases affordable given GDP growth,,,,,,,,,,,,,,,,
Auerbach,Alan,Strongly Agree,10,,,,,,,,,,,,,,,,,
Autor,David,Strongly Agree,10,The mixture of rising government spending on healthcare and extremely low U.S. tax-rates is unsustainable. ,,,,,,,,,,,,,,,,
Baicker,Katherine,Strongly Agree,6,,,,,,,,,,,,,,,,,
Bertrand,Marianne,No Opinion,,,,,,,,,,,,,,,,,,
Chetty,Raj,Strongly Agree,9,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,9,Social security may be in the menu of and/or solutions as well. ,,,,,,,,,,,,,,,,
Currie,Janet,Strongly Agree,10,It is not possible to solve U.S. budget problems without addressing the high cost of medical care and increasing taxes.,,,,,,,,,,,,,,,,
Cutler,David,Uncertain,5,"This seems obvious, but there is so much waste in health care that if we do it right, we'll very significantly reduce the costs of care.",,,,,,,,,,,,,,,,
Deaton,Angus,Strongly Agree,9,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,3,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,8,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,7,,,,,,,,,,,,,,,,,
Fair,Ray,Strongly Agree,5,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Agree,3,As long as taxes on those with incomes > $250K were already increased and revenues collected were insufficient. ,,,,,,,,,,,,,,,,
Goolsbee,Austan,Uncertain,4,,,,,,,,,,,,,,,,,
Greenstone,Michael,Did Not Answer,,,,,,,,,,,,,,,,,,
Hall,Robert,Agree,8,"Rationalization is a better term than cuts. Equal health outcomes are possible with much less spending.
",,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,8,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Strongly Agree,10,"Fiscal gap studies (e.g. Auerbach, Kotlikoff) show this is true unless, of course, health care costs fall dramatically--but why should they?",,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,8,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,7,"Can't escape doing something about medical spending and even if we do, we will need more taxes on everyone",,,,,,,,,,,,,,,,
Klenow,Pete,Strongly Agree,10,The sooner we face up to this the better.,,,,,,,,,,,,,,,,
Lazear,Edward,Uncertain,5,"Cuts or less rapid growth? Keep benefits constant in real terms or relative to wages?  If mean real growth, I agree need more tax on all.",,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,,,,,,,,,,,,,,,,
Nordhaus,William,Did Not Answer,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Strongly Agree,9,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Uncertain,7,The key is controlling health care costs growth which does not necessarily imply reneging on Medicaid/Medicare benefits promises,,,,,,,,,,,,,,,,
Scheinkman,José,Did Not Answer,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Agree,5,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Agree,7,,,,,,,,,,,,,,,,,
Stock,James,Did Not Answer,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Agree,8,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,7,Arithmetic.  And too unlikely that Congress will find cuts elsewhere such as farm and oil subsidies and DoD.,,,,,,,,,,,,,,,,
Udry,Christopher,Agree,8,The main alternative is a substantial reduction in the growth rate of medical care costs.,,,,,,,,,,,,,,,,
Zingales,Luigi,Agree,7,,,,,,,,,,,,,,,,,
