Last Name,First Name,"Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was lower at the end of 2010 than it would have been without the stimulus bill. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found here.)",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Taking into account all of the ARRA’s economic consequences — including the economic costs of raising taxes to pay for the spending, its effects on future spending, and any other likely future effects — the benefits of the stimulus will end up exceeding its costs. (The experts panel previously voted on this question on February 15, 2012. Those earlier results can be found here.)",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,,Uncertain,3,
Alesina,Alberto,Disagree,8,,Disagree,7,
Altonji,Joseph,Strongly Agree,6,,Strongly Agree,6,
Auerbach,Alan,Strongly Agree,7,,Agree,5,
Autor,David,Agree,8,"Can never be certain, but evidence suggests that ARRA was effective in preventing the Great Recession from being even more calamitous. ",Strongly Agree,8,
Baicker,Katherine,Agree,3,,Uncertain,3,
Banerjee,Abhijit,Strongly Agree,7,,Agree,7,
Bertrand,Marianne,Agree,5,,Agree,5,
Brunnermeier,Markus,Strongly Agree,8,,Agree,6,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Currie,Janet,Agree,6,,Agree,7,
Cutler,David,Strongly Agree,10,,Strongly Agree,8,
Deaton,Angus,Strongly Agree,7,,Strongly Agree,7,
Duffie,Darrell,Agree,5,"Usually, when an activity is subsidized, it increases.  Inefficiency feedback effects would need to be strong to defeat the direct effect.  ",Uncertain,5,Stimulus of this type was potentially valuable.  But I don't know much about the mechanics and efficiency of this particular program.  
Edlin,Aaron,Strongly Agree,8,,Agree,8,
Eichengreen,Barry,Strongly Agree,9,,Agree,6,
Einav,Liran,Agree,6,,Agree,5,
Fair,Ray,Agree,5,,Uncertain,5,My results suggest that it is about a wash.  See the URL.  
Finkelstein,Amy,Strongly Agree,5,,Agree,5,
Goldberg,Pinelopi,Agree,5,,Agree,5,
Goolsbee,Austan,Strongly Agree,10,,Strongly Agree,10,
Greenstone,Michael,Strongly Agree,8,There is pretty convincing empirical literature in support  Plus the budget cutting since ARRA seems related to the slow employment recovery,Agree,7,Cumulative gap between potential & actual output much larger w/o ARRA.  But would harmful budget cutting have happened w/o ARRA?  Prob yes.
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Agree,9,Given that wages/prices are sticky Keynesian-type stimulus will increase economic activity if the economy is not at full employment.,Agree,9,Given that infrastructure expenditure was needed this was a good time to do it and so the benefits exceeded any costs.
Holmström,Bengt,Agree,7,,Agree,5,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Strongly Agree,10,,Strongly Agree,10,
Judd,Kenneth,Agree,4,,Uncertain,7,
Kaplan,Steven,Agree,7,,Disagree,7,
Kashyap,Anil,Strongly Agree,7,This is a very low bar,Uncertain,3,"Probably was worth it, but the political economy costs of the poor marketing and the fact that is was poorly designed have dogged it. "
Klenow,Pete,Agree,7,Caveat: The Fed may have pursued less unconventional stimulus (than it otherwise would have) because of the Fiscal Stimulus package.,Uncertain,6,
Levin,Jonathan,Agree,4,,Uncertain,4,
Maskin,Eric,Agree,7,,Agree,7,
Nordhaus,William,Strongly Agree,8,,Strongly Agree,7,
Saez,Emmanuel,Strongly Agree,8,,Strongly Agree,7,
Samuelson,Larry,Agree,7,,Uncertain,1,"This is too complicated a cost-benefit problem to assess.  I think the ARRA was a good idea, but this reflects faith rather than analysis."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Agree,5,,Agree,6,
Shapiro,Carl,Strongly Agree,9,,Strongly Agree,9,
Shimer,Robert,Agree,4,"Evidence for Keynesian channels of expansionary fiscal stimulus are weak, but the multiplier should still be positive",Uncertain,5,Cost benefit analysis is tricky here. There were winners and losers. Still it would have been difficult to do nothing
Stokey,Nancy,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Strongly Agree,2,,Agree,2,
