Last Name,First Name,Changes in U.S. gasoline prices over the past 10 years have predominantly been due to market factors rather than U.S. federal economic or energy policies.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,9,
Auerbach,Alan,Strongly Agree,9,
Autor,David,Strongly Agree,8,
Baicker,Katherine,Agree,4,
Bertrand,Marianne,Agree,1,
Chetty,Raj,Agree,6,
Chevalier,Judith,Agree,8,
Currie,Janet,Agree,7,
Cutler,David,Agree,4,
Deaton,Angus,Strongly Agree,9,
Duffie,Darrell,Agree,7,"Supply and demand for oil are relatively global. US regulation does, however, have an influence on domestic supplies of some products. "
Edlin,Aaron,Agree,8,
Eichengreen,Barry,Agree,9,
Fair,Ray,Strongly Agree,7,
Goldberg,Pinelopi,Agree,6,US domestic policy has only tiny effects on the world price of oil. US foreign policy is probably more relevant than energy policy.
Goldin,Claudia,Strongly Agree,5,
Goolsbee,Austan,Strongly Agree,9,
Greenstone,Michael,Strongly Agree,8,
Hall,Robert,Strongly Agree,8,Policy has basically permitted free trade in oil and oil products.
Holmström,Bengt,Agree,7,
Hoxby,Caroline,Uncertain,7,Direct effect (e.g.via oil reserve) of Fed energy policy on short term prices=negligible. Effect on long-run prices could be considerable.
Judd,Kenneth,Strongly Agree,9,
Kashyap,Anil,Agree,7,
Klenow,Pete,Strongly Agree,5,
Lazear,Edward,Agree,8,Govt policy that affects supply feeds into market prices over the long run.  Short run variations are almost completely unrelated to govt.
Levin,Jonathan,Agree,5,
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,9,
Obstfeld,Maurice,Strongly Agree,9,
Rouse,Cecilia,Strongly Agree,8,
Saez,Emmanuel,Strongly Agree,5,
Scheinkman,José,Agree,6,
Schmalensee,Richard,Strongly Agree,9,
Shin,Hyun Song,Agree,8,
Stock,James,Agree,9,
Stokey,Nancy,Uncertain,4,"US energy policy (about where drilling is permitted, energy taxes) affects market outcomes, so an either-or question is a little off base."
Thaler,Richard,Strongly Agree,9,
Udry,Christopher,Strongly Agree,8,
Zingales,Luigi,Uncertain,3,
