Last Name,First Name,"Even if all the official-sector funding that Greece received from 2010 through August 2012 is written off, propping up Greece to buy time for the rest of Europe to prepare for Greek default has been better for citizens of the Eurozone outside of Greece than a policy that would have cut off funding sooner.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"A substantial sovereign-debt default by some combination of Greece, Ireland, Italy, Portugal and Spain is a necessary condition for the euro area as a whole to grow at its pre-crisis trend rate over the next three years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Unless there is a substantial default by some combination of Greece, Ireland, Italy, Portugal and Spain on their sovereign debt and commercial bank debt, plus credible reforms to prevent excessive borrowing in the future, the euro area is headed for a costly financial meltdown and a prolonged recession.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,6,,Strongly Agree,7,,Strongly Agree,7,
Alesina,Alberto,Disagree,6,,Strongly Disagree,8,,Strongly Disagree,9,
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Uncertain,3,,Uncertain,3,,Uncertain,3,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,
Baicker,Katherine,No Opinion,,,No Opinion,,,No Opinion,,
Bertrand,Marianne,Uncertain,1,,Uncertain,1,,Uncertain,1,
Chetty,Raj,No Opinion,,,No Opinion,,,No Opinion,,
Chevalier,Judith,Uncertain,2,,Uncertain,1,,Agree,2,
Currie,Janet,Uncertain,2,,Uncertain,1,,Uncertain,1,
Cutler,David,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Deaton,Angus,Agree,7,,Agree,4,,Agree,4,
Duffie,Darrell,Agree,7,"An immediate default would have left some Euro zone banks unprepared, and possibly have generated runs. That risk is now reduced.",Disagree,7,More restructuring might help a lot if managed carefully.  But I don't see that this this a necessary condition for growth.,Disagree,7,"The question leaves no other options for avoiding meltdown. There are other options, including muddling through with ECB support."
Edlin,Aaron,Uncertain,5,,Uncertain,3,,Uncertain,2,
Eichengreen,Barry,Uncertain,1,"Earlier restructuring of Greece's private and official debt would have been better, but IGM's ""cutting off funding"" language is ambiguous.",Uncertain,1,"Without getting into ""necessary but not sufficient"" quibbles the EZ is not going to grow at its pre-crisis rate in the next 3 years, period.",Uncertain,1,"More debt restructuring is coming. But I would not unconditionally forecast a ""costly financia meltdown"" in its absence. It depends on Mario"
Fair,Ray,Uncertain,5,,Uncertain,5,,Uncertain,5,This question and the other 2 are too broad.  Many other things matter and these are not held constant in the questions.  
Goldberg,Pinelopi,Agree,7,,Disagree,6,There are many ways to transfer wealth from the North to the South; default is not the only option.,Disagree,7,"Structural reforms are essential. But again, default is not the only way to reduce the debt burden of Greece, etc..."
Goldin,Claudia,No Opinion,,,No Opinion,,,No Opinion,,
Goolsbee,Austan,Uncertain,6,,Disagree,5,even that won't work,Disagree,6,"misaligned exchange rates mean slow growth. slow growth means no solving the problem, regardless"
Greenstone,Michael,No Opinion,,,No Opinion,,,No Opinion,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Holmström,Bengt,Uncertain,5,Buying time was sensible at least initially. In retrospect it looks like a bad call.,Agree,6,,Agree,4,The timing and character of the default matters a lot for the consequences. EZ needs to be better prepared for it.
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Uncertain,1,,Disagree,3,,Disagree,3,
Kashyap,Anil,Disagree,5,Better to have backstopped all the banks and let Greece default in early 2010 -- contagion was manageable then if the banks were supported,Uncertain,3,ECB could inflate things away (and maybe the OMT is the first step) which is another form of default.  ,Uncertain,3,"Again inflating is the alternative -- a clean restructuring is probably better, but inflation may be the path of least resistance.  "
Klenow,Pete,Uncertain,1,"The IMF seems to think so, but it's not clear to me.",Disagree,1,"Necessary condition is just too strong.  There's a lot of uncertainty in any forecast, including upside as well as downside.",Disagree,1,I think it's still possible for a virtuous cycle without more defaults.
Lazear,Edward,Disagree,6,Danger of contagion has been overstated.,Uncertain,5,,Uncertain,5,Too toug to predict business cycle activity let alone the effect of a particular factor on it in this case. 
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Agree,7,,Agree,6,,Agree,6,
Nordhaus,William,Strongly Agree,8,,Disagree,5,,Uncertain,5,
Obstfeld,Maurice,Uncertain,9,,Uncertain,9,"Greece has already defaulted, and its government debt still looks unsustainable.",Uncertain,9,
Saez,Emmanuel,Uncertain,3,,Agree,3,,Agree,2,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Uncertain,5,,Agree,3,,Agree,3,
Shin,Hyun Song,Agree,8,,Agree,8,,Strongly Agree,9,
Stokey,Nancy,No Opinion,,,No Opinion,,,No Opinion,,
Thaler,Richard,No Opinion,,,No Opinion,,,No Opinion,,
Udry,Christopher,No Opinion,,,Uncertain,1,,Uncertain,1,
Zingales,Luigi,Disagree,3,I do not think it has been better for Greece either,Disagree,5,,Agree,3,
