Last Name,First Name,Cuba’s low per-capita income growth — 1.2 percent per year since 1960 —has more to do with Cuba’s own economic policies than with the U.S. embargo on trade and tourism.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Strongly Agree,10,
Altonji,Joseph,Agree,4,
Auerbach,Alan,Strongly Agree,8,
Autor,David,Agree,7,Cuba is stuck in the 1950s primarily due to its internal policies not external constraints. 
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,Strongly Agree,2,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,4,"Of course, lost tourism opportnties, etc. might also be important.  Parsing it out an empirical question. "
Currie,Janet,Agree,7,"Sanctions are not perfectly binding, and other countries subject to U.S.sanctions have continued to grow."
Cutler,David,Strongly Agree,7,
Deaton,Angus,Agree,3,"Seems likely, but I know nothing concrete about the Cuban economy."
Duffie,Darrell,Agree,2,"The embargo is also likely to have been an important factor, and may be partly responsible for sustaining Cuba's internal economic policies."
Edlin,Aaron,Agree,4,"Trade certainly matters for growth.  Many countries though would trade with Cuba, so probably its own policies were more important."
Eichengreen,Barry,Strongly Agree,8,
Fair,Ray,Agree,1,
Goldberg,Pinelopi,Uncertain,1,"Cuba's economic policies were flawed, but cutting off a small country from the rest of the world has detrimental effects on its growth. "
Goldin,Claudia,Agree,4,
Goolsbee,Austan,Strongly Agree,10,communist dictatorship not exactly a growth strategy. I bet that stated growth rate even overstates reality
Greenstone,Michael,Agree,5,
Hall,Robert,Agree,4,"That is, with free-market policies and honest competent government, a Caribbean country could prosper without US trade or tourists."
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Strongly Agree,9,"If Cuba allocated labor & capital to the most productive uses, growth would be higher. The US is too small as % of world trade to prevent it"
Judd,Kenneth,Did Not Answer,,
Kashyap,Anil,Strongly Agree,7,"Gravity model suggests adverse effects from the embargo, but destroying the price system and using command and control instead hurts more. "
Klenow,Pete,Strongly Agree,8,The embargo was mitigated by Cuban trade with other countries (trade diversion).
Lazear,Edward,Agree,8,See Jamaica v. Barbados and other Caribb. nations that are not embargoed.  Their growth depends on local policy.  Other evidence as well.
Levin,Jonathan,No Opinion,,
Maskin,Eric,Agree,6,
Nordhaus,William,Uncertain,1,
Obstfeld,Maurice,Agree,4,
Saez,Emmanuel,Agree,5,
Scheinkman,José,Strongly Agree,7,
Schmalensee,Richard,Strongly Agree,8,
Shin,Hyun Song,Agree,7,
Stock,James,Did Not Answer,,
Stokey,Nancy,Agree,6,
Thaler,Richard,Agree,3,Seems right but I cannot think of any good reason to maintain this boycot.  Hurts US biz interests and Cuban people.
Udry,Christopher,Agree,7,
Zingales,Luigi,Strongly Agree,7,
