Last Name,First Name,"Slavery in the United States was eradicated because of social and political events, not because it was an unprofitable institution for slaveholders.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Strongly Agree,10,,,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,2,,,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,3,,,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,5,,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Uncertain,1,,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Strongly Agree,9,,,,,,,,,,,,,,,,,,,,,
Currie,Janet,Agree,7,,,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,5,,,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,4,,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,7,It is unusual to fight hard (and die) to preserve an unprofitable institution. ,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,8,,,,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Uncertain,3,"This was clearly Fogel's main thesis, but it is not uncontroversial.",,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Strongly Agree,10,,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Uncertain,1,We will miss Fogel here at Chicago.,,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Strongly Agree,10,"I would have said ""Slavery was abolished because it was morally deeply wrong, not because it was in the owners' interest to free slaves""",,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Agree,8,"I read & do not research this topic, but this is my take-away from much reading.  I would defer to greater experts, however.",,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,7,Time on a Cross was very convincing -- and so disturbing to my sister-in-law that she decided not to be an econ major after reading it!,,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,4,,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,3,,,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,5,,,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,5,,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,7,,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Agree,7,,,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Agree,8,"Bob Fogel, who was an exemplary scholar, a courteous colleague, and a warm, kind person.  He will be greatly missed.",,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Strongly Agree,7,Fogel and Engerman make a convincing case.,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
