Last Name,First Name,"Overall, public spending on the arts in Europe creates benefits that exceed the deadweight loss caused by taxation to fund it.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Additional public spending on the arts in Europe would create incremental benefits that exceed the deadweight loss caused by taxation to fund it.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,3,It's difficult issue involving both funding of public goods and inequality issues.,Uncertain,4,Ascertaining the optimal level is again very difficult.
Antras,Pol,Agree,6,,Uncertain,5,"I am not sure about whether additional spending is needed, or whether taxes should be lowered, but net subsidies seem low."
Bénassy-Quéré,Agnès,Agree,5,,Disagree,5,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,No Opinion,,Entirely an empirical matter and I do not know the facts.  ,No Opinion,,
Bloom,Nicholas,Uncertain,5,I worry about inequality  - the consumers of the arts tend to be wealthier and more educated.,Disagree,5,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,5,,Uncertain,5,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Uncertain,7,,Uncertain,7,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,3,,Uncertain,3,
Galí,Jordi,Agree,5,,Uncertain,5,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Agree,5,,Uncertain,5,
Griffith,Rachel,Agree,6,"Difficult to measure benefits from the arts, but my sense is that there are large social benefits of free museums etc.",Uncertain,4,"Difficult to answer for Europe as a whole, big differences in size of state and funding of arts across Europe"
Guerrieri,Veronica,Uncertain,2,,Uncertain,2,
Guiso,Luigi,Strongly Agree,9,"Europe has an immense endowment that creates lots if spillovers, but needs maintenance.",Strongly Agree,8,
Honohan,Patrick,Agree,1,,No Opinion,,
Javorcik,Beata,Agree,8,,Agree,6,
Kőszegi,Botond,Disagree,3,,Disagree,4,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,5,"Clearly, the statement is subject to decreasing marginal returns, so the optimal amount of spending is finite.",Uncertain,4,"Given the high level of public spending on the arts in Europe, we may have reached the point of negative marginal returns in some countries."
Krusell,Per,Agree,4,I'm no expert on this but I think there are good reasons for some amount of support of the arts.,No Opinion,,"I'm not aware of the current level of support. As I said, some public support is called for."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,4,"Often public good arg & WTP thru taxes can be high, but pos external & dw loss hard to measure. Complicated distributional& pol. econ consid",Uncertain,4,"Less likely than A, but still unclear. Some evidence that spending is opportunistic by politicians but also used to attract human capital."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,4,This is a value judgement not a statement about efficiency. Cost issues and equity in access should be taken into account too.,Uncertain,4,
O'Rourke,Kevin,Strongly Agree,10,,Agree,9,
Pagano,Marco,Uncertain,1,,Uncertain,1,
Pastor,Lubos,Uncertain,3,,Uncertain,3,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Strongly Agree,8,The non-monetary benefits in Europeans' preference functions far exceed any dead weight costs,Strongly Agree,10,Governments panic about the votes taxation loses them and spend too little on things like the arts
Portes,Richard,Strongly Agree,10,I am President of a small foundation that gives to the arts. I know what that funding means.,Strongly Agree,10,
Prendergast,Canice,Agree,9,,Agree,9,
Reichlin,Lucrezia,Agree,3,,Agree,3,
Repullo,Rafael,Strongly Agree,6,,Uncertain,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,,Disagree,7,
Sturm,Daniel,Agree,5,,Uncertain,5,
Van Reenen,John,Agree,6,,Agree,3,
Vickers,John,Strongly Agree,4,,Uncertain,4,
Voth,Hans-Joachim,Strongly Agree,9,,Agree,8,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Uncertain,5,,Uncertain,1,
Wyplosz,Charles,No Opinion,,,No Opinion,,
Zilibotti,Fabrizio,Agree,4,,Uncertain,1,
