Last Name,First Name,"A price cap imposed by the G7/EU countries on purchases of Russian oil and oil-related products (and which applies to all importers of Russian oil using Western trade infrastructure, shipping, and insurance) would be an effective measure to reduce the flow of revenues to Russia.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The oil price cap imposed by the G7/EU countries will not have a substantial effect on the world oil price (such as the Brent crude benchmark).,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,"How effective it will be, depends on how much the measure is enforced by US secondary sanctions and other means. ",Uncertain,5,It probably won't have much effect unless the cap works well. There are probably many ways around the cap. 
Antras,Pol,Did Not Answer,,,Did Not Answer,,
Bénassy-Quéré,Agnès,Uncertain,5,,Agree,5,"2 opposite effects: higher global supply, but also higher global demand due to the cap."
Blanchard,Olivier,Agree,5,"A well designed price cap, just such as to give Russia the incentive to sell at the cap rather than just stop selling.  Want to affect revenues, not quantities sold.  Hard to do right.  ",Uncertain,4,"Complex: If price cap leads Russia to stop selling to the cappers and cannot fully reallocate to other buyers, there is a decrease in world supply and increase in the market. 
 price.  If Russia sells to price cappers, then no obvious major effect on the remaining market price.  "
Bloom,Nicholas,No Opinion,,,No Opinion,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Strongly Agree,8,"Price caps (and floors) typically generate distortions. True. But in extraordinary times, like during a war after a pandemic, policy recommendations based on EC101 models should become more sophisticated. A temporary price cap together with other policy measures can help a lot.",Strongly Agree,8,
Carletti,Elena,Agree,5,,Uncertain,4,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Agree,7,,Agree,6,
Eeckhout,Jan,Agree,6,A tax would be better as it reduces income to Russia and provides the right incentives to look for other sources (at lower prices). The complication is that Russian oil/gas is effectively a state monopoly (even private firms must follow the Kremlin) that can ration.,Uncertain,6,
Fehr,Ernst,Agree,6,,Agree,6,
Freixas,Xavier,Strongly Agree,7,A reduction in demand should result in a lower price.,Strongly Agree,7,Other countries will supply the oil
Fuchs-Schündeln,Nicola,Agree,6,,Uncertain,3,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Uncertain,5,,Agree,8,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,6,it seems Russia has few margins to sell gas   to other countries,Uncertain,5,
Guriev,Sergei,Strongly Agree,8,,Uncertain,5,
Honohan,Patrick,Uncertain,3,Far from fully effective and not as good as a selective tax on imports of Russian energy products,Agree,1,
Javorcik,Beata,Disagree,4,,Agree,4,
Kőszegi,Botond,Agree,7,,Agree,3,
Krahnen,Jan Pieter,Agree,4,"Given a price cap, Russia could either accept it or reject it. If it accepted, then revenues will be reduced unless either quantity is rising (demand rises w/ lower prices) or prices in the non-affected markt is rising. If rejected, Russia may face additional costs in marketing.",Disagree,4,"Given a price cap, Russia could either accept it or reject it. If it accepted, then revenues will be reduced unless either quantity is rising (demand rises w/ lower prices) or prices in the non-affected markt is rising. If rejected, Russia may face additional costs in marketing."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,2,"In theory, it should but there are many practical questions as to whether the cap will work. For pros and cons see links below. On balance, a cap likely reduces Russia’s oils revenue by some, but it is unclear how big the effect will be. ",Uncertain,2,The effect on price is hard to predict as it depends on how Russia and also China and India respond to the cap. 
Mayer,Thierry,Uncertain,5,,Uncertain,4,
Meghir,Costas,Agree,8,,Agree,8,
Pagano,Marco,Agree,6,,Disagree,6,
Pastor,Lubos,Agree,4,But the effectiveness will be limited if Russia manages to sell most of its oil to China and India. ,Disagree,4,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,8,"Russia is already selling oil to India and China at substantially discounted prices. And the oil price is responding to demand, not significantly affected by speculation. Russia will have few alternative major buyers at prices above the cap, provided that is set sensibly. ",Strongly Agree,8,"Russia is not that big a share of the global oil market. If they can convince OPEC to cut supply signficantly, then the story is different, of course."
Prendergast,Canice,Uncertain,7,,Agree,8,
Propper,Carol,Agree,4,,No Opinion,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Disagree,4,,Uncertain,4,
Reis,Ricardo,Agree,6,"Effective to reduce the flow of revenues to Russia, but unclear how large. Depends, in the short run on response of non-G7/EU government, and in the long-run on entry into market of non-G7/EU traders/shippers/financiers.",Agree,7,Effect is on infra-marginal.
Repullo,Rafael,Agree,4,,Uncertain,4,It will largely depend on how Russia reacts to the cap.
Rey,Hélène,Agree,7,"Depends on ""leakages""; in particular how easy it is to find non compliant insurance companies for the shipments",Uncertain,7,Depends on the reaction of the other big oil producers.
Schoar,Antoinette,Strongly Disagree,7,,Agree,7,
Storesletten,Kjetil,Agree,6,,Agree,6,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Agree,6,"A boycot of oil would be better. For oil (not gas), some of it will be sold instead at a discount to China and India. Hence, oil  from Saudi Arabia will become available for the West and thus price of oil may fall.  ",Disagree,6,"As I already said, China and India  will buy from Russia oil at a discount rather than from Saudi Arabia and others. Hence, this lower the price of oil for the West too."
Van Reenen,John,Uncertain,5,,Agree,5,
Vickers,John,Agree,4,,Agree,4,
Voth,Hans-Joachim,Agree,7,,Agree,4,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,2,We know that sanctions are rarely effective. Price caps make good economic sense but how easily can they be evaded?,Uncertain,1,
