Last Name,First Name,"Responses To Market Power

 
Constraints on the anti-competitive behavior of dominant firms in the digital economy can in principle be effectively implemented using the existing tools of competition policy and antitrust enforcement.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The effectiveness of existing antitrust regimes in constraining anti-competitive behavior is substantially limited by the inadequacy of the resources available to competition and regulatory agencies relative to the dominant firms of the digital economy.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Constraints on the anti-competitive behavior of dominant firms in the digital economy would be more effectively implemented than at present with ex-ante regulation such as Europe's Digital Markets Act and other forms of public utility regulation.



Details on Digital Markets Act here: https://digital-markets-act.ec.europa.eu/index_en",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,There doesn't seem to be much evidence that this is the case.  We will see how implementing existing policies works in practice.,Uncertain,5,"Although the resources the government typically expends are not as large as the companies, they do often have talented people.",Uncertain,5,"Maybe, but again we will have to see how things work in practice."
Antras,Pol,Uncertain,5,,Strongly Agree,6,,Agree,6,
Bénassy-Quéré,Agnès,Uncertain,1,,Agree,5,,Agree,5,
Blanchard,Olivier,No Opinion,,,Agree,6,,No Opinion,,
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Uncertain,5,,Uncertain,5,,Uncertain,5,
Botticini,Maristella,Uncertain,7,,Uncertain,7,,Agree,7,
Carletti,Elena,Uncertain,4,,Uncertain,3,,Uncertain,3,
Danthine,Jean-Pierre,Uncertain,3,,Agree,3,,Agree,3,
De Grauwe,Paul,Uncertain,6,,Agree,7,,Uncertain,5,
Eeckhout,Jan,Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,3,,Uncertain,3,,Uncertain,2,
Galí,Jordi,No Opinion,,,Agree,5,,No Opinion,,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Agree,7,,Uncertain,7,,Uncertain,5,
Guiso,Luigi,Agree,5,,Uncertain,5,,Agree,6,
Guriev,Sergei,Disagree,8,,Agree,8,,Agree,8,
Honohan,Patrick,Uncertain,1,,Agree,1,,Agree,1,
Javorcik,Beata,Uncertain,1,,Agree,8,,Agree,6,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,3,In particular transparency and easy and common access to data is probably a way to enhance competition.,Uncertain,4,I don't know enough on available resources for anti-trust agencies to give a proper assessment.,Agree,4,"The effectiveness of ""Ordnungspolitik"", i.e. setting behavioral and legal norms ex-ante, has been a successful strategy in many other markets with a high innovation potential.  "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,No Opinion,,,Agree,3,,No Opinion,,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Disagree,6,,Agree,8,,Uncertain,6,
Pagano,Marco,Uncertain,3,,Agree,5,,Uncertain,1,
Pastor,Lubos,No Opinion,,,No Opinion,,,No Opinion,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,6,,Strongly Agree,6,,Agree,5,
Prendergast,Canice,Uncertain,8,,Strongly Agree,8,,Agree,8,
Propper,Carol,No Opinion,,,Agree,5,,Uncertain,3,
Rasul,Imran,Uncertain,6,,Agree,8,,Uncertain,6,
Reichlin,Lucrezia,Disagree,4,,Agree,3,,Agree,3,
Reis,Ricardo,Uncertain,7,New attempts at getting market power will emerge; new tools will respond. It is a dynamic game.,Uncertain,5,Unclear that lack of resources is the constraint with the highest Lagrange multiplier.,Uncertain,5,
Repullo,Rafael,Uncertain,4,,Strongly Agree,4,,No Opinion,,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,6,,Agree,7,,No Opinion,,
Storesletten,Kjetil,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Uncertain,3,,Agree,6,,Agree,4,
Van der Ploeg,Rick,Disagree,6,,Agree,6,,Agree,6,
Van Reenen,John,Disagree,9,"Basic principle of welfare is right, but need to strengthen anti-trust regime to give greater power to regulators. ",Agree,8,,Agree,8,
Vickers,John,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Voth,Hans-Joachim,Agree,8,,Uncertain,6,,Disagree,7,
Whelan,Karl,Uncertain,5,,Agree,5,,No Opinion,,
Wyplosz,Charles,Uncertain,2,,Agree,2,,Agree,2,
