Last Name,First Name,Europe’s economic growth performance over the last 25 years has been measurably better than it would have been in the absence of the single currency.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"With euro area member states having given up their ability to carry out independent monetary policy, it is substantially more difficult for them to respond effectively to country-specific macroeconomic disturbances.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,I think this is probably true but measuring relative to the counterfactual is very difficult.  This is especially so given the Eurozone crisis.,Uncertain,5,"Monetary policy is certainly a powerful policy tool but in addition there are fiscal policy and various other policies. Also, ECB monetary policy is potentially much more powerful than a single country's. Whether there is a substantial difference is again difficult to establish."
Antras,Pol,Strongly Agree,7,,Disagree,6,
Bénassy-Quéré,Agnès,Agree,7,"Counterfactual exercise is always difficult. Nevertheless there is serious empirical evidence of the positive impact of the single market, although not all has been reaped yet (services).",Disagree,8,"Europeans have limited experience of floating regimes.. Furthermore, in principle fiscal policy is more effective within a monetary union than in a flex regime."
Blanchard,Olivier,Uncertain,8,"It has avoided what would likely have been exchange rate crises in the weaker countries. But it has made normal macroeconomic adjustment substantially harder, in the absence of country specific monetary policy and exchange rate. 
",Agree,1,this was half of my answer to the first question.  
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Strongly Agree,8,,Disagree,8,
Carletti,Elena,Agree,7,Maybe not uniformly true for all euro countries though,Uncertain,7,
Danthine,Jean-Pierre,Uncertain,5,,Agree,8,
De Grauwe,Paul,Disagree,7,,Agree,6,
Eeckhout,Jan,Agree,9,,Uncertain,7,
Freixas,Xavier,Strongly Agree,8,,Strongly Agree,8,
Fuchs-Schündeln,Nicola,Agree,3,,Agree,2,
Galí,Jordi,Uncertain,7,,Agree,8,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,4,,Agree,6,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,8,,Agree,6,
Guriev,Sergei,Uncertain,5,,Agree,8,
Honohan,Patrick,Disagree,10,Disappointing result to date reflect weakness of euro area risk-sharing and poor national macroeconomic management,Disagree,10,Pre-euro national monetary policies were often destabilising. 
Javorcik,Beata,Strongly Agree,8,,Agree,9,
Kőszegi,Botond,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Agree,7,"Even if there were no endogenous dynamics strengthening the businesses in the Eurozone, which I believe to exist, the shere abolition of exchange risk and the associated costs of risk management will had a positive impact on Eurozone growth.",Agree,5,The statement is probably true. But keep in mind that the number of state-specific macro incidences may have declined as well - caused by the monetary unionl.  
La Ferrara,Eliana,Strongly Agree,5,,Uncertain,2,
Leuz,Christian,Uncertain,3,"Evidence for overall economic growth in Euro adopting countries is decidedly mixed, though the effects differ across countries. However, evidence for the growth effect of EU integration is generally positive. Perhaps success of Euro should be judged on price stability?  ",Agree,3,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,8,,Agree,8,
Pastor,Lubos,Uncertain,8,,Agree,8,"With common monetary policy and EU-wide constraints on fiscal policy, there aren't many country-specific policies left to offset country-specific shocks. One remaining tool is macroprudential policy, but its potency is limited."
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,9,,Agree,9,
Prendergast,Canice,Agree,7,,Uncertain,6,
Propper,Carol,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Agree,6,,Disagree,6,
Reichlin,Lucrezia,Agree,10,,Disagree,10,
Reis,Ricardo,Agree,4,"Since the performance was mediocre, one may dream of a rosier alternative. But, insofar as we would have the two big shocks---a financial crisis in 2007-08 and a pandemic in 2020 anyway---without the euro, many EA regions would have done much worse in response to them.",Disagree,7,"More difficult, but not substantially more difficult. Also, for many of the countries, decades of experience showed that independent monetary policy was not optimal or even good monetary policy."
Repullo,Rafael,Strongly Agree,8,,Strongly Disagree,8,
Rey,Hélène,Agree,8,,Uncertain,8,Unability to depreciate versus higher resilience due to better monetary and financial stability frameworks. 
Schoar,Antoinette,Uncertain,6,,Agree,9,
Storesletten,Kjetil,Agree,6,,Strongly Agree,8,
Sturm,Daniel,Uncertain,4,,Disagree,8,
Tenreyro,Silvana,Agree,3,,Agree,1,"Important to note that there are other macro costs and benefits to weigh in when evaluating the advantages of a monetary union, beyond the cost of giving up independent monetary policy (such cost is mitigated by the high correlation of shocks and spillovers across EA countries)."
Van der Ploeg,Rick,Agree,6,,Agree,8,
Van Reenen,John,Agree,5,,Agree,6,
Vickers,John,Uncertain,4,The Euro has been positive for growth in important respects but 2010-12 showed risks of monetary union without more fiscal integration ,Agree,7,And independent monetary policy has been valuable for the UK
Voth,Hans-Joachim,Strongly Disagree,7,,Agree,9,
Whelan,Karl,Disagree,8,Long-run growth depends on structural factors. Monetary and exchange rate policy are generally neutral over the long-run. There are some euro area members that have probably benefitted from macroeconomic stability relative to the alternative but growth effects would be minor.,Disagree,10,This statement ignores the reality of European monetary policy prior to the euro. Exchange rate stability was highly valued and the EMS required countries to largely shadow the Bundesbank's interest rates. EMU at least gives everyone a say in policy.
Wyplosz,Charles,Agree,10,Better only inasmuch it has prevented currency crises.,Agree,10,"That's it, no own central bank anymore. "
