Last Name,First Name,Rising inequality is straining the health of liberal democracy.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Enacting more redistributive expenditures and policies would be likely to limit the rise of populism in Europe.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"European governments should allocate more resources to policies that would be likely to limit the rise of populism in Europe, even if it means higher public debt or lower public spending in other areas.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Agree,7,,Agree,7,,Agree,7,
Bénassy-Quéré,Agnès,Strongly Agree,8,,Uncertain,5,No general answer. Depends on the country. Sometimes better schooling or better targeted transfers rather than more transfers is required.,Disagree,8,Redistribution between living generations should not be financed by debt.
Besley,Timothy J.,Agree,8,,Uncertain,8,,Agree,8,
Blanchard,Olivier,Strongly Agree,10,"Based on my reading of the research, not the only reason, but, in most countries, the main one. ",Strongly Agree,10,,Strongly Agree,9,"This fits with my view that, in many countries, a more accommodating fiscal policy is needed on other grounds at this juncture"
Bloom,Nicholas,Strongly Agree,9,Rising inequality is leading voters to search for desperate solutions - Trump and Brexit are the most obvious - damaging long run properity.,Strongly Agree,9,Reducing inequality is critical for battling populism - otherwise desperate voters will turn to racist populists,Strongly Agree,8,Voting for populists is the way voters left out from growth punish the economy - they vote crazies like Trump - so we need to buy them off. 
Blundell,Richard William,Agree,7,"There is not only one inequality to consider. Labour earnings inequality has been rising everywhere, especially for men.  This maybe key. ",Agree,8,The UK & France redistribute quite a bit. This has not stemmed populism much. It may be the position of the low skill in the labour market. ,Agree,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Strongly Agree,7,"True where there is a rise in inequality. Inequalities are not the only, neither always the main source of pressure on liberal democracies.",Uncertain,7,"Unemployment, immigration and the design of the European project are as important causes of populism in Europe. Redistribution is not all.",Agree,7,Agree (even though vague statement and fighting populism is not only a money issue) because populism is a very important threat.
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,7,
Fehr,Ernst,Strongly Agree,8,,Uncertain,9,,Agree,8,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,5,,Uncertain,1,,Agree,5,
Galí,Jordi,Agree,7,,Agree,6,,Agree,6,
Giavazzi,Francesco,Agree,5,,Disagree,5,,Disagree,7,
Griffith,Rachel,Agree,7,,Agree,7,,Agree,7,
