Last Name,First Name,"Because all federal spending and taxes must be approved by both houses of Congress and the executive branch, a separate debt ceiling that has to be increased periodically creates unneeded uncertainty and can potentially lead to worse fiscal outcomes.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,1,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,9,
Auerbach,Alan,Strongly Agree,7,
Autor,David,Strongly Agree,8,"The question contains its own answer. 
"
Baicker,Katherine,Agree,4,
Bertrand,Marianne,Agree,2,
Chetty,Raj,Uncertain,1,
Chevalier,Judith,Strongly Agree,9,
Currie,Janet,Agree,7,
Cutler,David,Strongly Agree,7,
Deaton,Angus,Strongly Agree,8,"It does indeed provide some brake on long-term spending, but there has to be a better way."
Duffie,Darrell,Agree,1,This is a second chance to gridlock. A budget passed by Congress already authorizes the necessary funding.
Edlin,Aaron,Agree,8,
Eichengreen,Barry,Strongly Agree,8,
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Agree,6,
Goldin,Claudia,Agree,3,
Goolsbee,Austan,Strongly Agree,10,"OBVIOUSly
"
Greenstone,Michael,Strongly Agree,7,
Hall,Robert,No Opinion,,This is a question about the behavior of members of Congress. I don't see how an economist could have any expertise on this.
Holmström,Bengt,Agree,5,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,7," In the past, it was not acceptable for legislators to create the disruption from blocking a debt increase. Even RR disapproved.
"
Kashyap,Anil,Strongly Agree,7,Deciding whether or not to pay the debts incurred to fund the previously approved tax and spending is nuts. 
Klenow,Pete,Agree,5,It sure looks like it's been adding uncertainty lately (e.g. 2011).  But it could conceivably be a force for good.
Levin,Jonathan,Agree,5,"Might not have given the same answer two years ago, but at this point, seems hard to disagree."
Maskin,Eric,Agree,7,
Nordhaus,William,Agree,8,
Obstfeld,Maurice,Strongly Agree,9,
Saez,Emmanuel,Agree,5,
Scheinkman,José,Agree,7,
Schmalensee,Richard,Strongly Agree,9,Just read the paper.
Shin,Hyun Song,Agree,7,
Stokey,Nancy,No Opinion,,
Thaler,Richard,Strongly Agree,10,The debt ceiling is a dumb idea with no benefits and potentially catestrophic costs if ever used.  
Udry,Christopher,Strongly Agree,9,
Zingales,Luigi,Disagree,5,It can also lead to potential better outcomes
