Last Name,First Name,The reductions in Western programs of development assistance will have no measurable effects on GDP growth in the recipient countries over the next five years.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The reductions in Western programs of development assistance will have substantially negative effects on the most vulnerable people in the recipient countries over the next five years.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Development assistance motivated by the potential benefits for the donors in terms of prosperity and security is measurably more effective in promoting GDP growth in recipient countries than aid based on humanitarian or other moral principles.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,3,Varies significantly across countries and difficult to say in any case.,Agree,4,The former recipients of health care aid such as vaccines and HIV drugs will unfortunately suffer significantly.,Uncertain,3,This is a difficult one to judge with many different factors at play.
Antras,Pol,Disagree,6,,Agree,6,,Agree,6,
BÃ©nassy-QuÃ©rÃ©,AgnÃ¨s,Disagree,8,,Strongly Agree,10,,Disagree,1,Any assistance benefit donors in a sense.
Blanchard,Olivier,Uncertain,1,"one would have to know much more about the various programs that have been stopped. But, if not about growth, probably about diseases, mortality... ",Agree,3,"based on limited knowledge, it looks bad for some vulnerable groups. ",Disagree,10,"If the statement is really about ""benefits for the donors"" in terms of their own prosperity, this is an amazingly stupid statement.  "
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Disagree,7,,Agree,7,,Agree,7,
Carletti,Elena,Disagree,4,I may have marked disagree but by mistake - please take me as agree ,Agree,4,,Uncertain,3,
Danthine,Jean-Pierre,Uncertain,2,,Agree,3,,Agree,2,
De Grauwe,Paul,Uncertain,5,,Agree,7,,Disagree,6,
Eeckhout,Jan,Strongly Disagree,8,,Strongly Agree,8,,Uncertain,6,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-SchÃ¼ndeln,Nicola,Disagree,8,,Agree,8,,Uncertain,5,
GalÃ­,Jordi,No Opinion,,,No Opinion,,,No Opinion,,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Disagree,6,,Agree,6,,Uncertain,1,
Griffith,Rachel,Disagree,4,,Agree,4,,Uncertain,4,
Guerrieri,Veronica,Disagree,3,,Agree,3,,No Opinion,,
Guiso,Luigi,Strongly Disagree,8,,Strongly Agree,9,,Uncertain,7,
Guriev,Sergei,Strongly Disagree,8,,Strongly Agree,8,,No Opinion,,
Honohan,Patrick,Agree,6,,Agree,6,,No Opinion,,
Javorcik,Beata,Disagree,5,,Agree,5,,Uncertain,1,
KÅ‘szegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,6,"Ending development aid does have an effect on GDP both directly, as the dollar spent are reduced, and indirectly, as the role played by programs for education and government efficiency for growth are reduced as well.  ",Agree,5,"Unless we believe that development money is spent in a completely inefficient way, the negative effect on vulnerable people is what we have to expect.",Uncertain,5,
La Ferrara,Eliana,Strongly Disagree,10,,Strongly Agree,10,,Disagree,9,
Leuz,Christian,Disagree,3,"There is evidence that foreign aid can have a positive impact on economic
growth and hence reductions would likely have negative effect. Evidence is not entirely conclusive (due to selection issues) and depends on recipient country institutions and the type of aid.",Agree,3,"Whenever foreign aid is effective at directing funds to those most in need, this statement should be true. ",Uncertain,1,
Mayer,Thierry,Disagree,6,,Agree,6,,Disagree,7,
Meghir,Costas,Uncertain,10,,Agree,10,,Uncertain,8,
Pagano,Marco,Uncertain,1,,Strongly Agree,7,,Disagree,4,
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,7,,Strongly Agree,8,,Disagree,5,
Prendergast,Canice,Disagree,4,,Agree,7,,Uncertain,7,
Propper,Carol,Uncertain,5,,Agree,4,,No Opinion,,
Rasul,Imran,Disagree,6,,Strongly Agree,7,,Uncertain,7,
Reichlin,Lucrezia,Disagree,3,,Agree,3,,Disagree,3,
Reis,Ricardo,Agree,6,"The association between aid and GDP growth is weak in the data,",Agree,7,"Especially in disaster relief, but not only. There can be large welfare gains in providing social insurance, beyond GDP effects.",Disagree,8,Aid-growth literature would suggest the opposite
Repullo,Rafael,Disagree,2,,Agree,2,,Disagree,2,
Rey,HÃ©lÃ¨ne,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,8,,Strongly Agree,9,,Strongly Disagree,9,
Storesletten,Kjetil,Disagree,4,,Strongly Agree,6,,Disagree,4,
Sturm,Daniel,Disagree,5,,Strongly Agree,8,,Disagree,5,
Tenreyro,Silvana,Disagree,3,,Strongly Agree,7,,Uncertain,1,
Van der Ploeg,Rick,Uncertain,6,"Perhaps, more effect on poverty assistance than on growth of recipient countries.",Strongly Agree,7,,Disagree,7,
Vickers,John,Disagree,3,,Agree,3,,Uncertain,3,
Voth,Hans-Joachim,Uncertain,6,short-term might be negative. long-term probably positive,Uncertain,5,,Uncertain,5,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,1,,Uncertain,1,,Agree,1,
