Last Name,First Name,Subjecting online sales from out-of-state vendors to the same retail sales taxes imposed on in-state sales would raise more tax revenue in the states making this change while reducing the pro-online bias of current policy.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,2,
Auerbach,Alan,Strongly Agree,8,
Autor,David,Strongly Agree,10,"Papers by Goolsbee, Ellison and Ellison, and Einav and Levin show that this is unambiguously correct."
Baicker,Katherine,Agree,1,
Bertrand,Marianne,Agree,2,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Strongly Agree,10,
Currie,Janet,Agree,7,
Cutler,David,Strongly Agree,6,
Deaton,Angus,Agree,5,
Duffie,Darrell,Agree,2,"I don't know whether some states have been consciously  ""pro on line.""  I don't follow this policy area.  "
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,5,
Fair,Ray,Strongly Agree,5,
Goldberg,Pinelopi,Did Not Answer,,
Goldin,Claudia,Strongly Agree,6,
Goolsbee,Austan,Strongly Agree,8,
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Did Not Answer,,
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,8,
Kashyap,Anil,Agree,7,Leveling the playing field & raising money is good policy; rationalizing the many jurisdictions & various tax rates would be good too.
Klenow,Pete,Agree,3,
Lazear,Edward,Agree,7,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,No Opinion,,
Obstfeld,Maurice,Agree,5,
Saez,Emmanuel,Strongly Agree,7,
Scheinkman,José,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,8,Pretty hard to disagree with the question as phrased.
Shin,Hyun Song,Agree,5,
Stock,James,Did Not Answer,,
Stokey,Nancy,Agree,8,
Thaler,Richard,Agree,6,Seems right to level the playing field.
Udry,Christopher,Strongly Agree,8,
Zingales,Luigi,Did Not Answer,,
