Last Name,First Name,"Creating a ‘28th regime’ - an optional, EU-wide code of corporate, securities and insolvency law that firms could adopt and which would pre-empt the application of any of the 27 national rulebooks - would be substantially more effective in building a European capital market than continuing efforts to achieve harmonisation of the national rulebooks.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Creating the 28th regime would substantially increase the supply of capital to new ventures and growing businesses.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"A well-functioning and efficient single EU capital market requires a strengthened European Securities and Markets Authority, comparable to the US Securities and Exchange Commission, to operate as a single market regulator.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,4,"It's not clear how widely used such a 28th regime would be used.  Even if it was, it would probably take many years to lead to a significant change in the way capital markets in the EU work. There is already an EU company law setting minimum standards that has had little effect.",Uncertain,4,Again this is very uncertain. So far the CMU has made very limited progress. ,Agree,4,I think strengthening ESMA would help.  The SEC operates in an environment with many different state laws. An enhanced ESMA could change things substantially in the way SEC did when it was founded.
Antras,Pol,Agree,6,,Agree,6,,Agree,6,
Bénassy-Quéré,Agnès,Uncertain,5,"For an efficient capital market union you would need a high uptake. The European society legal framework is not encouraging. Also, wide perimeter quite challenging. But perhaps limiting the 28th regime to bankruptcy procedures could work.",Agree,7,,Strongly Agree,10,
Blanchard,Olivier,Uncertain,3,i see no reason not to try to do both,Disagree,4,"""substantially"" feels too strong. ",Agree,7,
Blundell,Richard William,Agree,5,,Agree,5,,Agree,4,
Botticini,Maristella,Agree,7,,Agree,7,,Agree,7,
Carletti,Elena,Strongly Agree,10,,Agree,10,,Agree,10,
Danthine,Jean-Pierre,Agree,3,,Uncertain,1,,Agree,5,
De Grauwe,Paul,Agree,6,,Agree,6,,Agree,7,
Eeckhout,Jan,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,3,,Agree,7,,Strongly Agree,6,
Galí,Jordi,Agree,6,,Agree,6,,Agree,6,
Garicano,Luis,Strongly Agree,10,"An optional regime would avoid many political-economy roadblocks. National supervisors would keep control of domestic offers; banks could still sell their own products.  Harmonization does not harmonize- countries ""gold-plate"" the ruels to protect their own champions",Strongly Agree,7,By allowing the rapid scaling up of business it would increase the value of the opportunities and hence the amount of capital markets would want to allocate,Strongly Agree,10,
Gorodnichenko,Yuriy,Uncertain,3,,Uncertain,3,,Agree,5,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Strongly Agree,9,,Strongly Agree,10,,Strongly Agree,10,
Guriev,Sergei,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
