Last Name,First Name,"Creation of a more unified capital market in Europe - with a common pool of capital, a single rule book and a strengthened European Securities and Markets Authority, comparable to the US Securities and Exchange Commission – would lead to a substantial shift in the balance of companies listing their shares in the EU vis-a-vis the US.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Creation of a more unified capital market in Europe - with a common pool of capital, a single rule book and a strengthened European Securities and Markets Authority, comparable to the US Securities and Exchange Commission – would substantially increase the availability of funding for start-ups and growing companies across the EU.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Disagree,5,"I don't think having vibrant capital markets is a matter of just rulebooks and regulation.  They have a role to paly certainly. It's more of a cultural thing. Without Brexit, I think CMU would have worked well but with Brexit, it will stumble along.",Disagree,5,"Again, I think VC/PE is something cultural.  American firms dominate so CMU would help but not much."
Antras,Pol,Did Not Answer,,,Did Not Answer,,
Bénassy-Quéré,Agnès,Agree,6,although the main impact may not be on listed companies. ,Strongly Agree,10,Europe has excess savings. Offering wider diversification options (at lower fixed costs) would help reaping the benefits of these savings for the real economy.
Blanchard,Olivier,Agree,4,,Agree,4,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,7,,Agree,8,
Carletti,Elena,Agree,8,Not sure it would really contribute to close the market gap between US and EU but it would certainly help ,Agree,8,
Danthine,Jean-Pierre,Agree,7,,Strongly Agree,7,
De Grauwe,Paul,Uncertain,5,,Agree,6,
Eeckhout,Jan,Agree,5,,Uncertain,5,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,9,,Strongly Agree,8,
Galí,Jordi,Agree,6,,Agree,6,
Garicano,Luis,Agree,7,,Agree,7,"One crucial instance where harmonization would help is what happens when a company fail. Bankruptcy procedures are different across Europe  and they mean that owning a share, a bond, providing a security to a counterparty means a different things in different countries."
Gorodnichenko,Yuriy,Uncertain,3,,Uncertain,3,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Uncertain,6,,Strongly Agree,6,
Guiso,Luigi,Uncertain,7,,Strongly Agree,1,
Guriev,Sergei,Agree,7,,Agree,7,
Honohan,Patrick,Agree,8,,Agree,8,
Javorcik,Beata,Agree,7,,Agree,3,
Kőszegi,Botond,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Agree,6,"I ""agree""m, although not ""strongly"", because we do not understand well why firms refrain from going public despite high earnings and excellent growth prospects - which is the case for many Mittelstand-firms in Germany. There may be additional reasons for firms to stay private...",Agree,6,I subscribe to the common corporate finance view that better stock market access will increase capital inflow into new business ventures - because exit potential has risen.  
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,6,Unsure that shift would be substantial. Measurable yes. Cap mkt union would help but there are other institutional or market factors. Valuations are higher in US and not clear this is solely because of securities regulation and SEC enforcement (though they are important),Uncertain,6,"Substantial? Deep & liquid public markets are important, not only b/c they provide funding to growth firms, but also b/c they provide exit for PE and VCs that fund private & startups. Though we also see fewer IPOs in US, yet there is plenty of funding for private & growth firms"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Strongly Agree,9,
Pagano,Marco,Strongly Agree,10,,Strongly Agree,10,
Pastor,Lubos,Agree,10,,Agree,10,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,CMU has been a key project for the EU since the GFC. A single capital market would unlock extensive economies of scale and scope.,Strongly Agree,10,
Prendergast,Canice,Uncertain,4,,Agree,4,
Propper,Carol,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Strongly Agree,10,,Strongly Agree,10,
Reis,Ricardo,Agree,6,"Not enough, however. ",Agree,6,
Repullo,Rafael,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Disagree,6,,Agree,6,
Sturm,Daniel,Agree,4,,Agree,4,
Tenreyro,Silvana,Agree,4,,Agree,4,
Van der Ploeg,Rick,Agree,6,,Agree,5,
Van Reenen,John,Did Not Answer,,,Did Not Answer,,
Vickers,John,Uncertain,4,,Uncertain,4,
Voth,Hans-Joachim,Uncertain,6,,Uncertain,9,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,5,,Agree,7,
