Last Name,First Name,Reducing the income-tax deductibility of charitable gifts is a less distortionary way to raise new revenue than raising the same amount of revenue through a proportional increase in all marginal tax rates.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,8,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,2,
Auerbach,Alan,Agree,7,
Autor,David,Agree,6,Taxpayers subsidize too much non-meritorious activity through the tax writeoff. Tax liability should not fall 1-for-1 with charitable giving
Baicker,Katherine,Strongly Agree,6,
Bertrand,Marianne,Agree,2,
Chetty,Raj,Agree,8,
Chevalier,Judith,Uncertain,4,
Currie,Janet,Uncertain,5,"The wording implies that distortion is bad, but the point of the charitable deduction is to encourage charity, ie to ""distort"" behavior."
Cutler,David,Disagree,1,This is true with no externalities; there are many externalities to charitable giving.
Deaton,Angus,Agree,5,"If minimizing distortion is your target, though seems like a very odd one."
Duffie,Darrell,Agree,3,"Less distortion, yes, but that is an efficiency issue to be traded off against the distributional effects. I would keep the deduction."
Edlin,Aaron,Disagree,7,Arguably charity involves an externality and so should be subsidized...the giver feels good (or wouldn't do it) and the recipient benefits.
Eichengreen,Barry,Agree,3,If other distortions lead to underfunding organizations receiving charitable giving as a result of tax treatment then the answer may differ.
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Did Not Answer,,
Goldin,Claudia,Disagree,4,There is a free rider problem with regard to (good) charities.  Removing the deduction could be more distortionary.
Goolsbee,Austan,Uncertain,7,"Deductions/exemptions overall, yes. But charitable alone? Not clear."
Greenstone,Michael,Agree,6,this is only half of the equation. possible that charitable deduction is most efficient way to achieve other important social goals
Hall,Robert,Uncertain,5,Some but hardly all charitable giving generates public goods and thus relieves distortions. We should keep the good deductions only.
Holmström,Bengt,Agree,8,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,4,
Kashyap,Anil,Agree,5,
Klenow,Pete,Uncertain,3,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,Uncertain,8,Poorly conceived question. This is a tax expenditure. Why not compare to sequester as non-distortionary way to raise revenues.
Obstfeld,Maurice,Strongly Agree,10,"Of course,the tax distortion aspect alone doesn't take account of possible social benefits from charitable giving. It is a narrow criterion."
Saez,Emmanuel,Agree,7,
Scheinkman,José,Disagree,7,
Schmalensee,Richard,Agree,4,
Shin,Hyun Song,Agree,7,
Stokey,Nancy,Uncertain,5,"Altruism is one motive for charity, and standard conclusions about ""distorting"" effects of taxes may not apply in settings with altruism.  "
Thaler,Richard,Agree,7,The current system stinks. Why subsidize contribtions mostly of rich home-owners?  Either kill it or make it a % credit that applies to all.
Udry,Christopher,Agree,6,
Zingales,Luigi,Strongly Agree,7,
