Last Name,First Name,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:

 

Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Agree,7,"As far as I know, there's not much evidence that central bank policies are very effective in affecting productivity."
Antras,Pol,Agree,5,
Bénassy-Quéré,Agnès,Agree,3,Recent studies have suggested a link between monetary conditions and productivity growth. However this is still much discussed.
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,9,"why not ask for 10% productivity growth?  (one footnote:  hysteresis, if present, implies a slightly more aggressive monetary policy)"
Bloom,Nicholas,Strongly Agree,10,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Uncertain,5,"Even over a ten-year horizon, maintaining macroeconomic stability and avoiding slumps in investment can probably affect productivity. "
Danthine,Jean-Pierre,Strongly Agree,10,
De Grauwe,Paul,Agree,9,
Eeckhout,Jan,Strongly Agree,10,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Strongly Agree,9,In the long term the monetary policy is neutral
Fuchs-Schündeln,Nicola,Strongly Agree,9,
Galí,Jordi,Strongly Agree,9,And it is doubtful the reducing macro stability further in the UK would attain any significant gains in terms of productivity growth.
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Strongly Agree,10,
Griffith,Rachel,Did Not Answer,,
Guerrieri,Veronica,Strongly Agree,9,
Guiso,Luigi,Strongly Agree,8,i am one of those who  believe that with printing money you cannot by persistent growth 
Honohan,Patrick,Strongly Agree,8,
Kőszegi,Botond,No Opinion,,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Agree,7,"Quite an absurd suggestion, vastly overestimating what monetary policy can achieve - in the end frustrating central bankers and the public. "
Krusell,Per,Strongly Agree,10,I know of no result in the literature suggesting monetary policy would be able to affect technology growth. 
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,3,"Traditional CB tools don't directly affect productivity. Indirect effects via demand conceivable, but not clear how large&persistent."
Meghir,Costas,Agree,8,
Neary,Peter,Strongly Agree,6,This target is hard to influence with any instrument; monetary policy is not the right one
O'Rourke,Kevin,Agree,7,
Pagano,Marco,Strongly Agree,8,
Pastor,Lubos,Strongly Agree,10,Just like drinking coffee cannot make you more productive in the long run.
Persson,Torsten,Strongly Agree,8,
Pissarides,Christopher,Strongly Agree,1,"Productivity growth depends on technology, infrastructure and the like. Monetary policy has nothing to do with it"
Portes,Richard,Strongly Agree,9,"Productivity is micro, monetary policy and macropru are macro."
Prendergast,Canice,Agree,7,
Reichlin,Lucrezia,Strongly Agree,10,
Repullo,Rafael,Strongly Agree,8,What a crazy idea!
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,
Van Reenen,John,Agree,8,
Vickers,John,Agree,9,Financial stability -- e.g. more bank equity capital -- helps investment incentives and productivity (but maybe is part of macro stability)
Voth,Hans-Joachim,Strongly Agree,8,It's clear that bad policy can screw up things; but long-run productivity growth is not under the thumb of central bankers...
Weder di Mauro,Beatrice,Agree,9,
Whelan,Karl,Uncertain,5,"Even over a decade, macroeconomic stability and preventing investment slumps can probably have a positive influence on productivity."
Wyplosz,Charles,Strongly Agree,1,Myriads of attempts to use central banks to boost growth have ended up in failure. Why can't people learn from the past?
Zilibotti,Fabrizio,Agree,8,
