Last Name,First Name,Non-bank financial intermediaries pose a substantial threat to financial stability.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Regulating the leverage and liquidity of non-bank financial intermediaries would substantially improve financial stability.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Given current regulations, non-bank financial intermediaries should not have access to central bank support.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,,Agree,4,"It is strange and inefficient to have a series of regulations for banks, but so little for non-bank financial intermediaries. This asymmetry would likely become more consequential with decentralized finance and digital assets.",Agree,3,The moral hazard problem is clear in this case.
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Agree,3,,Agree,3,,Uncertain,3,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Agree,6,,Uncertain,4,,Agree,6,
Bertrand,Marianne,Agree,2,,Agree,2,,No Opinion,,
Brunnermeier,Markus,Agree,9,,Agree,9,,Agree,8,When crisis erupts they might get access anyways ex-post to avoid a deeper crisis. It is difficult for the Fed to commit not to grant ex-post access.
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,5,,Uncertain,4,"Given the innovation, it seems challenging for regulation to truly keep pace. ",Disagree,5,"It is hard to imagine that there arent (possibly penal) terms at whoch it might sometimes make sense. 

"
Cutler,David,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Deaton,Angus,Agree,3,,Agree,3,,Agree,3,
Duffie,Darrell,Agree,10,Sudden defaults or unwind risk can destabilize financial markets. Consider for example the leverage-driven investors than destabilized the gilt market in September 2022.,Strongly Agree,10,"I bear in mind that the question considers only the undoubted benefit of regulation, financial stability, with which I strongly agree, and does not ask about any associated costs.",Uncertain,10,"Hard call. Obvious benefits and obvious costs. Except in extreme emergencies, central banks should provide last-resort lending to regulated firms."
Edlin,Aaron,Agree,6,,Uncertain,5,,Uncertain,5,
Eichengreen,Barry,Agree,5,,Agree,5,,Uncertain,5,
Einav,Liran,Disagree,1,,Agree,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Agree,7,,Uncertain,3,,Disagree,5,
Hall,Robert,Agree,5,Only because of unwise implicit government bailout policies.,Uncertain,5,It seems almost impossible to get the regulators to function,Uncertain,5,"The big problem seems to be access to bailouts, not lending"
Hart,Oliver,Agree,6,,Agree,6,,Agree,6,
Holmström,Bengt,Agree,5,,Strongly Agree,5,,Uncertain,5,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,5,,Agree,5,,Agree,5,
Judd,Kenneth,Agree,5,Any firm that finances illiquid long-run investments with liquid short-run liabilities runs the risks of failure which then makes runs more likely.,Uncertain,5,Regulations often have loopholes that these firms will find and exploit.,Uncertain,5,It is difficult for the central bank to commit to such policies.
Kaplan,Steven,Uncertain,8,"In one case, direct lending / private credit, stability has been improved because it has moved from highly leveraged, duration mismatched  banks to less leveraged, duration matched funds.  Uncertain, because you never know what else is out there.",Uncertain,8,"Again, move to direct lending / private credit has improved stability by moving from banks.  More regulation would hurt.  Uncertain, because it is a very broad question.",Agree,4,
Kashyap,Anil,Strongly Agree,7,How many times do some of these entities need to get bailed out before we find a way to improve their resilience and the regulatory tools to address future problems?,Uncertain,5,"This could help, but details matter, especially which entities and markets are covered and how.  Substantial is a high bar.  ",Uncertain,5,"Blanket bad would involve taking a lot of risk, much better to work on fixing the regulations and making the regulatory system more flexible.  "
Klenow,Pete,Strongly Agree,2,,Agree,3,,Uncertain,1,
Levin,Jonathan,Agree,5,,Agree,3,,Uncertain,3,
Maskin,Eric,Agree,5,We saw such a threat play out when AIG got into trouble during the financial crisis of 2008-9,Agree,5,,Disagree,5,The ability to bail AIG out was important to financial stability in 2008-9
Nordhaus,William,Agree,5,,Agree,7,,Disagree,4,There are different kinds of support that might improve financial stability without incurring excessive moral hazard.
Obstfeld,Maurice,Agree,5,,Agree,5,,Uncertain,5,
Saez,Emmanuel,Agree,4,,Agree,4,,Agree,5,
Samuelson,Larry,Agree,8,,Agree,8,"We regulate banks for good reasons, that are also good reasons for regulating non-bank financial institutions.",Agree,5,There is a delicate trade-off between the moral hazard created by central bank support of non-banks and the increased fragility induced by the lack of support.  Support at some but a lower level would be a reasonable compromise.
Scheinkman,José,Agree,7,,Agree,7,,Agree,7,However CBs may find it difficult to deny access to a non-bank financial institution unable to fulfill commitments. 
Schmalensee,Richard,Agree,3,,Agree,3,,Uncertain,4,Not sure why this would be stabilizing.
Shapiro,Carl,Agree,5,,Agree,4,,Disagree,7,
Shimer,Robert,Strongly Agree,8,,Uncertain,5,This is a game of whack-a-mole. Leverage will pop up in some unregulated sector.,Disagree,3,"It would be great to commit to this, but the policy is time inconsistent."
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,No Opinion,,,No Opinion,,,No Opinion,,
Udry,Christopher,No Opinion,,,No Opinion,,,No Opinion,,
