Last Name,First Name,"In 10 years, per capita purchasing power in Greece will be higher if — rather than continuing to service its debts over the next decade and complying with the budget rules currently in place — it refuses to accept a continuation of its current troika program and explicitly defaults on its debt held by the official sector.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,7,Greece's problems are political not just macroeconomic. Unclear whether default will help. Syriza's approach so far goes in wrong direction
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Disagree,7,
Auerbach,Alan,Uncertain,5,
Autor,David,No Opinion,,
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Agree,7,The debt overhang is very costly.  Domestic demand is also a problem. And the government is busy fire-fighting rather than making policy.
Bertrand,Marianne,Uncertain,2,
Brunnermeier,Markus,Disagree,5,One has to find the right/sustainable balance btw structural reforms that ultimately benefit the common man and some creative debt relief . 
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Uncertain,3,Very hard to know.  
Cutler,David,Agree,4,
Deaton,Angus,Uncertain,3,Impossible to predict all the consequences and their effect on Greece. 
Duffie,Darrell,Agree,7,"It's a tough tradeoff. A fresh start would help after some forced restructuring of labor markets, the civil service, and tax collection."
Edlin,Aaron,Uncertain,6,
Eichengreen,Barry,Uncertain,5,Depends mainly on ancillary policies under the two scenarios which are now not possible to foresee.
Einav,Liran,No Opinion,,
Fair,Ray,Uncertain,5,Too many possible effects to know the net effect.  
Finkelstein,Amy,Uncertain,5,
Goldberg,Pinelopi,Disagree,7,
Goolsbee,Austan,Uncertain,10,They're in a hopeless situation now. But would they manage themselves better if they got out of the Euro than they did before they got in?
Greenstone,Michael,Uncertain,2,
Hall,Robert,Agree,3,"Greece seems incapable of running a big enough primary surplus to satisfy Germany, and it is probably harmful to try. Autarky is better."
Hart,Oliver,Uncertain,5,"For Greece: default is a plus,exclusion from the EU banking system is a minus- it could lead to bank runs and political chaos. Net unclear."
Holmström,Bengt,Uncertain,7,
Hoxby,Caroline,Agree,6,
Hoynes,Hilary,No Opinion,,
Judd,Kenneth,Disagree,4,
Kaplan,Steven,Agree,3,
Kashyap,Anil,Agree,2,They will never repay all that is promised anyway & at some point the pain of avoiding default is too much. Exit will be awful in the SR. 
Klenow,Pete,Agree,3,Greek government debt held by non-Greeks (mostly the EU) is more than Greece's annual GDP.
Levin,Jonathan,Uncertain,1,
Maskin,Eric,Uncertain,5,It all depends on how financial markets react---and this is hard to predict
Nordhaus,William,Uncertain,8,"Too much uncertainty about response, whether leaves Eurozone, and impacts to have clear reading."
Saez,Emmanuel,Agree,3,
Samuelson,Larry,Disagree,3,Greek economic institutions are notoriously ineffective; the troika program may provide the commitment needed to build working institutions.
Scheinkman,José,Uncertain,7,
Schmalensee,Richard,Uncertain,5,So much would seem to depend on the difficult-to-predict reactions of various strategic players with diverse interests and agendas.
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Uncertain,10,"If Greece continues to service its debt, outcomes are reasonably forecastable. If it defaults, many different outcomes can happen."
Thaler,Richard,No Opinion,,
Udry,Christopher,Uncertain,1,
