Last Name,First Name,"Given the social and regulatory pressures to keep prices down for drugs and vaccines to treat Covid-19, the financial incentives for pharmaceutical companies to invest in such products are below the value of the investment to society.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Government commitments to pay developers and manufacturers above average costs for an effective vaccine or drug treatments for Covid-19 would accelerate production.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"Given the positive externalities from vaccination, an effective Covid-19 vaccine should have priority in public healthcare funding even in countries where other diseases cause more death and disability.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,My understanding is that governments have used their monopsony power to make vaccines marginally profitable. They need to revisit this.,Agree,6,"Key area going forward. Bioterrorism possibilities mean we need to stockpile many vaccines such as Ebola, Smapppox and so forth. ",Agree,6,Covid-19 vaccination should be partially paid for by rich countries to deal with the externality issue. 
Antras,Pol,Uncertain,5,"It is a valid argument in some cases, but I think the private (long-run) return in this case for pharma firms could actually be quite large",Agree,5,"Though how much, I am less sure.",Strongly Agree,5,
Blanchard,Olivier,Disagree,4,Not sure this is the main factor.  ,Agree,4,"but again, high risk may be more of a constraint. ",Uncertain,4,as a matter of logic:  what about other vaccines?  as a matter of fact: should have high priority
Bloom,Nicholas,Strongly Agree,8,,Strongly Agree,10,,Uncertain,6,
Blundell,Richard William,Agree,5,,Agree,5,,Uncertain,4,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,1,,Agree,3,,Uncertain,2,
De Grauwe,Paul,Agree,6,,Agree,7,,Uncertain,5,
Eeckhout,Jan,Disagree,6,,Uncertain,7,,Agree,8,
Fehr,Ernst,Agree,8,,Agree,7,,Disagree,6,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Agree,7,,Agree,7,,Uncertain,7,
Giavazzi,Francesco,Uncertain,9,,Agree,5,,Disagree,7,
Griffith,Rachel,Uncertain,7,This is true in general for some diseases (and not for others) but I don't think it's true for covid right now.,Disagree,6,I do not think that financial incentives are the main issue right now.,Agree,5,"However, there are other diseases that also have big externalities that might have larger impacts."
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Uncertain,4,,Agree,7,,Agree,5,
Honohan,Patrick,Disagree,1,"Besides, not obvious that successful pharma company should capture entire social benefit from vaccine!  ",Disagree,1,"Not likely to be a particularly effective mechanism: ""a bit above breakeven"" will not provide much incentive ",Disagree,1,International externalities require global financing; low income countries cannot afford to divert limited public health funding.
Javorcik,Beata,Strongly Agree,8,,Disagree,7,,Agree,8,
Kőszegi,Botond,Strongly Agree,10,,Strongly Agree,10,,Uncertain,8,
Krahnen,Jan Pieter,Uncertain,6,"There is a trade-off between restricted prices on one side and government assisted, eased market access - and thus: volume on the other side",Uncertain,4,"Higher rents leads to higher competition among producers, increased politcal lobbying - and hence slower decision and production processes.",Disagree,4,What matters in this decision problem is the extent to which drugs have externalities - Covid drugs may or may not excel on this metric.
La Ferrara,Eliana,Disagree,5,The expected numbers are such that even with low expected prices pharmas are currently investing in COVID research already,Agree,4,,Disagree,5,
Leuz,Christian,Agree,7,"Generally speaking, I agree. For Covid-19, governments have offered support ex ante to counter this issue and incentivize investment.",Agree,7,"Largely implied by answer to earlier question, but in case of Covid & at this stage, I am not sure much can be done to accelerate further.",Uncertain,3,"Would agree for advanced economies, not clear developing ctrys should spend on Covid vaccine, rather than other diseases."
Mayer,Thierry,Uncertain,4,,Agree,4,,Strongly Agree,5,
Meghir,Costas,Uncertain,8,,Agree,7,,No Opinion,,
