Last Name,First Name,"Use of the renminbi in world trade, as a reserve currency, and/or for foreign bond denomination is likely to increase substantially relative to the dollar over the next ten years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Ceteris paribus, a shift to a more multi-polar international monetary system would have substantial negative implications for the US economy.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,2,"I would guess that this would depend on Chinese institutions. So long as they remain highly authoritarian and blur the line between the state and the Communist Party, the renminbi will remain less attractive as an international currency than the dollar.",Agree,2,
Altonji,Joseph,Agree,3,,Agree,2,
Auerbach,Alan,Disagree,3,,Disagree,3,
Autor,David,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Uncertain,4,,Agree,4,
Bertrand,Marianne,Agree,1,,Uncertain,1,
Brunnermeier,Markus,Disagree,8,,Agree,8,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,3,,Uncertain,3,
Cutler,David,Agree,2,,Uncertain,1,
Deaton,Angus,Uncertain,1,,Agree,6,
Duffie,Darrell,Uncertain,10,"Geopolitical  polarization of global payments could increase or decrease the RMB share, which has been near 2% for the last decade, with fluctuations but no notable trend.",Strongly Agree,10,"The US economy has benefited from globalization and reliance on the dollar for payments, as a reserve currency, as an issuance currency, as a trade-invoice currency, and in the FX market as a vehicle currency. The economic benefits include lower and more stable financing costs."
Edlin,Aaron,Agree,1,,Agree,4,
Eichengreen,Barry,Uncertain,5,,Disagree,5,
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Uncertain,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Disagree,6,It is hard and takes time to establish a new reserve currency. And the strong anti-China sentiment in many parts of the world makes the renminbi an unlikely candidate.,Uncertain,5,
Greenstone,Michael,Agree,2,,Agree,1,
Hall,Robert,No Opinion,,,Disagree,1,"Now that all suppliers pay interest on reserves, the advantage from has pretty much disappeared"
Hart,Oliver,Disagree,5,,Agree,6,
Holmström,Bengt,Agree,5,,Agree,5,
Hoxby,Caroline,Uncertain,10,,Agree,6,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Judd,Kenneth,Disagree,7,Uncertainty about China's economic and political future makes the renminbi less safe than the dollar.,Agree,7,"It would be negative for the US, but it is not going to happen to any major extent. The dollar remains the safest currency and dollar-denominated bonds remain the safest investments in the world."
Kaplan,Steven,Disagree,3,Skeptical that many countries will want to trust China.,Agree,3,
Kashyap,Anil,Uncertain,3,"If we compare RMB usage in 10 years my guess is that it will be higher, but not nearly enough to have overtaken the dollar (or to be close to overtaking the dollar), but plausibly enough higher to be described as ""substantially"" higher. ",Disagree,5,Dollar dominance is still the best forecast because there is no plausible alternative for a true alternative reserve currency. 
Klenow,Pete,Uncertain,2,,Disagree,3,
Levin,Jonathan,Disagree,3,,Agree,4,
Maskin,Eric,Uncertain,4,,Agree,4,
Nordhaus,William,Uncertain,7, Oils go either way depending on military conditions,Disagree,8,"Small level effect, trivial growth effect"
Obstfeld,Maurice,Disagree,7,,Disagree,7,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Uncertain,1,"If the US acts foolishly, such as failing to raise the debt ceiling and defaulting on US debt, then people will turn to other currencies, including the renminbi.  If the US acts responsibly, the position of the dollar as the primary reserve currency will be secure.",Agree,8,The dollar's position as premier reserve currency allows the US to extract significant resources from the rest of the world; losing this ability would have substantial negative implications.
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Uncertain,5,So much can happen in a decade.,Uncertain,3,
Shapiro,Carl,Uncertain,7,,Strongly Agree,7,
Shimer,Robert,Disagree,5,"Usage of RMB will increase from current levels (~3%), but it will not have a substantial effect on the international eminence of the USD",Disagree,3,"Factors that would end the dominance of the USD, such as a loss in confidence in its stability and in the creditworthiness of the US government, would have substantial negative implications for the US economy, but USD dominance does not confer a substantial advantage to the US."
Stock,James,Disagree,2,,Agree,4,
Thaler,Richard,No Opinion,,,No Opinion,,
Udry,Christopher,Agree,4,,Uncertain,5,
