Last Name,First Name,"Britain's Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement: 



Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,
Acemoglu,Daron,Agree,7,Overreliance on monetary policy for achieving productivity growth has huge downside.,,,,,,,,,,,,,
Alesina,Alberto,Strongly Agree,10,,,,,,,,,,,,,,
Altonji,Joseph,Agree,6,,,,,,,,,,,,,,
Auerbach,Alan,Strongly Agree,10,,,,,,,,,,,,,,
Autor,David,No Opinion,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,,,,,,,,,,,,,
Banerjee,Abhijit,Agree,5,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,,,,,,,,,,,,,
Brunnermeier,Markus,Agree,7,"Creating a stable environment leads to more R&D investments, which promotes productivity growth. ",,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,6,,,,,,,,,,,,,,
Cutler,David,Agree,2,,,,,,,,,,,,,,
Deaton,Angus,No Opinion,,,,,,,,,,,,,,,
Duffie,Darrell,Strongly Agree,8,"Central bankers are not magicians. I would substitute the phrase ""except perhaps"" with ""but can somewhat influence productivity growth"".",,,,,,,,,,,,,
Edlin,Aaron,Did Not Answer,,,,,,,,,,,,,,,
Eichengreen,Barry,Strongly Agree,10,,,,,,,,,,,,,,
Einav,Liran,Uncertain,1,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,8,"They shouldn't have a target rate of productivity growth, climate change, or Cubs wins. Each one matters. None is under their control.",,,,,,,,,,,,,
Greenstone,Michael,Agree,5,,,,,,,,,,,,,,
Hall,Robert,Agree,8,It's hard to think of a worse idea for a central bank than asking it to control productivity growth. Promoters have forgotten King Canute.,,,,,,,,,,,,,
Hart,Oliver,Agree,7,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,6,,,,,,,,,,,,,,
Hoxby,Caroline,Agree,6,,,,,,,,,,,,,,
Hoynes,Hilary,No Opinion,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,8,"Productivity depends on human, physical, and intellectual capital accumulation. Central banks do not have tools to affect such investments.",,,,,,,,,,,,,
Kaplan,Steven,Strongly Agree,7,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,10,"no one familiar with the basic evidence believes this is possible. disclosure, i have part-time appt at Bank of England. this is my own view",,,,,,,,,,,,,
Klenow,Pete,Strongly Agree,10,"I wish they could, but unfortunately no.",,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,,,,,,,,,,,,,
Nordhaus,William,Strongly Agree,9,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,7,,,,,,,,,,,,,,
Samuelson,Larry,Agree,10,"Productivity growth is primarily a technological phenomenon, with monetary policy playing a secondary role.",,,,,,,,,,,,,
Scheinkman,José,Agree,7,Agree but would also include “promoting a well functioning financial system.”,,,,,,,,,,,,,
Schmalensee,Richard,Agree,7,,,,,,,,,,,,,,
Shapiro,Carl,Did Not Answer,,,,,,,,,,,,,,,
Shimer,Robert,Agree,3,"I'd be more confident if ""labor productivity"" were replaced by ""total factor productivity""",,,,,,,,,,,,,
Stock,James,Strongly Agree,7,,,,,,,,,,,,,,
Thaler,Richard,Strongly Agree,5,Brilliant idea! Maybe the Fed can increase my productivity too. I'd like to be able to write faster and better. Also hit golf balls farther,,,,,,,,,,,,,
Udry,Christopher,Uncertain,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
