Last Name,First Name,The annual indexing of Social Security benefits to increases in the consumer price index for urban wage earners and clerical workers (the CPI-W) leads to higher benefits than would be required to compensate recipients for genuine cost-of-living increases.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,10,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Uncertain,3,"CPI-W probably overstates inflation for the general population, but may understate it for the elderly health costs are for this group."
Auerbach,Alan,Uncertain,3,
Autor,David,Uncertain,5,Not certain that inflation faced by elderly corresponds perfectly to inflation faced by urban wage earners and clerical workers.
Baicker,Katherine,Agree,4,
Bertrand,Marianne,Uncertain,4,
Chetty,Raj,Agree,8,
Chevalier,Judith,Agree,8,There is both an upward and downward bias in CPI-w. Chaining and capturing elderly consumption would be an improvement 
Currie,Janet,Agree,7,
Cutler,David,Uncertain,5,I don't recall the latest research on this.
Deaton,Angus,Strongly Disagree,10,"Neither the curret CPI or an indexed version of it has weights appropriate for the Social Security population, so the claim has no basis."
Duffie,Darrell,Uncertain,1,I am not aware of the evidence. 
Edlin,Aaron,Disagree,7,
Eichengreen,Barry,Uncertain,5,
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Did Not Answer,,
Goldin,Claudia,Agree,4,
Goolsbee,Austan,Agree,10,not to get too deep into price index theory but suffice it to say that this is definitely true
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Uncertain,4,"The NIPA PCE index, taken by many to be more accurate, turns out to underweight housing, so it's hard to tell."
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Strongly Agree,10,The chained CPI C-CPI-U gets conditional COLI approx right because it allows bundle of goods to adjust. CPI-W is an upper bound on COLI.
Judd,Kenneth,Uncertain,5,"Is the urban rate of inflation is greater than elsewhere? ""Urban"" covers 87% of the population; see website below."
Kashyap,Anil,Agree,7,"Directionally almost has to be true, but the magnitude is uncertain. "
Klenow,Pete,Strongly Agree,10,
Levin,Jonathan,Uncertain,4,
Maskin,Eric,Agree,7,
Nordhaus,William,Uncertain,9,"Poorly conceived question. CPI-W overstates cost of living for all, but not clear for 65+. Two effects seem close to offsetting."
Obstfeld,Maurice,Disagree,6,
Saez,Emmanuel,Uncertain,6,
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Agree,7,"Most agree that the CPI over-states inflation, but it is less clear that the over-statement is substantial."
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,Uncertain,1,
Thaler,Richard,Uncertain,1,Hard to say without knowing about healthcare costs.
Udry,Christopher,Agree,8,
Zingales,Luigi,No Opinion,,
