Last Name,First Name,"Capping the number of ride-sharing drivers as is being discussed in New York City, Chicago and London will make the average resident in that city worse off.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"To achieve a given level of congestion, it would be better to use taxes for driving that vary based on the level of congestion, rather than limiting the number of ride-sharing vehicles.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,"Complicated issue with many factors involved including price, convenience, availability, safety, and so forth, ",Agree,7,Taxing road use is is good way of dealing with congestion. Main downside is income distribution so could use revenues for public transport.
Antras,Pol,Agree,8,,Agree,8,
Bénassy-Quéré,Agnès,Strongly Agree,8,,Agree,8,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,8,"This seems like a standard demand supply ec10 exercise, with no unusual features
",Agree,8,
Bloom,Nicholas,Disagree,5,,Strongly Disagree,8,
Blundell,Richard William,Agree,7,,Agree,8,
Carletti,Elena,Uncertain,3,,Uncertain,3,
Danthine,Jean-Pierre,Agree,3,At the expense however of all incumbents taxi drivers for whom compensatory measures of a transitory nature could be justified.,Strongly Agree,1,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,7,,Strongly Agree,9,
Fehr,Ernst,Strongly Agree,10,Reduction in service supply will hurt the consumer because of higher prices and perhaps longer waiting times until service delivery,Strongly Agree,10,price mechanism is just a much more efficient mechanism to solve externality problems
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,6,,Agree,7,
Galí,Jordi,No Opinion,,,No Opinion,,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Disagree,7,,Strongly Agree,8,
Griffith,Rachel,Uncertain,8,,Strongly Agree,8,
Guerrieri,Veronica,Agree,7,,Agree,6,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Agree,1,Depends a lot on how tight.  Incumbent lobbying could make it too tight.  There are better measures for reducing traffic congestion. ,Strongly Agree,3,This is the 21st century after all.
Javorcik,Beata,Agree,7,,Agree,6,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"Too many side and cross effects to consider in order to arrive at a ""safe"" welfare conclusion.",Disagree,5,"The marginal cost of adding or subtracting vehicles instantly, according to traffic status, is lower with ride-sharers than with cabs."
Krusell,Per,Strongly Disagree,4,I am not an expert on this!,Strongly Agree,6,I’m using basic micro theory; not evidence. 
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,6,"Consumers benefit from lower prices due to ride sharing competition, but drivers' income and congestion are offsetting considerations",Strongly Agree,8,Tax finer instrument but should apply to all cars; w/ cap drivers stay longer on road. Cong pricing more efficient but distributional effect
Mayer,Thierry,Agree,6,,Agree,9,
Meghir,Costas,Disagree,7,,Agree,8,
Neary,Peter,Agree,8,Restricting quantity will raise prices and lower average welfare. Effects on congestion unlikely to be significant,Strongly Agree,8,Singapore pioneered road pricing decades ago. Sad that it has not been more widely copied. Scarce resources given away freely makes no sense
O'Rourke,Kevin,No Opinion,,,No Opinion,,
Pagano,Marco,Agree,7,,Agree,7,
Pastor,Lubos,Uncertain,3,,Strongly Agree,7,
Persson,Torsten,No Opinion,,,Strongly Agree,7,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Did Not Answer,,,Did Not Answer,,
Prendergast,Canice,Uncertain,7,,Agree,8,
Reichlin,Lucrezia,Uncertain,1,,Agree,1,
Repullo,Rafael,No Opinion,,,Agree,7,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,6,"taxes are better than quotas. Caveat: if congestion affects all, but rides are used by fully priceinelastic people,taxes don't solve problem",Agree,6,"see prior comment. also, need to take into account if taxes can be reasonably enforced."
Sturm,Daniel,Agree,8,"Ride-sharing improves residents transport options, with better transport being key for successful urban areas.",Strongly Agree,9,"Selectively reducing one type of car traffic has no long-run effect on congestion, which can only be reduced with congestion charging. "
Van Reenen,John,Agree,7,,Strongly Agree,8,
Vickers,John,Strongly Agree,7,,Strongly Agree,7,
Voth,Hans-Joachim,Strongly Agree,8,"In principle, regulatory arbitrage is not ideal; but taxi regulation is so hopeless in most cities that Uber et can only make things better",Strongly Agree,9,"A good part of congestion is caused by searching for a parking space; ride sharing reduces that, balancing shifts away from public trans."
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Agree,8,Arbitrary caps on numbers employed in specific industries are unlikely to ever deliver good outcomes. ,Strongly Agree,10,Capping numbers of a specific group of drivers is not an efficient or useful way to deal with congestion. 
Wyplosz,Charles,Agree,3,"Some (those who don't use ride-sharing will benefit, others will lose.",Agree,4,Can it be done well?
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
