Last Name,First Name,Tripling existing import taxes on Chinese steel and aluminum products would lead to measurably higher employment in the US steel industry over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Tripling the tariffs would lead to measurably higher steel and aluminum prices for American producers and measurably higher finished-good prices for American consumers.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The gains for the American economy from tripling the tariffs would measurably outweigh the losses.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Uncertain,3,"It would first depend on whether these imports are shifted to other countries. Second, if it encourages domestic production, it would depend on how automated the new production facilities would be. In sum, there would be some positive effect, but difficult to know how large.",Uncertain,3,"Again, the medium-term price effects would depend on whether imports are shifted to other countries and if there is production domestically, how efficient these new facilities would be.",Uncertain,3,,,,,,,,,,,,,,,,,,,
Aguiar,Mark,Agree,7,,Agree,7,,Disagree,7,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,3,China's share of US steel and aluminum imports is not large enough for the tariff to make a big difference.,Agree,3,Effects are likely to be small.,Disagree,3,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Disagree,5,,Agree,5,,Strongly Disagree,9,,,,,,,,,,,,,,,,,,,
Autor,David,Uncertain,6,The last round of Trump tariffs did not raise employment in protected industries. ,Strongly Agree,9,Hard to see how this could fail.,Strongly Disagree,8,"This is not the sector to protect. It's a tiny number of jobs, large a moribund set of companies (certainly US steel), and a crucial input into many other domestic sectors. Not all tariffs are self-destructive, but this one is. ",,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Uncertain,5,,Agree,5,,No Opinion,,I don't know exactly gains for the American economy means. How do we weigh widespread losses with gains for a small group of workers? ,,,,,,,,,,,,,,,,,,
Bergemann,Dirk,Uncertain,6,"The substitution of chinese steel can come from many sources, thus the impact of american steel employment is less than clear.",Uncertain,1,,Uncertain,7,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,2,,Agree,2,,Disagree,2,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,8,,Agree,6,,Disagree,7,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Uncertain,5,,Agree,8,"I am interpreting ""producers"" to mean industrial producers who use steel/aluminum as an input. ",Disagree,6,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,4,,Agree,4,,Uncertain,4,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,3,"Assuming the US products are somewhat substitutable for Chinese products, the increased demand for US products would cause US employment in this industry to rise. ",Agree,3,The usual microeconomics apply.,Disagree,3,"Depends on the relative efficiency of US production, what's done with the tariff revenues, and China's counter tariffs. I speculate a negative overall impact on the US economy. It's hard to incorporate the national-security implications for the US economy.",,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,8,,Agree,7,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Disagree,5,Likely to just change the source of US imports.,Uncertain,5,"Insofar as source of imports simply changes, price impact will be marginal.",Disagree,5,,,,,,,,,,,,,,,,,,,
Einav,Liran,Uncertain,1,,Agree,1,,Disagree,1,,,,,,,,,,,,,,,,,,,
Fair,Ray,Disagree,5,,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,,
Glaeser,Edward,Uncertain,5,,Agree,6,,Disagree,7,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Strongly Disagree,9,,Agree,9,,Strongly Disagree,10,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,3,,Strongly Agree,6,,Disagree,5,"CO2 intensity not v different but a bit dated: https://www.sciencedirect.com/science/article/abs/pii/S0921344916301458
This is more favorable to US about CO2 intensity (but see source):
https://www.steel.org/wp-content/uploads/2022/09/American-Steel-Carbon-Advantage-_-Final.pdf",,,,,,,,,,,,,,,,,,
Hart,Oliver,Uncertain,5,,Uncertain,5,,Disagree,7,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,3,,Agree,3,,Disagree,3,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Uncertain,10,,Strongly Agree,10,,Uncertain,10,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Uncertain,6,,Strongly Agree,8,,Disagree,6,,,,,,,,,,,,,,,,,,,
Hurst,Erik,Uncertain,8,"Putting a tariff on Chinese steel and aluminum may result in the US importing less from China and more from another country.  Also, the extent to which the US increases production domestically, such production is done more with machines than labor.  ",Agree,4,,Disagree,5,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,7,,Strongly Agree,8,,Strongly Disagree,7,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Strongly Disagree,8,,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Uncertain,3,,Strongly Agree,7,,Disagree,5,,,,,,,,,,,,,,,,,,,
