Last Name,First Name,The current trade barriers in the U.S. sugar industry raise the profits of sugar producers and make the typical U.S. consumer pay more for sugar and goods that use sugar as an input.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,9,
Auerbach,Alan,Agree,7,
Autor,David,Strongly Agree,10,FM Scherer did a cogent analysis of the Sugar Quota system as a Harvard Kennedy School case many years ago. 
Baicker,Katherine,Agree,2,
Bertrand,Marianne,Agree,3,
Chetty,Raj,Agree,7,
Chevalier,Judith,Strongly Agree,10,And drives demand for corn sweeteners.
Currie,Janet,Agree,7,
Cutler,David,Agree,7,
Deaton,Angus,Agree,7,
Duffie,Darrell,Strongly Agree,1,"Economics 101. Lowering the supply (from foreign sources), leads the price to go up. At each price, a tariff lowers the foreign supply."
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,5,
Fair,Ray,Strongly Agree,10,On the other hand sugar has negative health externalities and should probably be heavily taxed.  
Goldberg,Pinelopi,Agree,9,
Goldin,Claudia,Strongly Agree,3,I wrote a term paper on this topic in the previous century when I was an undergraduate.  Don't know anything else about sugar markets.
Goolsbee,Austan,Strongly Agree,10,
Greenstone,Michael,Strongly Agree,7,
Hall,Robert,Did Not Answer,,
Holmström,Bengt,Strongly Agree,9,
Hoxby,Caroline,Uncertain,5,This is purely empirical q that depends on degree to which the barrier binds. I've seen evidence for/against so this is a q for area experts
Judd,Kenneth,Strongly Agree,10,
Kashyap,Anil,Agree,5,
Klenow,Pete,Strongly Agree,8,"Terrible policy, but at least not as bad as the U.S. Sugar Act which expired in 1974."
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,9,Econ 0.0001
Obstfeld,Maurice,Agree,8,
Saez,Emmanuel,Agree,2,
Scheinkman,José,Strongly Agree,9,In addition  sugar trade barriers have caused part of the candy industry to move abroad. Life Savers are now made in Canada.
Schmalensee,Richard,Strongly Agree,7,
Shin,Hyun Song,Agree,6,
Stokey,Nancy,Strongly Agree,10,
Thaler,Richard,Strongly Agree,7,uncle Sam as sugar daddy.
Udry,Christopher,Strongly Agree,8,
Zingales,Luigi,Strongly Agree,10,
