Last Name,First Name,The proposed US tariffs on Chinese EVs would lead to measurably higher employment in the US automotive industry over the next five years.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The proposed US tariffs on Chinese EVs would measurably slow the adoption of green technology by consumers.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"Unless the EU matches the proposed US tariffs on Chinese EVs, there would be measurably lower employment in Europe's automotive industry over the next five years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,"Difficult to say.  It's not clear how much US consumers want to increase their purchases of EVs, particularly US ones.  Without the tariffs, Chinese EVs could be quite cheap, even with them they may be desirable to some consumers.",Agree,5,"BYD sells some good EVs at under $10,000.  Even if in the US they could be sold for $15,000-$20,000, they are likely to be attractive. So the tariffs will probably be damaging to the move towards green technology. ",Disagree,5,"If the EU matches US tariffs on Chinese vehicles, it is quite likely there will be retaliation by the Chinese on European manufacturers, particularly German ones. So employment may be lower with the tariffs."
Antras,Pol,Uncertain,6,"Perhaps yes on impact, especially because tariffs will apply to batteries as well, so there will be incentive to relocate the whole chain. But I worry about substitution effects (EVs are already expensive w/o these tariffs) and about retaliation by other countries.",Agree,5,"Again, I worry about substitution effects, which in this case means slower transition to EVs.",Agree,7,"I think the tariffs on batteries are arguably the most important aspect, because they are relatively easier to trade than assembled vehicles, and because they constitute a huge percentage of the value added of EVs."
Bénassy-Quéré,Agnès,Agree,8,But would likely reduce employment in other sectors.,Agree,8,,Agree,8,
Blanchard,Olivier,Agree,7,and us consumers paying substantially more.,Agree,7,"higher prices for EVs, less adoptions.  ",Disagree,7,"no need to match.  Higher tariffs but not 100%, and no restriction on Chinese FDI in Europe.  "
Blundell,Richard William,Uncertain,3,,Agree,3,,Uncertain,3,
Botticini,Maristella,Uncertain,7,,Uncertain,7,,Uncertain,7,
Carletti,Elena,Uncertain,4,,Uncertain,4,,Uncertain,4,
Danthine,Jean-Pierre,Uncertain,3,,Agree,3,,Agree,3,
De Grauwe,Paul,Disagree,6,,Agree,7,,Uncertain,5,
Eeckhout,Jan,Uncertain,7,,Agree,9,,Disagree,7,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,4,,Uncertain,3,,Uncertain,4,Retaliation by the Chinese government would be an important factor in this.
Galí,Jordi,Agree,6,,Agree,6,,Agree,6,
Garicano,Luis,Agree,6,,Agree,1,,Agree,6,
Gorodnichenko,Yuriy,Uncertain,3,,Uncertain,3,,Uncertain,3,
Griffith,Rachel,Uncertain,1,,Uncertain,1,,Uncertain,1,
Guerrieri,Veronica,Uncertain,7,,Agree,7,,Agree,7,
Guiso,Luigi,Agree,5,,Strongly Agree,6,,Agree,5,
Guriev,Sergei,Agree,7,,Agree,8,,Uncertain,5,
Honohan,Patrick,Uncertain,3,Low adoption of EVs in US reduces impact of imports from China.,Uncertain,3,,Uncertain,3,Tariff on Chinese EVs would have bigger impact in EU than in US. (Though relevance of the US measures to this question doubtful.  Employment in EU auto manufactuing likely to decline with or without imports from China.
Javorcik,Beata,Disagree,8,"The 2018 round of Trump tariffs failed to increase employment opportunities for US workers, as documented in the article below forthcoming in the Journal of the International Economics  https://users.ox.ac.uk/~econ0247/Trump.pdf",Strongly Agree,10,,Disagree,8,
Kőszegi,Botond,Agree,4,,Uncertain,2,,Uncertain,6,
Krahnen,Jan Pieter,Uncertain,5,"Tariffs on EVs will lead to retaliation (not affecting US car industry that much, because it is weak on exports) and relocation (on-shoring Chinese care producers). As a result, for existing car industry in US, EV tariffs will likely not increase employment.",Uncertain,5,"View on US only. Several effects to be expected: EV tariffs bring Chinese companies to the US (raising transition speed), shifting supply to more expensive US firms (lowering green transition), plus: tariff signals roll-back on green transition. ",Disagree,5,"US EV-tariffs lead top increased demand for combustibles, and more exports from EU. Moreover, without higher EU-tariffs on EVs, EU car industry will adjust fast to EV transition, becoming more competitive, and eventually increasing employment, ceteris paribus.   "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Disagree,3,,Agree,3,,Disagree,3,
Mayer,Thierry,Strongly Disagree,9,The existing level of tariffs is already quite prohibitive (actual imports of EVs from China are negligible). ,Agree,8,"Since price elasticity of EVs does not seem to differ substantially from the (high) levels for internal combustion engines, the CURRENT level of tariffs slows down transition to EVs.",Uncertain,6,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,3,,Agree,4,,Strongly Agree,5,
Pastor,Lubos,Uncertain,3,,Agree,7,,Uncertain,3,
Portes,Richard,Uncertain,3,,Agree,3,,Agree,4,
Prendergast,Canice,Agree,6,,Agree,6,,Agree,5,
Propper,Carol,Uncertain,3,,Agree,5,,Uncertain,4,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Uncertain,4,,Agree,5,,Uncertain,4,
Reis,Ricardo,Agree,6,"Only in the short run, and that may be a quite short time.",Strongly Agree,8,,Disagree,3,
Repullo,Rafael,Uncertain,2,,Agree,2,,Uncertain,2,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,7,,Agree,8,,Uncertain,5,
Storesletten,Kjetil,Agree,5,"Yes, higher employment in the US automobile industry - combined with higher car prices and lower employment in other industries",Agree,5,,Agree,4,Higher employment in the automobile industry and lower employment elsewhere. And more expensive cars
Sturm,Daniel,Uncertain,4,,Disagree,4,,Uncertain,4,
Tenreyro,Silvana,Agree,2,,Agree,6,,Uncertain,1,
Van der Ploeg,Rick,Disagree,4,,Agree,5,,Disagree,5,
Van Reenen,John,Disagree,8,,Agree,7,,Uncertain,5,
Vickers,John,Agree,4,But not higher employment in the US economy,Agree,4,,Uncertain,4,"The reference to matching gives me  pause.  Anyway policy should be concerned with employment in the European economy as a whole, not one sector of it. "
Voth,Hans-Joachim,Uncertain,7,,Agree,8,,Uncertain,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,4,,Agree,5,,Agree,4,
