Last Name,First Name,Economic analysis can identify whether countries are using their exchange rates to benefit their own people at the expense of their trading partners’ welfare.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Bank of Japan monetary policies that result in a weaker yen make Americans generally worse off.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,,Uncertain,5,Americans benefit from cheaper Japanese goods and would not benefit from Japan in depression.
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,No Opinion,,,No Opinion,,
Auerbach,Alan,Disagree,5,,Disagree,7,
Autor,David,Uncertain,1,,Uncertain,1,
Baicker,Katherine,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Disagree,6,"Its hard to know whether the net effect of the manipulation is to benefit the average citizen, just some interest group or indeed no one.",Uncertain,7,
Bertrand,Marianne,Agree,1,,Agree,1,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Cutler,David,Uncertain,5,,Uncertain,5,
Deaton,Angus,No Opinion,,,Disagree,7,
Duffie,Darrell,Agree,7,"Yes, but it seems rare in practice that conditions support both detection of the strategy and effectiveness of the strategy by the ""abuser"".",Disagree,6,America's cost in lower domestic output may have been recovered through better or cheaper substitutes from Japan. 
Edlin,Aaron,Agree,7,,Uncertain,7,
Eichengreen,Barry,Uncertain,10,,Disagree,10,
Einav,Liran,Uncertain,3,,No Opinion,,
Fair,Ray,Disagree,5,,Uncertain,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,3,"""though twilight may be long, there is a difference between day and night""",Uncertain,1,
Greenstone,Michael,Uncertain,1,,Uncertain,1,
Hall,Robert,Disagree,2,Optimal tariff theory says that countries should raise their prices. So policies to lower prices by devaluing must be harmful.,Disagree,3,Most Americans benefit because of lower prices of imports. Some lose because they are employed in industries competing with the devaluer.
Hart,Oliver,Disagree,5,"The answer depends on whether prices are flexible or sticky,the importance of foreign inputs in domestic goods. So hard to assess welfare. ",Uncertain,5,Again it depends on whether prices are flexible or sticky. Also Americans benefit from cheaper Japanese goods. So hard to say.
Holmström,Bengt,Uncertain,6,,Agree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Judd,Kenneth,Uncertain,6,,Disagree,7,"Some may lose, but a cheaper yen will benefit buyers of Japanese goods. Japan trades with many nations. Japanese gains do not imply US loss."
Kaplan,Steven,Uncertain,1,,Disagree,5,
Kashyap,Anil,Disagree,7,"Like the Volcker rule, the devil is in the details and most of the time it is very difficult to determine; rule very, very hard to write. ",Disagree,5,Will be good for us if japan grows and avoids a crisis.  loose monetary policy one example of why a rule is so difficult
Klenow,Pete,Uncertain,3,,Uncertain,3,A  weaker yen means a terms of trade *improvement* for the U.S. 
Levin,Jonathan,Agree,5,,No Opinion,,
Maskin,Eric,Agree,6,,Agree,6,
Nordhaus,William,Uncertain,1,Have no idea of what this question means.,Disagree,3,"No macro effect if US offsets with mon policy, and will help stabilize world economy. So no if cooperative policies."
Saez,Emmanuel,Agree,3,,Uncertain,5,
Samuelson,Larry,Uncertain,1,This is a difficult inference problem.,Disagree,6,The weak yen gives rise to winners and losers in the US; it is not clear that the net effect (even if we could measure it) is negative.
Scheinkman,José,Disagree,8,,Disagree,8,"Even if effective, BoJ policies to weaken yen would help some Americans while hurting others. "
Schmalensee,Richard,Disagree,3,,Uncertain,4,
Shapiro,Carl,Uncertain,1,,No Opinion,,
Shimer,Robert,Uncertain,5,Exchange rate policy matters because of nominal rigidities and affects on global supply and demand. Identifying these situations is tricky.,Disagree,7,"As usual, there are winners and losers from such policies"
Thaler,Richard,Uncertain,1,,Uncertain,1,
Udry,Christopher,No Opinion,,,No Opinion,,
