Last Name,First Name,Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Randomized control trials are a valuable tool for making significant progress in poverty reduction.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,8,RCTs are a very good way in certain circumstances to establish whether certain business strategies and public policies are beneficial.,Agree,8,They can help identify the uses for new technologies and how they can best be implemented.
Antras,Pol,Strongly Agree,9,"It is not the ONLY valuable tool, but in my view it is certainly a highly informative tool.",Strongly Agree,9,Though again other tools are also valuable.
Bénassy-Quéré,Agnès,Agree,1,,Strongly Agree,10,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,7,,Strongly Agree,7,
Bloom,Nicholas,Strongly Agree,10,,Strongly Agree,10,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Agree,4,,Agree,4,
Danthine,Jean-Pierre,Agree,5,,Agree,6,
De Grauwe,Paul,Agree,6,,Uncertain,6,Compared to poverty reductions made possible by institutional reforms (e.g. as implemented in china) those made possible by RCEs are limited
Eeckhout,Jan,Strongly Agree,8,,Strongly Agree,8,
Fehr,Ernst,Strongly Agree,10,,Agree,9,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,7,,Agree,8,"As in any area of research, no one method or approach alone will solve a complex problem. "
Galí,Jordi,Uncertain,3,,Uncertain,3,
Giavazzi,Francesco,Strongly Agree,8,,Strongly Agree,8,
Griffith,Rachel,Agree,9,,Agree,8,
Guerrieri,Veronica,Strongly Agree,7,,Strongly Agree,7,
Guiso,Luigi,Uncertain,7,,Uncertain,7,
Honohan,Patrick,Agree,8,Despite the fact that the answers might be dependent on local conditions where the surveys are carried out.,Agree,8,"For micro interventions; macro/systemwide policy and institutions also needed, though."
Javorcik,Beata,Agree,9,,Uncertain,5,
Kőszegi,Botond,Strongly Agree,10,,Strongly Agree,10,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,4,"This is an overall YES, because it addresses directly the identification problem, thereby hinting at effective policy instruments.",Agree,6,The fact that I learn something about causality does not imply implementing isolated changes (of instruments) in the real world is easy. 
La Ferrara,Eliana,Strongly Agree,10,,Strongly Agree,10,
Leuz,Christian,Agree,7,Clearly an important tool not only in development. Work by 3 Nobel Laureates has demonstrated this for dev. But also not the only one.,Agree,3,"Pov reduct is complicated process involving mkts, institutions & politics. RCT can help but need many tools, incl. theory, for sign. reduct."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,3,A great addition to economists’ toolkit - tho we should not expect too much of them,Agree,3,Significant? Yes. Quantitatively important? Not in all cases. Need to keep  the Deaton-Pritchett qualifications in mind
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,6,,Agree,6,
Pastor,Lubos,Strongly Agree,2,,Agree,2,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,6,,Disagree,6,
Prendergast,Canice,Agree,7,,Agree,6,
Reichlin,Lucrezia,Agree,3,,Uncertain,3,
Repullo,Rafael,Did Not Answer,,,Did Not Answer,,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,9,,Agree,9,"Limits to the impact of RCTs arise if decisionmakers do not act on the information generated, macro distortions cannot be tested with RCTs."
Sturm,Daniel,Strongly Agree,10,"Experiments have their issues, but what would be our medical knowledge without experiments? More need to follow their lead.",Strongly Agree,10,
Van Reenen,John,Strongly Agree,10,,Strongly Agree,10,
Vickers,John,Agree,3,,Agree,3,
Voth,Hans-Joachim,Agree,9,,Uncertain,8,"external validity is a real concern with all RCTs, as Duflo and Banerjee also argue (""The plumbing matters"")"
Weder di Mauro,Beatrice,Uncertain,5,,Agree,5,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,5,Well settled technology,Strongly Agree,5,
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
