Last Name,First Name,"Even if the third round of quantitative easing that the Fed recently announced increases real GDP growth over the next two years, the increase will be inconsequential.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Even if the third round of quantitative easing that the Fed recently announced increases annual consumer price inflation over the next five years, the increase will be inconsequential.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Even if inflationary pressures rise substantially as a result of quantitative easing and low interest rates, the Federal Reserve has ample tools to rein inflation back in if it chooses to do so.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Uncertain,3,,Uncertain,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,No Opinion,,"My guess is QE3 will have a small positive effect on GDP, but I am not well informed on this issue.",No Opinion,,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Uncertain,3,,Uncertain,3,,Uncertain,3,,,,,,,,,,,,,,,,,,,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Uncertain,1,,Agree,2,,Agree,2,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Uncertain,4,,Uncertain,1,,Agree,5,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Currie,Janet,Disagree,5,,Uncertain,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Cutler,David,Disagree,3,,Agree,6,,Agree,4,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Uncertain,1,What does inconsequential mean?,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Disagree,7,"The impact might be small, but ""inconsequential"" , to me, means ""of negligible value."" The Fed is doing this for a reason, not for fun.",Uncertain,7,"The path of Inflation could be raised moderately over 5 years by this QE. The Fed has said as much, and probably wants a bit more inflation.",Agree,9,"Yes, it clearly has the tools, but will it use them quickly and aggressively, especially given the short-run cost in jobs? We may find out.",,,,,,,,,,,,,,,,,,
Edlin,Aaron,Disagree,8,,Uncertain,5,,Agree,7,,,,,,,,,,,,,,,,,,,
