Last Name,First Name,Using government funds to guarantee preschool education for four-year olds would yield a much lower social return than the ones achieved by the most highly touted targeted preschool initiatives.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Uncertain,4,"More public investment in pre-school educated is warranted, but good targetted programs cost less and crowd out less parental invest."
Auerbach,Alan,Agree,3,
Autor,David,Agree,8,"Contemporary research has not reproduced the miracles seen in Perry, Abecedarian and Early Learning."
Baicker,Katherine,Agree,2,
Bertrand,Marianne,Uncertain,3,
Chetty,Raj,Uncertain,7,
Chevalier,Judith,Agree,4,
Currie,Janet,Agree,9,"Returns are highest for quality programs for disadvantaged children, many of whom are already being served through Head Start & state progs."
Cutler,David,Agree,3,"I suspect this is true, but one shouldn't overstate selection relative to learning about how to do it better over time."
Deaton,Angus,Strongly Agree,7,
Duffie,Darrell,Disagree,1,
Edlin,Aaron,Agree,8,The most highly touted have higher returns than average. That does not mean that universal per school is a bad idea.
Eichengreen,Barry,Uncertain,3,
Fair,Ray,No Opinion,,
Goldberg,Pinelopi,Uncertain,4,The evidence on preschool initiatives has been very mixed.
Goldin,Claudia,Strongly Agree,7,Of course the average is lower than the max.  But that does not mean the nation should not go that route.
Goolsbee,Austan,Disagree,7,
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Uncertain,1,"If we used the gov funds to propagate the most highly touted programs, wouldn't we get a good result? But I don't have any expertise here."
Holmström,Bengt,Strongly Disagree,8,The Nordic experience speaks strongly against this view.
Hoxby,Caroline,Uncertain,10,Bad Q!. Univ preK is wasteful b/c much is pure transfer to upper-inc families. However social returns to highly touted prgms very uncertain!
Judd,Kenneth,No Opinion,,"Question is fuzzy. Also, the real question is whether the social return is high enough to justify the costs."
Kashyap,Anil,No Opinion,,Too far from my expertise to say. 
Klenow,Pete,Uncertain,5,
Levin,Jonathan,Agree,4,"Question is a bit confusing. Presumably lower than very high-end estimates of Perry program, but I'd have wide confidence interval."
Maskin,Eric,Agree,6,
Nordhaus,William,No Opinion,,
Obstfeld,Maurice,No Opinion,,
Saez,Emmanuel,Uncertain,4,
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Agree,7,
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,Agree,8,Recent reserach suggests that the large gains from expanding preschool will come if funds are targeted toward disadvantaged families.
Thaler,Richard,Uncertain,1,"If the question is whether the average is less than the max, then not interesting.  And no idea how to interpret ""much"". Right Q: is NPV>0"
Udry,Christopher,Strongly Disagree,3,There is solid evidence that good preschool education has a high return. Implementation is a challenge but ingredients for success are known
Zingales,Luigi,No Opinion,,
