Last Name,First Name,"New technology for fracking natural gas, by lowering energy costs in the United States, will make US industrial firms more cost competitive and thus significantly stimulate the growth of US merchandise exports. (The experts panel previously voted on this question on May 23, 2012. Those earlier results can be found here.)",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,Two caveats. How significant this effect will be is uncertain. It might have negative side effects by discouraging switch to cleaner energy.
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,5,
Auerbach,Alan,Uncertain,3,
Autor,David,Agree,7,
Baicker,Katherine,Did Not Answer,,
Banerjee,Abhijit,Disagree,5,The effect on the world price of energy is probably small and would be partly balanced by a rise in the dollar as US imports drop.
Bertrand,Marianne,Agree,3,
Brunnermeier,Markus,Agree,5,
Chetty,Raj,Uncertain,1,
Chevalier,Judith,Agree,8,Transportation costs for natural gas are sufficient to imply that the US will face prices below the world price of energy.  
Currie,Janet,Uncertain,5,The part I am uncertain about is whether lower energy costs are likely to have a significant effect on the competitiveness of U.S. exports.
Cutler,David,Disagree,7,
Deaton,Angus,Agree,3,
Duffie,Darrell,Agree,4,"Lower an input cost and produce at a lower total cost. The statement does not consider the environmental costs, which may be significant.  "
Edlin,Aaron,No Opinion,,
Eichengreen,Barry,Disagree,5,"In a global market for energy, US and foreign manufacturing firms will ultimately face the same energy costs."
Einav,Liran,Uncertain,3,
Fair,Ray,Did Not Answer,,
Finkelstein,Amy,Uncertain,5,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Strongly Agree,9,at least while our extraction technology is better than everyone else's (we're not the only ones with shale reserves)
Greenstone,Michael,Disagree,3,unlikely to be significant & extent depends on export restrictions.  Welfare likely maximized with no restrictions. see below reference.
Hall,Robert,Did Not Answer,,
Hart,Oliver,Uncertain,2,"I agree that energy cost should fall, which will increase U.S. competitiveness. The effects on growth are more subtle, and harder to predict"
Holmström,Bengt,Agree,6,
Hoxby,Caroline,Disagree,10,Fuel prices are largely set on a world market so the supply in any one country does not reduce its producers' input costs markedly.
Hoynes,Hilary,Uncertain,5,
Judd,Kenneth,Agree,4,
Kaplan,Steven,Strongly Agree,8,
Kashyap,Anil,Agree,3,I have learned that this energy source will mainly produce local gains & US manufacturers probably will benefit.  Magnitudes still uncertain
Klenow,Pete,Agree,5,
Levin,Jonathan,Agree,4,"Definitely agree on direction, less confident about magnitudes. "
Maskin,Eric,Agree,7,
Nordhaus,William,Disagree,6,"Clearly will make more competitive in some sectors, but unlikely to make major impact on aggregate."
Saez,Emmanuel,Uncertain,3,
Samuelson,Larry,Agree,6,"Absent frictions, prices would fall world wide.  We can expect US firms to gain from some frictions, though the magnitude is hard to assess."
Scheinkman,José,Agree,5,"Not sure about ""significantly"". Cost advantage will  diminish as LNG transportation infrastructure develops and export restrictions drop. "
Schmalensee,Richard,Strongly Agree,8,Natural gas prices are NOT determined in a world market.  Prices in the US will be cheaper than those in most nations for a long time.
Shapiro,Carl,Agree,7,
Shimer,Robert,Strongly Disagree,8,Fracking will reduce energy imports and hence reduce net exports of other goods. This doesn't mean that fracking is a bad idea!
Stokey,Nancy,Did Not Answer,,
Thaler,Richard,Uncertain,1,Isn't oil a global commodity?  
Udry,Christopher,Strongly Disagree,7,At best a short-run and insignificant effect; prices are set in a global market.
