Last Name,First Name,"All else equal, Patent Assertion Entities — which specialize in acquiring and asserting patents and are popularly known as “patent trolls"" — promote innovation in the U.S.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Within the software industry, the US patent system makes consumers better off than they would be in the absence of patents.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,1,,Uncertain,7,
Alesina,Alberto,No Opinion,,,Agree,1,
Altonji,Joseph,Disagree,2,,Agree,6,
Auerbach,Alan,Disagree,3,,Uncertain,3,
Autor,David,Strongly Disagree,7,,Strongly Disagree,5,
Baicker,Katherine,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Disagree,7,It creates incentives for many spurious patents that might actually block innovation.,Uncertain,5,A lot of the open source software has been hugely influential.
Bertrand,Marianne,Disagree,4,,Disagree,4,
Brunnermeier,Markus,Strongly Disagree,8,,Uncertain,8,
Chetty,Raj,No Opinion,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Currie,Janet,Disagree,1,,Disagree,5,
Cutler,David,Disagree,4,,Agree,7,
Deaton,Angus,Agree,6,,Agree,6,
Duffie,Darrell,Uncertain,3,"Allowing more competition for patent rights is good, but frictions in that market might suggest barring trolls. I'm uncertain.",Strongly Agree,5,"The usual incentive-for-innovation justification for patent protection seems to apply here, as in many other markets."
Edlin,Aaron,Uncertain,7,,Uncertain,7,
Eichengreen,Barry,Uncertain,5,,Uncertain,5,
Einav,Liran,Disagree,6,,Disagree,7,
Fair,Ray,Did Not Answer,,,Did Not Answer,,
Finkelstein,Amy,No Opinion,,,Agree,3,
Goldberg,Pinelopi,Disagree,6,,Agree,6,"There is a lot of room for improvement of the current system, but without any patents at all, there would be no incentives to innovate."
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Disagree,3,No definitive evidence but available evidence points negative.  See references,Uncertain,6,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Uncertain,5,If  patents are correctly  granted trolls can encourage innovation.  if patents are incorrectly granted trolls can impede innovation.,Uncertain,5,"Patents can encourage innovation. But many trivial software patents seem to be granted, which can discourage innovation and hurt consumers."
Holmström,Bengt,Uncertain,5,,Agree,8,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,No Opinion,,,Strongly Agree,10,
Judd,Kenneth,Uncertain,10,"This may just be rent seeking but how can this activity be prevented without destroying the transferability of patents, a form of property?",Agree,8,Example: Economists oppose software development in economics. Innovation would be further reduced if there were no financial returns. 
Kaplan,Steven,Strongly Disagree,8,,Uncertain,8,
Kashyap,Anil,Disagree,5,,No Opinion,,
Klenow,Pete,Disagree,1,,Disagree,1,
Levin,Jonathan,Disagree,4,,Disagree,5,
Maskin,Eric,Strongly Disagree,8,,Strongly Disagree,8,
Nordhaus,William,Uncertain,1,,Uncertain,1,
Saez,Emmanuel,Disagree,2,,Disagree,3,
Samuelson,Larry,Disagree,8,"Conclusive evidence is difficult to come by, but there appears to be no evidence that they have a positive effect.",Uncertain,6,"Open source is at least a viable alternative.  Patents have advantages, but their net effect is unclear."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Uncertain,4,"Not simple.  Probably encourages independent inventors & small firms, but their weak-basis lawsuits are a tax on other innovators.",Uncertain,5,A sensible system for software patens would clearly be better than nothing.  The current system?  Not so clear.
Shapiro,Carl,Strongly Disagree,8,,Strongly Disagree,8,
Shimer,Robert,Uncertain,1,"Patent trolls pay for patents, which encourages innovation, but they obviously also suppress future innovation",Uncertain,1,Very much a quantitative question.  
Stokey,Nancy,Uncertain,1,,Agree,5,
Thaler,Richard,Disagree,10,In some fields they seem to impede innovation.  I applaud Tesla's recent decision to release all their patents.  ,Strongly Disagree,6,This is the domain in which the patent system seems to be in most need of reform.  
Udry,Christopher,Uncertain,1,,Disagree,7,
