Last Name,First Name,Imposing stronger legal liability on online platforms for content posted by users would substantially reduce the amount of user-generated content available on those platforms.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Imposing stronger legal liability on online platforms for content posted by users would substantially damage those platforms’ advertising businesses.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Imposing stronger legal liability on online platforms for content posted by users would substantially reduce the amount of misinformation and disinformation present on those platforms.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,4,"Probably yes, but the effect may not be substantial and there might be a process of bad content being replaced by higher-quality content.",Agree,4,"Leading platforms' business model is currently based on maximizing user engagement, often via emotional triggers and outrage. Removing some of the questionable user content would reduce this type of engagement and digital advertising revenue.",Agree,4,"These platforms are playing the roles previously performed by newspapers, but without editorial responsibility. Legal liability would push them towards responsible publishing, especially toward less algorithmic boosting of the most questionable content to maximize user engagement"
Altonji,Joseph,Agree,3,,Uncertain,3,,Agree,3,
Auerbach,Alan,Agree,5,,Agree,3,,Agree,5,
Autor,David,Strongly Agree,8,,Agree,7,"Probably, but if that were the primary cost, I'd say it's a small price to pay. That's not the main cost, however. ",Agree,7,"It would reduce all information, good, bad, and indifferent. That's the real cost: not the loss of misinformation but the loss of a substantial chunk of everything else. "
Banerjee,Abhijit,Agree,5,,Agree,4,That might all be good for the world,Agree,4,
Bertrand,Marianne,Uncertain,6,,Uncertain,6,,Agree,6,
Brunnermeier,Markus,Uncertain,7,,Uncertain,7,,Strongly Agree,6,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Uncertain,4,,Uncertain,4,,Agree,3,
Deaton,Angus,Uncertain,5,,Uncertain,5,,Agree,7,
Duffie,Darrell,Agree,1,,Uncertain,1,,Agree,1,
Edlin,Aaron,Uncertain,1,"It depends. Even if liability is substantial, it might come from a small portion of content.  And, platforms might spend what it takes to eliminate that content or to absolve themselves of negligence and liability. ",Uncertain,9,"
It depends upon how much content is eliminated and the positive or negative value of advertising next to that content.  Consider that Musk reportedly lost, rather than won, boatloads of advertising revenue (in part) by loosening content restraints.",Agree,9,If the liability for misinformation or disinformation is large enough then one way or another the platforms will have less of that content.
Eichengreen,Barry,Uncertain,5,"Some reduction by those worried by potential legal liability, but ""substantially""?",Uncertain,1,Unlikely to be substantial.,Agree,5,
Einav,Liran,Disagree,1,,Disagree,1,,Uncertain,1,
Fair,Ray,Agree,5,,Disagree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Agree,4,Limited by the growth of judgment-proof platforms,Uncertain,1,,Uncertain,4,Likely to migrate to judgment-proof platforms
Hart,Oliver,Uncertain,5,,Uncertain,5,,Agree,7,
Holmström,Bengt,Agree,4,I hope I'm right about substantial reduction.,Uncertain,4,,Strongly Agree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Judd,Kenneth,Agree,7,Platforms would impose new rules which would impose a burden on all users.,Agree,4,,Uncertain,7,The major sources of misinformation will find ways around the new rules.
Kaplan,Steven,Agree,5,,Agree,3,,Disagree,8,"Plenty of incorrect information from many sources these days, including mainstream media of different political persuasions."
Kashyap,Anil,Agree,7,,Uncertain,1,"If I have to guess I would say it will lower it, but there are offsetting forces that will shape the new equilibrium and hence ad prices and revenue.  ",Agree,3,But some legit content will be pulled back too.  
Klenow,Pete,Agree,1,,Agree,1,,Uncertain,1,
Levin,Jonathan,Agree,4,Seems like a very real possibility although details of liability would matter.,Uncertain,4,,Disagree,4,
Maskin,Eric,Agree,5,,Uncertain,4,,Agree,5,
Nordhaus,William,Agree,4,,Agree,5,,Agree,3,
Obstfeld,Maurice,Uncertain,3,,Disagree,3,,Agree,3,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Agree,6,"If the liability is sufficiently demanding and enforced, we can expect a significant reduction in total content.  It is less clear that the overall usefulness of the content on the platform will be reduced.",Uncertain,1,Advertising is tied to usefulness rather than total content of volume; it is uncertain whether this effect will be significant.,Agree,6,
Scheinkman,José,Agree,5,,Uncertain,1,,Agree,5,
Schmalensee,Richard,Agree,3,A substantial effect would require substantially stricter standards.,Uncertain,3,Wouldn't get much of an effect if the people censored are not good ad targets.,Uncertain,6,"Depends on what the platforms are liable for. Can't ask them to fact-check all posts, so mis-information would still abound."
Shapiro,Carl,Agree,7,,Agree,3,,Agree,6,
Shimer,Robert,Strongly Agree,7,"In all questions, the strength of the response depends on how stronger stronger liability is enforced",Uncertain,5,Less content but higher quality could raise user engagement and hence ad revenue,Agree,6,But it will also reduce the amount of controversial but correct information through overzealous moderation
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
