Last Name,First Name,A mandate for public companies to provide climate-related disclosures (such as their greenhouse gas emissions and carbon footprint) would provide financially material information that enables investors to make better decisions.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,A mandate for public companies to provide climate-related disclosures would induce them to reduce their climate impact significantly.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,6,Climate related disclosures are likely to become more important for asset pricing going forward.,Agree,5,This seems to be becoming more important in Europe and the US as time passes.
Antras,Pol,Agree,5,Not an expert on this. But I’d imagine that info would be relevant for NPDV of future profits (at least due to consumers’ response to info).,Agree,6,"Otherwise, they may face backlash from some consumers."
Bandiera,Oriana,Uncertain,8,,Uncertain,8,
Blanchard,Olivier,Agree,7,"better than nothing, but this will not change the world. ",Agree,7,"same answer: it cannot do harm, but stronger measures (carbon price, or stronger) are absolutely needed. "
Bloom,Nicholas,Agree,7,Yes - but we this just for public firms and excludes private firms. I would rather something general covering all firms.,Uncertain,7,
Blundell,Richard William,Agree,6,,Agree,5,
Carletti,Elena,Strongly Agree,7,,Agree,7,
Danthine,Jean-Pierre,Strongly Agree,8,,Agree,8,would work for some firms more than for others. but have a positive effect on average
De Grauwe,Paul,Agree,7,,Uncertain,5,
Eeckhout,Jan,Agree,7,,Agree,6,
Fehr,Ernst,Strongly Agree,9,,Uncertain,8,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,8,,Agree,5,
Galí,Jordi,Agree,6,,Agree,6,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Agree,6,,Agree,6,
Guerrieri,Veronica,No Opinion,,,Uncertain,3,
Guiso,Luigi,Agree,6,,Agree,5,I have some  evidence showing this
Guriev,Sergei,Strongly Agree,8,,Agree,7,
Honohan,Patrick,Agree,4,,Agree,1,
Javorcik,Beata,Strongly Agree,8,,Agree,8,
Kőszegi,Botond,Agree,8,,Uncertain,4,
Krahnen,Jan Pieter,Agree,8,"Since future regulatory developments are likely to increase the costs of emissions, they affect expected cashflow, and firm value.",Uncertain,5,"Disclosure may provide incentives for a ""run to the median"", with some companies issuing/emitting less, and perhaps others issuing more. "
La Ferrara,Eliana,Agree,5,,Agree,5,
Leuz,Christian,Agree,8,GHG emissions are largely externalities & thus not obviously material to investors. But investors try to price carbon risks using disclosure,Agree,8,"Lit. broadly supports such real effects. But at times unintended effcts from mandates. For GHG, there is evidence of GHG reductions (US&UK) "
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,8,,Agree,9,
Pagano,Marco,Agree,8,Provided the information is provided via well-designed templates and can be processed easily by investors.,Agree,8,
Pastor,Lubos,Agree,10,,Agree,10,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,4,,Uncertain,4,
Prendergast,Canice,Agree,8,,Agree,7,
Propper,Carol,Agree,4,,No Opinion,,
Rasul,Imran,Agree,6,,Uncertain,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Agree,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,8,the usefulness of such reports depends on how reporting standards are enforced. and how easy it is to do precise + comprehensive measurement,Uncertain,9,"if  climate impact can be precisely measured, it can help  investors to push for change. But if not, it will just lead to window dressing"
Storesletten,Kjetil,Uncertain,2,,Disagree,3,Policy makers should spend effort on implementing more effective measures. Go for a direct CO2 tax.
Sturm,Daniel,Agree,4,"Such disclosures are not a bad idea, but may not provide much additional information to what is already in the public domain. ",Uncertain,4,Pressure to improve environmental performance is growing substantially and additional information disclosures may not add much to that. 
Van Reenen,John,Agree,6,,Uncertain,5,
Vickers,John,Uncertain,4,Financially material for some companies but not others,Uncertain,4,
Voth,Hans-Joachim,Uncertain,8,,Disagree,9,
Whelan,Karl,Uncertain,5,It's hard to get this reporting to be accurate or precise and it's not clear how useful it is purely from a private investor perspective.,Uncertain,5,"It may do so. It could also provoke a lot of effort devoted to ""greenwashing"" to make companies look better than they really are."
Wyplosz,Charles,Agree,5,Remains to be seen how informative this can be.,Uncertain,4,"Costs and benefits will have to be balanced, as always."
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
