Last Name,First Name,"Over the past two years, all else equal, the appeal of the US as a destination for immigrants has changed in ways that will likely decrease innovation in the US economy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Agree,8,Trump's election has put off many creative people who might otherwise be interested in moving to the US. 
Antras,Pol,Strongly Agree,8,The role of immigrants in U.S. innovation has been and continues to be very important. A decline in immigration will harm U.S. innovation.
Bénassy-Quéré,Agnès,Agree,6,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Agree,4,
Bloom,Nicholas,Agree,7,"Blocking Iranians has been very costly for Silicon Valley - there are many Iranian scientists, engineers and VC funders."
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,No Opinion,,
Danthine,Jean-Pierre,Agree,3,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Agree,7,"Migration is disproportionately by high and low skilled, less by middle skilled. Less entry of high skilled might stifle innovation."
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,No Opinion,,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Disagree,5,on average really motivated people will still be able to get there
Griffith,Rachel,Agree,6,
Guerrieri,Veronica,Agree,6,
Guiso,Luigi,Strongly Agree,10,empirical evidence shows that immigrants are among the most successful US entrepreneurs 
Honohan,Patrick,Agree,3,
Kőszegi,Botond,No Opinion,,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Agree,7,"I know a few excellent students who in earlier years would have applied for a top US school, and who now prefer to stay in Europe."
Krusell,Per,Strongly Agree,5,President Trump is broadly disliked by highly educated people abroad and my GUESS is that these people think twice before moving to the U.S.
La Ferrara,Eliana,Agree,5,
Leuz,Christian,Agree,7,"Will have neg impact on US human capital, which has tight link to innovation. Magnitude less clear. Impact seen in applications for MBA prgs"
Meghir,Costas,Did Not Answer,,
Neary,Peter,Agree,8,Hostility to immigrants deters newcomers. Mainland European and Asian countries are seeking to benefit from this. 
O'Rourke,Kevin,Agree,3,Trump's America is not appealing. On the other hand whether you want to go there or not depends on what your alternative is. Which varies.
Pagano,Marco,Strongly Agree,6,
Pastor,Lubos,Agree,5,
Persson,Torsten,Agree,8,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Agree,8,
Prendergast,Canice,Agree,8,
Reichlin,Lucrezia,Strongly Disagree,9,
Repullo,Rafael,Agree,8,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Strongly Agree,9,"William Kerr, U.S. High-Skilled Immigration, Innovation, and Entrepreneurship, NBER Working Paper No. 19337"
Van Reenen,John,Strongly Agree,7,
Vickers,John,Agree,5,
Voth,Hans-Joachim,Strongly Agree,9,
Weder di Mauro,Beatrice,Strongly Agree,8,Many students and researchers are no longer interested in going  to the US
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Did Not Answer,,
Zilibotti,Fabrizio,Did Not Answer,,
