Last Name,First Name,"Subsidizing Green Technology

 
Government subsidies for investment in green technologies are justified by substantial benefits coming from reducing unpriced carbon emissions and generating positive R&D spillovers.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Using subsidies for green technologies instead of full carbon prices will lead to substantially more rent-seeking and hence substantially higher costs to achieve a given reduction in emissions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,The externalities are difficult to measure but the costs of not doing much seem large.,Uncertain,5,It depends how the policies are designed and enforced.  The results of the policies could go either way.
Antras,Pol,Agree,7,It's certainly built into many models of innovation in clean technologies. Work by a job-market candidate at BU (Eric Donald) provides some evidence.,Agree,5,"Unless subsidies are based on objective, measurable criteria."
Bénassy-Quéré,Agnès,Agree,10,,Strongly Agree,10,Both instruments need to be combined 
Blanchard,Olivier,Agree,8,,Strongly Agree,8,
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Agree,5,,Agree,5,
Botticini,Maristella,Agree,8,,Uncertain,7,
Carletti,Elena,Uncertain,5,,Agree,5,
Danthine,Jean-Pierre,Strongly Agree,7,,Agree,7,
De Grauwe,Paul,Agree,7,,Uncertain,5,
Eeckhout,Jan,Agree,7,"Better than nothing but inferior to carbon pricing: the price system is better at picking right technologies. In addition, while subsidies create a wedge between brown and green technology, they tend to lower the average price of energy, whereas optimal policy should raise prices",Strongly Agree,9,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,5,,Agree,8,
Galí,Jordi,Strongly Agree,7,,Uncertain,5,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Strongly Agree,7,,Uncertain,1,
Guerrieri,Veronica,Agree,7,,Uncertain,7,
Guiso,Luigi,Strongly Agree,7,,Uncertain,5,
Guriev,Sergei,Agree,8,,Uncertain,5,
Honohan,Patrick,Agree,5,,Agree,5,And the all-embracing nature of the carbon tax approach is far superior for steering innovation.
Javorcik,Beata,Agree,8,,Agree,6,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,5,"In principle I agree. But the devil is in the details:  How to design a support scheme that does not discriminate between different technological methods, thereby allowing innovations to develop.",Uncertain,4,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,5,"There are two externalities (carbon damages and R&D spillovers) so providing some subsidies would make sense, but would combine with carbon taxes. Necessary level of subsidies is hard to determine (info asymmetry), as is which technologies to subsidize.",Agree,3,"Directionally agree. Key problem is info asymmetry b/w government & private sector about which investments would be taken only w/ subsidies. Some rents are unavoidable. Magnitude of rents is difficult to know. Bigger problem is govt picking technology, thus basic research better"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,10,,Uncertain,9,
Pagano,Marco,Agree,7,,Agree,7,
Pastor,Lubos,Strongly Agree,10,Better technology for renewable energy is the best way to reduce carbon emissions globally and in the long run,Disagree,10,"There will be some rent seeking, but all in all, better technology for renewable energy is the best way to reduce carbon emissions globally and in the long run"
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,4,,Uncertain,4,
Prendergast,Canice,Agree,7,,Agree,7,
Propper,Carol,Uncertain,3,,No Opinion,,
Rasul,Imran,Agree,6,,Disagree,6,
Reichlin,Lucrezia,Strongly Agree,7,,Disagree,7,
Reis,Ricardo,Agree,3,"But how to prevent them subsidizing the ""wrong"" green investments?",Agree,7,
Repullo,Rafael,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,6,The benefits depend on how well these subsidies are targeted to firms and projects that have potentially large spill overs.,Uncertain,7,
Storesletten,Kjetil,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Agree,6,,Agree,6,
Van der Ploeg,Rick,Agree,8,,Strongly Agree,8,
Van Reenen,John,Strongly Agree,9,"First best is high enough carbon tax, but this is not politically feasible, so complementing this with green subsidies (especially for clean R&D) is valuable",Disagree,7,"There are dangers of rent-seeking, but they can be reduced by a sensible industrial policy. The alternative of failing to deal with climate crisis is far worse."
Vickers,John,Did Not Answer,,,Did Not Answer,,
Voth,Hans-Joachim,Agree,9,,Uncertain,7,
Whelan,Karl,Agree,5,,Disagree,5,
Wyplosz,Charles,Agree,7,,Strongly Agree,7,
