Last Name,First Name,"High volatility in the prices of crypto assets such as Bitcoin, Dogecoin, and Ethereum largely reflects movements in investor sentiment rather than news about potential sources of fundamental value (such as possible applications, or use in illicit transactions).","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Given existing regulation of the financial system, as crypto assets grow in value and become more connected to the rest of the system, the fluctuations in their valuations will pose a serious risk to financial stability in advanced economies.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Private unbacked crypto assets serve no important economic purpose.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,3,I don't think there is widely accepted evidence on this yet.,Uncertain,5,I think it depends on who holds then and in what quantities.,Disagree,3,"They are useful for illegal transactions. In mots cases these are undesirable but in some not, e.g. taking money out of repressive countries"
Antras,Pol,Strongly Agree,7,,Uncertain,6,But maybe in that scenario the price fluctuations of dominant currencies will be less pronounced?,Disagree,6,
Bandiera,Oriana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,7,,Agree,7,,Agree,6,
Bloom,Nicholas,Agree,5,Who can be sure - crypto trading and ownership is deliberately opaque,Disagree,5,Not sure their value will ever rise to be materially important at the systemic level,Disagree,7,They are useful for illegal activity. That is privately useful even if it is publicly damaging.
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,3,with the modulo that the perception of the future regulatory landscape also  influences price movements,Strongly Agree,7,,Strongly Agree,5,
De Grauwe,Paul,Agree,8,,Agree,7,,Agree,8,
Eeckhout,Jan,Agree,8,,Uncertain,6,,Agree,8,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Strongly Agree,7,,Agree,7,,Disagree,7,"Ilegal transactions, lower transaction costs. All these are nonnegligible, but cannot explain volatility"
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,7,,Uncertain,5,,Agree,6,
Guriev,Sergei,Strongly Agree,8,,Uncertain,5,,Uncertain,5,
Honohan,Patrick,Agree,5,,Agree,5,"""Serious"" may be overstating, but bringing them inside the regulatory perimeter clearly desirable -- also on consumer protection grounds.",Uncertain,5,There might be some future added-value applications conveying social benefits
Javorcik,Beata,Agree,6,,Agree,6,,Uncertain,1,
