Last Name,First Name,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Strongly Agree,8,I think this is true in many markets.  In financial markets it may be less true because of the money at stake but they matter there too.
Antras,Pol,Agree,8,"Still, models with fully rational agents provide a perfectly good approximation for explaining many market outcomes!"
Bénassy-Quéré,Agnès,Agree,5,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,10,
Bloom,Nicholas,Agree,7,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,No Opinion,,
Danthine,Jean-Pierre,Agree,3,
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Agree,6,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,9,
Galí,Jordi,Agree,6,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,Did Not Answer,,
Guerrieri,Veronica,Agree,7,
Guiso,Luigi,Uncertain,8,
Hellwig,Martin,No Opinion,,"Is ""fully rational"" about optimization or about expectations? Is ""market outcomes"" about anything in the real world or about markets?  "
Honohan,Patrick,Strongly Agree,9,
Kőszegi,Botond,Strongly Agree,10,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"while I see the impact of nudging on macro outcomes (e.g. pension fund participation), I am uncertain whether this is due to irrationality."
Krusell,Per,Agree,8,
La Ferrara,Eliana,Strongly Agree,8,
Leuz,Christian,Agree,3,"Tend to agree, but depends on setting & details. Often traditional models can be extended to explain as well. Point is not always to predict"
Meghir,Costas,Did Not Answer,,
Neary,Peter,Did Not Answer,,
O'Rourke,Kevin,Strongly Agree,10,
Pagano,Marco,Agree,4,
Pastor,Lubos,Uncertain,7,Psychology can be useful but most puzzling phenomena can also be explained by rational models. What you mean by rationality matters.
Persson,Torsten,Agree,9,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,7,See many Thaler ‘anomalies’ columns over the years. 
Prendergast,Canice,Agree,8,
Reichlin,Lucrezia,Agree,3,
Repullo,Rafael,Agree,7,"Still, as forcefully argued by Steve Ross, fully-rational economic models can go a long way to explain many of these market outcomes."
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Strongly Agree,9,
Van Reenen,John,Agree,8,
Vickers,John,Agree,5,
Voth,Hans-Joachim,Strongly Agree,9,
Weder di Mauro,Beatrice,Did Not Answer,,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,No Opinion,,I don't know enough
Zilibotti,Fabrizio,Uncertain,5,
