Last Name,First Name,"The US spends roughly 17% of GDP on healthcare, according to the OECD; most European countries spend less than 12% of GDP. 



Higher quality-adjusted US healthcare prices contribute relatively more to the extra US spending than does the combination of higher quantity and quality of US care (interpreting quantity and quality to reflect both greater American healthcare needs due to underlying population health and the delivery of more or better healthcare services to Americans).","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Agree,6,
Antras,Pol,No Opinion,,The question is far from my field of expertise so I don't have strong views. But I can't wait to hear what the experts have to say about it!
Bénassy-Quéré,Agnès,Agree,8,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,8,"Example: Income of US doctors many times income of European doctors, with no evidence of difference in quality. "
Bloom,Nicholas,Uncertain,1,"Drugs prices are much higher in the US, but that induces more R&D and a strong US Pharma industry. So that spending is not obviously wasted."
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Agree,2,
De Grauwe,Paul,No Opinion,,I am not expert enough to have opinion on this
Eeckhout,Jan,Strongly Disagree,8,"Panelist meant to Strongly Agree (misread question). OECD # of physicians/cap 50% > US. Licensing, entry barriers in US mkt for physicians."
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Agree,3,
Fuchs-Schündeln,Nicola,Uncertain,1,
Galí,Jordi,No Opinion,,
Garicano,Luis,Strongly Agree,10,"Prices are obviously key. But even more important is overtreament, due to both carrots (fee per service) and sticks (personal liability)"
Giavazzi,Francesco,No Opinion,,
Griffith,Rachel,Strongly Agree,7,
Guerrieri,Veronica,Disagree,6,
Guiso,Luigi,Strongly Agree,1,France has an excellent health care systems and costs much less than the us
Honohan,Patrick,Agree,2,
Kőszegi,Botond,Strongly Agree,9,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,No Opinion,,
Krusell,Per,Disagree,2,I'm quite uninformed on this issue!
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Agree,6,Lots evidence: It's not quantity; price is main&biggest factor; only Q is whether care intensity (the other big driver) is quality or price.
Meghir,Costas,Did Not Answer,,
Neary,Peter,Agree,6,More fragmented demand side (mainly private rather than public suppliers) a factor; also looser regulation on marketing (not R&D)
O'Rourke,Kevin,Did Not Answer,,
Pagano,Marco,Agree,1,
Pastor,Lubos,No Opinion,,
Persson,Torsten,Agree,6,
Pissarides,Christopher,Strongly Agree,1,"The US is an outlier in OECD data plots, far more expensive than the rest. Disease and death rates are not better than elsewhere"
Portes,Richard,Strongly Agree,6,
Prendergast,Canice,Agree,9,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,No Opinion,,
Rey,Hélène,Agree,6,The main difference between US and Europe is that Europe has universal healthcare and  it is administered in a more cost effective way.
Schoar,Antoinette,No Opinion,,
Van Reenen,John,Agree,6,My work shows that prices are major driver of private US healthcare spending. This is related to market power of hospitals 
Vickers,John,Agree,4,
Voth,Hans-Joachim,Strongly Agree,10,
Weder di Mauro,Beatrice,Did Not Answer,,
Whelan,Karl,Agree,8,The US spends more on healthcare than European countries but covers a small fraction of the population and has inferior health outcomes.
Wyplosz,Charles,No Opinion,,
Zilibotti,Fabrizio,Agree,7,
