Last Name,First Name,"A bitcoin's value derives solely from the belief that others will want to use it for trade, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,7,
Auerbach,Alan,Strongly Agree,7,
Autor,David,Agree,5,
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,Agree,1,
Chetty,Raj,Agree,7,
Chevalier,Judith,Agree,8,"Unlike government issued fiat money, there is no guarantee it can be used to pay taxes or settle other obligations."
Currie,Janet,Agree,6,
Cutler,David,Agree,7,
Deaton,Angus,Uncertain,1,
Duffie,Darrell,Disagree,8,Bitcoin usefulness is limited mainly by other factors. Currencies can be useful for trade in large part because they are accepted for trade.
Edlin,Aaron,Disagree,5,"It is likely to fluctuate in value in the future for the reasons it has fluctuated in the past, whatever those are.  "
Eichengreen,Barry,Agree,7,
Fair,Ray,Strongly Agree,5,
Goldberg,Pinelopi,Agree,5,
Goldin,Claudia,Strongly Agree,4,
Goolsbee,Austan,Strongly Agree,10,Hahahaha.  ROTFL.
Greenstone,Michael,Agree,7,
Hall,Robert,Agree,8,"In principle, production cost puts a ceiling on its value, but there is no floor. No protection from competition, unlike the dollar."
Holmström,Bengt,Agree,6,
Hoxby,Caroline,Uncertain,6,First part is right: value derives frm belief others want to use it for trade. Second part is not obvious: beliefs could stabilize or not.
Judd,Kenneth,Agree,4,
Kashyap,Anil,Strongly Agree,7,It is already trading like a speculative asset and no reason why that will cease.  
Klenow,Pete,Agree,5,
Levin,Jonathan,Agree,4,
Maskin,Eric,Agree,8,
Nordhaus,William,Agree,7,
Obstfeld,Maurice,No Opinion,,
Saez,Emmanuel,Strongly Agree,7,
Scheinkman,José,Agree,9,"Fiat currencies depend on belief others will use it, but national currencies can be used for taxes and can depend on some gov. support. "
Schmalensee,Richard,Agree,3,This is a very new animal; hard to be confident about it.
Shin,Hyun Song,Uncertain,7,
Stokey,Nancy,Agree,6,As is true for any fiat money---and also for any commodity money.  
Thaler,Richard,Agree,4,
Udry,Christopher,Agree,3,
Zingales,Luigi,Agree,5,
