Last Name,First Name,The release of strategic oil reserves announced by the International Energy Agency will deliver substantially lower prices for vehicle fuels over the next six months than would otherwise have been the case.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Assuming that world commodity prices over the next six months continue to be elevated and volatile, temporarily subsidising or capping natural gas prices would be an effective way to protect European households and businesses from high energy bills.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The vulnerability of the European economy to high and volatile fossil fuel prices indicates the need for stronger incentives to promote decarbonisation rather than rowing back on policy support for the energy transition.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Disagree,4,"Much will depend on how the war unfolds. If it finishes soon, the release may lower prices relative to where they otherwise would have been. However, if it lasts for some time the effect may be the opposite of intended since it means there are less emergeny reserves in place.",Uncertain,4,Targeted help for low income families and firms in danger of bankruptcy would be a better way to go. Controlling the price for every agent uses scarce government funds unnecessarily.,Agree,4,The faster Europe moves away from fossil fuels the less vulnerable we will be. Removing tariffs on Chinese EVs and renewable technologies would be helpful in this regard. 
Antras,Pol,Uncertain,2,,Agree,6,,Agree,5,
Auriol,Emmanuelle,Disagree,9,,Disagree,9,The level of public debt in France is too high to do that,Strongly Agree,9,We need to build nuclear power plants all over EU
Bénassy-Quéré,Agnès,Uncertain,5,,Disagree,7,"If the price stays elevated, a temporary support does not help much.",Strongly Agree,10,
Blanchard,Olivier,Agree,7,"""substantially"" is too strong.  It can only fill a limited proportion (20-30%) of the likely gap. ",Uncertain,8,"I was in favor of it last time.  I think this was the right decision, but it turned out to be costly.  More narrow help, for those people whose professional activity depends in a major way on gas prices.  Note easy to narrow and do, but we should try. ",Agree,8,and what is happening will probably help that transition.   Electric cars look better this week.  
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,7,,Uncertain,7,,Agree,7,
Cagé,Julia,Uncertain,3,,Agree,3,,Strongly Agree,5,
Carletti,Elena,Uncertain,7,,Agree,7,,Strongly Agree,7,
Danthine,Jean-Pierre,Uncertain,1,,No Opinion,,,Strongly Agree,8,
De Grauwe,Paul,Disagree,7,,Uncertain,6,,Strongly Agree,8,
Eeckhout,Jan,Uncertain,7,,Uncertain,8,,Strongly Agree,9,Not using reserves to lower prices of oil and gas is an incentive to increase investment in alternative energy sources
Fatás,Antonio,Disagree,6,,Agree,4,,Agree,7,
Fuchs-Schündeln,Nicola,Uncertain,3,,Uncertain,2,,Strongly Agree,8,
Galí,Jordi,Uncertain,6,,Disagree,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Disagree,8,,Disagree,8,,Agree,8,
Griffith,Rachel,Agree,9,,Uncertain,7,,Agree,9,
Guerrieri,Veronica,Disagree,5,,Uncertain,6,,Agree,6,
Guiso,Luigi,Uncertain,6,"Hard to predict
",Agree,7,,Strongly Agree,6,
Guriev,Sergei,Strongly Agree,10,,Uncertain,5,,Agree,8,
Honohan,Patrick,Disagree,6,"Oil and gas prices determined largely in asset markets, where expectations regarding duration of the conflict are important; release of a few million barrels a day unlikely to reliably or substantially affect this. ",Uncertain,7,"Such a device can be good to prevent a short-term supply squeeze from unanchoring inflation expectations, but repeated use will discourage decarbonization and is a costly way of protecting the most affected.  Eventually the fiscal cost will be paid by someone.",Strongly Agree,7,
Javorcik,Beata,Uncertain,3,,Agree,6,,Agree,8,
Kőszegi,Botond,Disagree,3,,Agree,1,,Agree,8,
Krahnen,Jan Pieter,Uncertain,6,"In times like ours, a depletion of strategic oil reserves will not happen to a significant extent because it (i.e.a depletion) would open up a potential strategic weakness of the US (and the West) with high political downside. No government will allow this to happen.",Uncertain,6,"Subsidizing energy consumption will be costly, leading to (political) opportunity costs in the form of foregone ""other"" state activities, as well as increased indebtedness. ",Agree,6,Europe's response to volatile and high energy prices will be the increase of alternative sources of energy - from solar and wind to nuclear. This process is already under way. 
La Ferrara,Eliana,Agree,3,,Agree,3,,Strongly Agree,8,
Leuz,Christian,Uncertain,2,,Agree,2,"Energy subsidies would protect Europe's households, essentially moving the burden of price shock to governments' balance sheets. Energy subsidies are more effective than transfers but if many countries adopt subsidies, they become self-defeating as prices rise further. See link.",Strongly Agree,8,This highlights the national security and energy independence dimension to decarbonization.
Manova,Kalina,Strongly Agree,6,,Agree,6,,Strongly Agree,8,
Mayer,Thierry,Strongly Agree,9,,Strongly Disagree,9,,Strongly Agree,10,
Meghir,Costas,Uncertain,8,,Uncertain,8,,Strongly Disagree,9,
Pagano,Marco,Disagree,7,,Agree,6,,Strongly Agree,10,
Papaioannou,Elias,Disagree,5,,Disagree,5,,Strongly Agree,8,
Pastor,Lubos,Agree,3,,Uncertain,3,,Agree,3,
Portes,Richard,Uncertain,6,,Disagree,6,,Strongly Agree,6,
Prendergast,Canice,Agree,5,,Agree,3,,Uncertain,1,
Propper,Carol,Agree,4,,Uncertain,5,,Strongly Agree,4,
Rasul,Imran,Disagree,7,,Agree,7,,Strongly Agree,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,8,,Disagree,7,,Agree,5,
Repullo,Rafael,Agree,4,,Uncertain,4,,Agree,4,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Disagree,7,"The strategic release is about 1% of annual world production of oil. It will dent the prices but it will not lower prices ""substantially"".",Disagree,7,Subsidizing a scarce good (natural gas) is an expensive policy which will have to be paid in terms of higher taxes and lower spending. Not cost effective,Uncertain,7,"It's complicated. The shift to sun and wind energy requires balance power when the wind is not blowing. Natural gas is the only viable balance power. So high gas prices will mean higher (average) prices for energy, even with a lot of alternative energy"
Strömberg,Per,Uncertain,3,,Strongly Disagree,8,Subsidizing / capping energy prices increases usage and increases the shortage.  More efficient to have subsidies to households affected that are not explicitly tied to energy purchases.,Strongly Agree,10,The example of solar in China shows how green industrial policy can give a competitive advantage over the long run.  Green investment and R&D subsidies in combination with carbon pricing and CBAM is an effective way to reduce dependence on fossile fuels. 
Sturm,Daniel,Disagree,4,"While the release is large, the quantities are still small and expectations about the war in Iran too important for prices. ",Uncertain,5,,Strongly Agree,7,
Tenreyro,Silvana,Disagree,5,The announced release covers only a small part of the deficit caused by the conflict. More is needed to see a substantial impact on prices.,Agree,4,"It is an effective way to protect households and firms. It is also very expensive, so governments will need to take that into account. Importantly, this needs to be understood as a temporary measure that would be unwound in X months.",Strongly Agree,6,"Europe needs to accelerate efforts to decarbonize, which will allow it to diversify risk, reducing exposure to global oil (and gas) prices"
Van der Ploeg,Rick,Agree,7,,Uncertain,6,,Strongly Agree,8,
Vickers,John,Uncertain,4,It might affect the time profile of prices but not so much the general level.,Uncertain,5,Beware fiscal cost of such subsidies ,Uncertain,4,It depends whether you mean decarbonisation of domestic energy production or consumption.  The former can increase vulnerability by increasing reliance on energy imports. 
