Last Name,First Name,"Because labor markets across different sectors are connected, rising productivity in manufacturing leads the cost of labor-intensive services — such as education and health care — to rise.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,9,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,8,
Auerbach,Alan,Agree,5,
Autor,David,Agree,8,"Fortunately, we haven't had much productivity growth in manufacturing -- so not much wage pressure. :-}"
Baicker,Katherine,Did Not Answer,,
Banerjee,Abhijit,Agree,6,
Bertrand,Marianne,Agree,6,
Brunnermeier,Markus,Uncertain,5,It depends what type of productivity improvement whether it is labor saving or increases labor demand in this sector. 
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,8,
Cutler,David,Uncertain,6,This is true for sectors without technological change. Health care has a lot of tech change. 
Deaton,Angus,Strongly Agree,10,
Duffie,Darrell,Uncertain,2,
Edlin,Aaron,Strongly Agree,8,"True, by and large with some caveats. "
Eichengreen,Barry,Agree,5,
Einav,Liran,Agree,1,
Fair,Ray,Agree,5,
Finkelstein,Amy,Uncertain,5,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Agree,7,We will miss Bill Baumol 
Greenstone,Michael,Agree,6,
Hall,Robert,Did Not Answer,,
Hart,Oliver,Agree,7,"I expect the cost of education to rise relative to i-phones .Technology does make superstar teachers widely available, which offsets this. "
Holmström,Bengt,Agree,6,Spillover may be getting weak.
Hoxby,Caroline,Agree,10,Baumol's theory is obvious:1st principles of econ. But economists GREATLY overstate its importance in explaining cost growth in education!! 
Hoynes,Hilary,No Opinion,,
Judd,Kenneth,Strongly Agree,8,"This is a serious problem in education. If you are good at math, why would you want to be a high school teacher?"
Kaplan,Steven,Agree,8,
Kashyap,Anil,Strongly Agree,10,An example of something that is probably not obvious to non-economists but has been demonstrated to be true
Klenow,Pete,Strongly Agree,10,Productivity and price trends are inversely related across industries.  It jumps out at you when looking at the data.
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Did Not Answer,,
Nordhaus,William,Disagree,8,Could go either way depending upon labor demand. Unfortunately misconception.
Saez,Emmanuel,Agree,6,
Samuelson,Larry,Strongly Agree,8,"One sees clear evidence in a variety of labor-intensive services -- education, health care, professional orchestras, and so on."
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,8,
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Strongly Agree,8,
Thaler,Richard,No Opinion,,
Udry,Christopher,Did Not Answer,,
