Last Name,First Name,A legalized and carefully regulated market for cannabis would lead to measurably higher social welfare than a system of prohibition.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,Drug prohibition doesn't seem to work very well with many people dying across the world in demand supply places.  But there are also problems if the place legalising becomes the object of drug tourism or migration.  There is also the issue that opioids are incredibly addictive.
Antras,Pol,Agree,8,"There would certainly be losers, and they wouldn’t be compensated in a Hicks-Kaldor sense, but social welfare would almost surely be higher according to most social welfare functions."
Bénassy-Quéré,Agnès,Agree,7,
Blanchard,Olivier,Uncertain,4,the issue is whether increased use of cannabis would increase the demand for harder drugs.  
Blundell,Richard William,Agree,6,
Botticini,Maristella,Agree,8,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,1,
De Grauwe,Paul,Strongly Agree,8,
Eeckhout,Jan,Agree,8,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,3,
Galí,Jordi,Agree,5,
Garicano,Luis,Strongly Agree,8,
Gorodnichenko,Yuriy,Agree,3,
Griffith,Rachel,Agree,4,
Guerrieri,Veronica,Agree,3,
Guiso,Luigi,Strongly Agree,7,
Guriev,Sergei,Agree,8,
Honohan,Patrick,Uncertain,1,Medical risks for some of cannabis are still much disputed. Economic benefits of decriminalisation of just this substance seem fairly small. 
Javorcik,Beata,Agree,7,
Kőszegi,Botond,Strongly Agree,10,
Krahnen,Jan Pieter,Agree,2,"Although I have my doubts about the ""measurability"" of welfare gain, but in my opinion one should be open for a change, try ""legalization"" out for a certain period, say 5 years, and then evaluate the effects - both in terms of benefits and social costs."
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Uncertain,3,"There are good economic arguments in favor of legalization®ulation. But a key question are the effects on use & health of youth and adolescents. For use, mixed evidence. For health, evidence is still developing. Hence, I am uncertain. See some sources below."
Mayer,Thierry,Strongly Agree,8,
Meghir,Costas,Agree,9,
Pagano,Marco,Agree,2,
Pastor,Lubos,Uncertain,5,
Persson,Torsten,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,5,
Prendergast,Canice,Agree,4,
Propper,Carol,Agree,3,
Rasul,Imran,Uncertain,8,
Reichlin,Lucrezia,Did Not Answer,,
Reis,Ricardo,Agree,7,
Repullo,Rafael,Strongly Agree,4,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Agree,8,
Storesletten,Kjetil,Did Not Answer,,
Sturm,Daniel,Agree,6,
Tenreyro,Silvana,Agree,3,
Van der Ploeg,Rick,Strongly Agree,8,"In the Netherlands coffee shops sell cannabis. However, strictly speaking it is illegal to do. The Dutch government tolerates it provided they do not sell hard drugs, engage in tax evasion etcetera. So it is allowed provided they behave."
Van Reenen,John,Agree,9,
Vickers,John,Uncertain,3,Regulation is always imperfect 
Voth,Hans-Joachim,Agree,8,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,7,
