Last Name,First Name,Antitrust investigations of the dominant firms in artificial intelligence are likely to lead to substantially lower prices of AI products and services for businesses and consumers.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Antitrust investigations of the dominant firms in artificial intelligence are likely to promote greater competition and innovation in AI.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Potential harms from artificial intelligence are better assessed by market deployment rather than seeking to slow the pace of AI research and implementation.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,5,"Although there is some uncertainty and government intervention could slow down innovation & harm the introduction of new services, the AI field right now is so oligopolistic that well-designed antitrust should be able to increase competition and reduce prices.",Agree,5,"Once again there is some uncertainty, because successful antitrust would reduce the huge investments that OpenAI is planning. But overall, a more competitive field is likely to increase innovation and the quality of innovation. It may even enable a better direction of technology.",Disagree,5,"It is not either or. We need both more competition, and also much better regulation. Importantly, we need a redirection of AI in a more socially beneficial direction. To achieve this we may need to slow down the huge investments in data collection and moral training by incumbents"
Aguiar,Mark,Uncertain,2,,Uncertain,2,,Uncertain,2,
Altonji,Joseph,Uncertain,3,,Uncertain,3,,Uncertain,3,
Auerbach,Alan,Uncertain,3,,Uncertain,3,,Uncertain,3,
Autor,David,Disagree,7,"The issue at stake is innovation, not price per se",Agree,7,,Disagree,7,"Not every dangerous product should be first released on the market, then assessed for risks. "
Banerjee,Abhijit,Uncertain,5,,Uncertain,5,,Strongly Disagree,7,
Bergemann,Dirk,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Uncertain,1,,Agree,5,,Disagree,5,
Brunnermeier,Markus,Uncertain,7,,Agree,6,,Disagree,9,
Chevalier,Judith,Uncertain,7,,Uncertain,6,,Uncertain,4,
Cutler,David,Agree,4,,Agree,6,,Disagree,5,
Duffie,Darrell,Agree,1,,Uncertain,1,,No Opinion,,
Edlin,Aaron,Uncertain,6,,Agree,6,,Uncertain,7,
Eichengreen,Barry,Uncertain,1,,Uncertain,1,,Uncertain,1,
Einav,Liran,Uncertain,1,,Uncertain,1,,Strongly Agree,1,
Fair,Ray,Disagree,5,,Disagree,5,,Agree,5,
Glaeser,Edward,Disagree,7,,Strongly Disagree,8,,Uncertain,3,
Goldberg,Pinelopi,Uncertain,6,,Uncertain,6,There is fierce competition among the three biggerst AI pursuing firms - not clear antitrust is needed at this point,Agree,6,
Greenstone,Michael,Uncertain,4,,Uncertain,3,,Agree,2,
Hart,Oliver,Uncertain,5,,Uncertain,5,,Disagree,7,There are many potential harms from AI and I don't think there is any reason to think the market will protect us from them--quite the opposite. We need a mixture of good corporate governance--often not in place-- and regulation. 
Holmström,Bengt,Agree,4,The key is to keep the open source community alive. I assume the antitrust investigation will advance that cause,Agree,5,,Disagree,4,But overbearing regulation should be avoided
Hoxby,Caroline,Agree,5,,Strongly Agree,8,,Uncertain,10,
Hoynes,Hilary,Uncertain,5,,Uncertain,5,,Uncertain,5,
Hurst,Erik,Agree,4,,Agree,4,,Uncertain,3,
Judd,Kenneth,Uncertain,8,"What is the definition of an ""AI product""? AI is jargon for a wide range of computational tools that extend standard numerical methods. Do we regulate statistical packages? If not, why regulate advanced data analysis tools?",Disagree,8,One cannot affect the pace of research of computational tools.,Uncertain,8,"The potential harms of AI are going to be difficult to counter by any means, just as it has been difficult to counter the bad effects of disinformation."
Kaplan,Steven,Disagree,8,,Disagree,7,Dominant firms are intensely competitive and are investing intensely.,Strongly Agree,8,Information wants to be free.  Experimentation will occur regardless of regulation.  May as well let it happen.
Kashyap,Anil,Uncertain,3,too many possible directions this could take to have any confidence on the outcome,Uncertain,3,"this seems more likely than not, but still too much ambiguity on the direction and what happens if activity and innovation are pushed outside the US?",Uncertain,3,
Klenow,Pete,Agree,2,,Uncertain,1,,Disagree,1,
Levin,Jonathan,Uncertain,4,,Uncertain,5,,Strongly Agree,5,
Maskin,Eric,Agree,5,,Agree,4,,Uncertain,4,"Just as in the field of gene editing, there are probably some risks that can be assessed and safeguarded against before deployment"
Nordhaus,William,Disagree,5,,Uncertain,5,,Disagree,5,Neither actually. Need oversight 
Obstfeld,Maurice,Uncertain,1,,Agree,1,,Uncertain,1,
Pathak,Parag,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Agree,8,,Agree,6,,Uncertain,1,"We have no experience assessing or controlling the potential harm of a technology like AI, and no reason to expect the market to be able to do so."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Disagree,6,No obvious case.,Disagree,6,No obvious case.,Agree,5,
Scott Morton,Fiona,Disagree,5,,Strongly Agree,8,,Uncertain,1,
Shapiro,Carl,Disagree,6,,Uncertain,8,,Agree,7,
Shimer,Robert,Disagree,4,This is a very new industry.  Antitrust is more likely to stifle innovation and hence raise quality-adjusted prices,Disagree,5,,Uncertain,5,"The main issue is that no country can unilaterally stop AI research and implementation.  Slowing it down in the US increases the likelihood that researchers elsewhere develop the leading AIs, with potentially greater harm"
Stantcheva,Stefanie,Uncertain,4,,Uncertain,4,,Disagree,4,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Disagree,5,"It's a new industry, and there seems to be a lot of innovation and competition.",Disagree,5,,No Opinion,,
Syverson,Chad,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Werning,Ivan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
