Last Name,First Name,"All else equal, there are substantial advantages to having much of Europe’s human capital and infrastructure for international financial activity clustered in a single city, as they are at present in London.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"All else equal, Britain’s rules on hiring, firing and working hours are significantly more conducive to financial activity than those in other large European countries.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Strongly Agree,8,There are huge agglomeration effects from having clusters of expertise. ,Strongly Agree,8,"Most other large European countries have higher social payments, taxes and more secure employment. Providing incentives is more difficult. "
Antras,Pol,Agree,7,"Agglomeration economies in this industry appear to be pervasive (New York City, Singapore, Hong Kong, etc.)",Uncertain,4,I'm no expert on labor market regulations. But I'd imagine that other factors were more important in making London Europe's financial center
Bénassy-Quéré,Agnès,Agree,7,"There are economies of scale, but concentration also increases the risks related to size and possible collusion.",Agree,4,Differences in labour flexibility are less marked for executives. Other factors are also important for the location of financial activity.
Baldwin,Richard,Did Not Answer,,,Did Not Answer,,
Besley,Timothy J.,Agree,7,,Agree,8,
Blanchard,Olivier,Agree,7,,Agree,8,
Bloom,Nicholas,Strongly Agree,9,There are large spillovers in finance - I worked in McKinsey in London and saw this first hand. Europe needs to compete with the US & Asia.,Agree,8,"They are right now, but nobody knows what will happen post Brexit. We have been surveying firms and they know as little as the government."
Blundell,Richard William,Agree,7,"Strong international nature of the city, the institutional structure and the levels of expertise work well together. Let's hope that remains",Agree,7,London currently provides a good international environment for the kind of mobility essential for a flourishing financial industry. 
Carletti,Elena,Uncertain,8,,Uncertain,5,
Danthine,Jean-Pierre,Uncertain,5,,Agree,7,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,7,,Agree,7,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Agree,6,Competition from virtual trading platforms limits the monopolistic effect while centralization increases liquidity,No Opinion,,
