Last Name,First Name,"AI and Market Power

 
Use of artificial intelligence is likely to lead to a substantial increase in problems associated with market power in digital markets.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Artificial intelligence offers substantial opportunities for new entrants into digital markets that have previously been concentrated.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"Artificial intelligence is likely to be a highly concentrated industry, dominated by a handful of players.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Agree,7,,Uncertain,6,"Perhaps, but that doesn't mean these entrants will remain stand-alone competitors, rather than being bought out by tech giants.",Agree,5,
Bénassy-Quéré,Agnès,Agree,2,,Agree,2,,Agree,2,
Blanchard,Olivier,Uncertain,3,"I feel incompetent, but the proposition seems far from obvious.  Why should the largest players profit proportionally more from AI? ",Uncertain,3,"same reaction. It may well happen, but it does not seem pre ordained. ",Disagree,4,"AI is not an industry. it is a set of techniques, which can benefit potentially all firms.  "
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Uncertain,5,,Uncertain,5,,Uncertain,5,
Botticini,Maristella,Uncertain,7,,Uncertain,7,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,No Opinion,,,Agree,6,,Agree,6,
Eeckhout,Jan,Strongly Agree,9,"These technologies exhibit returns to scale and network externalities at a global level. Moreover, data is non-rival and excludable. These are all ingredients for failure of a competitive equilibrium allocation.",Strongly Disagree,9,"If there are any new entrants, they are likely to replace existing incumbents and achieve more dominant positions than before. New entrants are unlikely to foster competition.",Strongly Agree,9,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,5,,Uncertain,3,,Uncertain,3,
Galí,Jordi,No Opinion,,,No Opinion,,,Agree,5,
Garicano,Luis,Uncertain,5,"The IP itself is hard to protect- none of the innovations are proprietary;  as to scale advantages, it appears that fine tuning a model with cheap hardware dominates training from scratch a gigantic model. So the jury is out, but this is potentially a plus for competition.",Agree,5,"Same explanation. Barriers to entry appear right now low - available open source models (Meta), no IP barriers, cheap finetuning ",Disagree,5,Response as explained in two previous answers
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Uncertain,4,,Uncertain,4,,Uncertain,4,
Guiso,Luigi,Uncertain,5,,Agree,6,,Agree,6,
Guriev,Sergei,Strongly Agree,8,,Agree,8,,Agree,8,
Honohan,Patrick,No Opinion,,,Uncertain,1,,Agree,1,
Javorcik,Beata,Strongly Agree,8,,Uncertain,3,,Agree,7,
Kőszegi,Botond,Agree,4,,Uncertain,10,,Agree,8,
Krahnen,Jan Pieter,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,2,,Uncertain,2,"I agree directionally, meaning there will be new opportunities and AI could help smaller players to compete. But unclear if effect will be substantial. And bigger players will also use AI.",Uncertain,2,This question is very similar to a)
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,4,,Disagree,4,,Agree,4,
Pastor,Lubos,Uncertain,1,,Agree,1,,Uncertain,1,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Uncertain,5,,Uncertain,5,,Agree,7,
Prendergast,Canice,Agree,8,,Uncertain,8,,Agree,9,
Propper,Carol,Strongly Agree,5,,No Opinion,,,Agree,5,
Rasul,Imran,Agree,8,,Uncertain,5,,Agree,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,5,,Disagree,4,,Agree,4,
Repullo,Rafael,Agree,4,,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,,Uncertain,7,,Uncertain,7,"It depends on what is meant by AI. If we are talking about ChatGTP, that is mostly likely true. If this includes applications to many different industry functionalities there might be some specialized providers as well. "
Storesletten,Kjetil,Agree,3,,Disagree,4,Access to big data is what gives AI power.  Actors with large market share possess precisely such data. AI will therefore increase market power for the already dominant producers,Uncertain,2,
Sturm,Daniel,Agree,5,,Disagree,5,,Agree,5,
Van der Ploeg,Rick,Strongly Agree,6,"Most of the AI technologies are based on machine learning, which get better the more data they can learn from. This leads naturally to monopolies.",Strongly Agree,6,Lots of new small entrants can be successful with disruptive technologies.,Strongly Agree,6,
Van Reenen,John,Agree,6,,Uncertain,5,,Agree,6,
Vickers,John,Uncertain,4,,Uncertain,4,,Uncertain,4,
Voth,Hans-Joachim,Disagree,7,,Agree,8,"in search in particular, disruption seems likely",Uncertain,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Disagree,2,Isn't it about disruption?,Agree,3,,Agree,2,
