Last Name,First Name,"Germany's current account surplus is undesirable even from a purely German viewpoint: the country would be better off if, for example, it ran a smaller primary surplus, in turn leading to a smaller current account surplus.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"The Eurozone would be in better shape if fiscal policy were more expansionary, which would allow monetary policy to be slightly less so.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"If there is a recession in the Eurozone, it will be essential to have a coordinated fiscal expansion.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Krahnen,Jan Pieter,Uncertain,4,"If the EU is one economy, some countries will always run a surplus/deficit; there is no point in balancing the current account by country. ",Uncertain,6,"There are pros and cons, as some countries have hard-to sustain government debt levels, others not. Thus, a case by case analysis is needed.",Uncertain,4,"Fiscal policies in the Eurozone are by and large regional/national decisions, so coordination may be either not justified, or not needed."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,4,"Depends on sources of surplus for which no consensus. Yet agree GER should spend more on public R&D, incentives for private inv. &tax reform",Agree,4,"Again, depends on what money is spend on. Structural reform. Neg rates do not seem to work. In US, subsidies to banks seem to work better ",Agree,5,
Mayer,Thierry,Strongly Agree,8,,Strongly Agree,5,,Strongly Agree,8,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,4,"Surpluses defer consumption; doing this indefinitely makes no sense. That said, German opposition to inflation is understandably deep-rooted",Agree,4,"The current monetary-fiscal-policy disconnect is unsustainable. Provided it is prudent and targeted, expansionary fiscal policy makes sense",Uncertain,4,"""essential"" begs a lot of questions. Desirable definitely, though without new institutional structures, not clear how that can be effected"
O'Rourke,Kevin,Strongly Agree,10,,Uncertain,5,,Strongly Agree,8,
Pagano,Marco,Agree,6,,Strongly Agree,9,,Strongly Agree,10,
Pastor,Lubos,Uncertain,3,,Agree,7,There are costs to having negative interest rates.,Agree,7,"With monetary policy largely maxed out and macropru policy largely in national hands, there aren't many other options left."
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Disagree,7,on a very short term basis I might have agreed but Germany is facing an ageing population and they are saving for the future. Good for them!,Strongly Agree,9,fiscal policy directed to productivity-enhancing public investment would definitely benefit it more than monetary policy  ,Strongly Agree,9,"Keynes explained it in 1936, no need to repeat"
Portes,Richard,Strongly Agree,9,,Strongly Agree,10,,Strongly Agree,10,
Prendergast,Canice,Agree,6,,Uncertain,5,,Agree,7,
Reichlin,Lucrezia,Strongly Agree,9,,Agree,9,,Strongly Agree,9,
Repullo,Rafael,Agree,8,,Agree,8,,Uncertain,8,"Given initial debt levels, not all countries will be able to afford a fiscal expansion."
Rey,Hélène,Strongly Agree,9,Investing now to tackle e.g climate change  is prudent strategy instead of getting low returns on external assets. Low gvt borrowing rates. ,Strongly Agree,9,fiscal policy now would be effective to boost economy and invest for future. Would help constrained monetary policy.,Agree,9,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Strongly Agree,9,,Agree,7,,Uncertain,6,
Van Reenen,John,Strongly Agree,8,,Agree,7,,Agree,6,
Vickers,John,Agree,4,More spending on infrastructure would appear particularly desirable ,Agree,4,,Agree,4,
Voth,Hans-Joachim,Strongly Agree,8,Germany is famously poor in investing its surpluses abroad,Uncertain,6,I am not convinced that more expansionary policy in the Southern states is desirable; debt is already high and spending is often wasted,Agree,7,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,6,Private saving is a matter of choice. Public saving is a matter of collective preferences. Germans sometimes are hard to understand.,Agree,9,"It would be nice to have countercyclical fiscal policies at work, if they are done well. A big if, especially in the upswing.",Agree,9,But don't hold your breath!
Zilibotti,Fabrizio,Agree,7,,Agree,5,,Agree,9,
