Last Name,First Name,A typical country can increase its citizens’ welfare by enacting policies that would increase its trade surplus (or decrease its trade deficit).,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,5,Consumption and investment smoothing is good. But often CA deficits support consumption booms that are unsustainable.
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Uncertain,3,
Auerbach,Alan,Disagree,7,
Autor,David,Disagree,7,"Perhaps in the very short run, but not in equilibrium. "
Baicker,Katherine,Did Not Answer,,
Banerjee,Abhijit,Disagree,6,There is no reason to think the relation is causal
Bertrand,Marianne,Agree,3,
Brunnermeier,Markus,Uncertain,7,"Depends on circumstances. To return to steady state, export growth model worked well for China, Asian Tigers and Germany after WW II. "
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,
Currie,Janet,Did Not Answer,,
Cutler,David,Uncertain,5,
Deaton,Angus,Disagree,2,
Duffie,Darrell,Strongly Disagree,6,There is no conceptual or empirical support for this.  It depends on dynamics and discount rates.  
Edlin,Aaron,Disagree,2,
Eichengreen,Barry,Strongly Disagree,10,
Einav,Liran,Disagree,5,
Fair,Ray,Disagree,5,
Finkelstein,Amy,Disagree,4,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Uncertain,5,
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Uncertain,6,"Focusing on trade is basically mercantilism. I take a global perspective, where trade always nets to zero, so this focus is meaningless."
Hart,Oliver,Strongly Disagree,10,"A trade surplus means a country is saving, a trade deficit that it is dis-saving. As with people each can  make sense at different times."
Holmström,Bengt,Agree,7,Depends on circustances. For small open economies and emerging economies an essential element of policy.
Hoxby,Caroline,Uncertain,8,"1st principles: neither surplus nor deficit necessarily welfare-enhance. SOME welfare-enhancing policies would raise surplus, however."
Hoynes,Hilary,No Opinion,,
Judd,Kenneth,Strongly Disagree,8,"The best way to increase welfare is to engage in good policies, not go after some mercantilist ideal."
Kaplan,Steven,No Opinion,,
Kashyap,Anil,Strongly Disagree,10,"crazy assertion but plenty of people seem to believe this. to see the fallacy, note that banning imports would do it and would crush welfare"
Klenow,Pete,Strongly Disagree,8,Mercantilism!
Levin,Jonathan,Uncertain,3,"In some cases, yes, for at least some citizens. "
Maskin,Eric,Did Not Answer,,
Nordhaus,William,Strongly Disagree,9,"Trade surplus is symptom, not measure of welfare."
Saez,Emmanuel,Uncertain,4,
Samuelson,Larry,Disagree,6,"A surplus is often taken to indicate a healthy economy, but it is not obvious how producing more than it consume makes a country better off."
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Disagree,4,
Shapiro,Carl,No Opinion,,
Shimer,Robert,Uncertain,3,
Thaler,Richard,No Opinion,,Seems like the right answer to this question is: it depends.
Udry,Christopher,Disagree,6,"There may be policies that reduce trade deficits and increase welfare, but most policies *designed* to reduce deficits will reduce welfare."
