Last Name,First Name,"A substantial source of the value of decentralized private cryptocurrencies, such as Bitcoin, arises from their convenience for use in illegal activities.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,"Ability/hope to ""print currency"" & hope of developing technologies to be sold to banks are other sources of value (for non-bitcoin digitals)"
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Uncertain,1,
Auerbach,Alan,Strongly Agree,7,
Autor,David,Uncertain,1,"I don't know, and I don't know how anyone could know. Please enlighten!"
Baicker,Katherine,Agree,3,
Banerjee,Abhijit,Uncertain,7,Some part of it is probably also speculation.
Bertrand,Marianne,No Opinion,,
Brunnermeier,Markus,Agree,7,Bitcoin is for the payment system what Napster was for the music industry. Digital money has also the potential of efficiency gains. 
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,4,
Cutler,David,Uncertain,4,
Deaton,Angus,Agree,7,
Duffie,Darrell,Agree,9,"There are two main sources of value: pure speculation, not necessarily rational, and avoiding detection from governmental entities. "
Edlin,Aaron,Uncertain,7,Other uses include store of value and ordinary transactions in parts of developing world and countries like Venezuela in economic turmoil. 
Eichengreen,Barry,Agree,10,
Einav,Liran,Agree,1,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goolsbee,Austan,Agree,7,
Greenstone,Michael,Uncertain,2,
Hall,Robert,Uncertain,2,Possibly tulip mania?
Hart,Oliver,Agree,7,
Holmström,Bengt,Agree,5,"I think illegal transactions are an essential part of the ""fundamental value""."
Hoxby,Caroline,Strongly Agree,10,
Hoynes,Hilary,No Opinion,,
Judd,Kenneth,Agree,6,Transaction costs and volubility too high for transactions in ordinary assets
Kaplan,Steven,Uncertain,8,
Kashyap,Anil,Strongly Agree,7,See also Eric Budish's fantastic primer on the issues with Bitcoin specifically 
Klenow,Pete,Agree,3,
Levin,Jonathan,Uncertain,1,
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,9,
Obstfeld,Maurice,Agree,6,
Saez,Emmanuel,Agree,4,
Samuelson,Larry,Uncertain,1,"One fears that bitcoin is ideally suited for illegal activities, and there is anecdotal evidence, but we do not have precise measurements.  "
Scheinkman,José,Uncertain,6,Estimates that 46% of transactions involve illegal activities but only 7b. dollars of BTC held by these users in 4-2017. 
Schmalensee,Richard,Agree,5,
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Uncertain,1,
Stock,James,Did Not Answer,,
Thaler,Richard,Strongly Agree,3,
Udry,Christopher,Did Not Answer,,
