Last Name,First Name,The most powerful force pushing towards greater wealth inequality in the US since the 1970s is the gap between the after-tax return on capital and the economic growth rate.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,9,Theoretically and empirically the case that r-g is a major determinant of inequality or even top inequality is weak. 
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Disagree,5,
Auerbach,Alan,Disagree,7,
Autor,David,Disagree,9,Not clear yet if wealth inequality has risen in U.S: different data sources give different answers. Premature to identify cause of non-fact!
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Did Not Answer,,
Bertrand,Marianne,Disagree,4,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Uncertain,6,
Chevalier,Judith,Uncertain,10,"There are certainly a host of other factors related to technical change,  other government policies and globalization. "
Currie,Janet,Disagree,8,"Many other factors affect inequality including technological change, globalization, increasing returns to education, and others."
Cutler,David,Strongly Disagree,5,
Deaton,Angus,Strongly Disagree,8,"MAYBE IN THE FUTURE, BUT RIGHT NOW IT IS HIGH INCOMES THAT IS INCREASING WEALTH INEQUALITY."
Duffie,Darrell,Uncertain,4,
Edlin,Aaron,Disagree,6,
Eichengreen,Barry,Disagree,5,"Don't find r-g a partiularly useful summary of anything (doesn't really capture role of technology, training, tax policy)"
Einav,Liran,Uncertain,5,
Fair,Ray,Disagree,7,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Disagree,5,
Greenstone,Michael,Disagree,2,"lower taxes on K surely play a role.  i disagree based on ""most powerful"" phrase.  more research is necessary"
Hall,Robert,Strongly Disagree,7,A glance at the biographies of the truly rich shows most came from upper middle class families. Good luck and some skill produced the wealth
Hart,Oliver,Uncertain,5," I would imagine there are many factors: labor-saving technology, globalization,the decline of unions,lower tax rates. "
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Strongly Disagree,10,Argument has poor theory & negligible empirics.  Read pp7-9 of Acemoglu & Robinson. You need not even buy into their institutional arguments
Hoynes,Hilary,Agree,7,
Judd,Kenneth,Strongly Disagree,9,
Kaplan,Steven,Strongly Disagree,10,Technology has been the primary driver.
Kashyap,Anil,Disagree,7,Argument nicely destroyed by Justin Wolfers (and many others).  Too bad for the t-shirt makers
Klenow,Pete,Disagree,5,
Levin,Jonathan,Disagree,4,"Saez-Zucman: wealth inequality shot up post 1986. Big cause: savings creates 0.4% annual wealth growth for bottom 90%, 3.4% for top 1%."
Maskin,Eric,Disagree,7,"Interest and growth rates are equlibrium phenomena--so even if they are important, there must be something deeper at work."
Nordhaus,William,Disagree,6,Is this an inside joke? BEA estimates show little change in rate of return. 
Saez,Emmanuel,Disagree,8,Income and savings inequality increases are now fueling US wealth inequality. Down the road r-g will be central as predicted by Piketty
Samuelson,Larry,Uncertain,1,"Many forces at work, both economic, social and political, making it difficult to identify one as most important."
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Disagree,4,The rapid rise in very high labor incomes seems to be much more important in the US.
Shapiro,Carl,Disagree,4,"Perhaps technological change, globalization, and fiscal policy matter quite a bit?!"
Shimer,Robert,Strongly Disagree,8,Trends in U.S. wealth inequality are accounted for by trends in income inequality.  See Section 3 of Krugman's review of Piketty.
Thaler,Richard,No Opinion,,A bug in the system prevents me from stating that I am 100% sure that I don't know the answer to this question.
Udry,Christopher,Disagree,1,"Difficult claim to evaluate, because both the return and the growth rate depend on savings, and on the distribution of wealth. "
