Last Name,First Name,"Assuming it exits its third bailout program this summer without an immediate restructuring or other debt relief, Greece is unlikely to default on its sovereign debt in the coming decade.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Greece would be better off if it had decided to exit the euro between 2011 and 2015.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"If Greece had defaulted on (or restructured) its private debt in 2010, while also staying within the euro, that combination would have been better for Greece than either exiting the euro or proceeding as it has actually done.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Uncertain,7,I would say there is a great deal of uncertainty about this with much depending on how things develop in the Eurozone in the coming years.,Agree,6,It has suffered a punishing depression and has only recently started growing. It would have grown much faster outside the Eurozone.,Agree,7,It would have removed the debt overhang and could have grown much faster as a result.
Antras,Pol,Agree,6,Hard to imagine an outright default could happen. There will be other opportunities to restructure.,Uncertain,9,Transitional costs could have been large.,Agree,6,
Bénassy-Quéré,Agnès,Disagree,6,"It would probably be later, given the maturity of the debt.",Disagree,5,"Posted an external deficit along the crisis, thanks to emergency assistance and Target inflows. Alone, it would have lost more purch power. ",Strongly Agree,8,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Strongly Disagree,8,"If they have to pay market rates for new lending, it is very difficult to see how they will be able to repay.  ",Agree,8,"They would have needed help from others, but they would have been able to improve competitiveness much faster, and get growth going earlier",Strongly Agree,10,I argued that at the time. 
Bloom,Nicholas,Uncertain,1,,Disagree,5,,Uncertain,4,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Agree,8,,Disagree,8,,Agree,8,
Danthine,Jean-Pierre,Disagree,6,,Agree,5,"under the assumption of a prepared, coordinated exit",Agree,3,Staying in the euro under reduced debt is better if the necessary reforms are also implemented
De Grauwe,Paul,Uncertain,2,,Uncertain,4,,Agree,3,
Eeckhout,Jan,Uncertain,3,,Disagree,9,,Agree,7,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,No Opinion,,,Strongly Disagree,1,,Strongly Agree,5,
Fuchs-Schündeln,Nicola,Uncertain,5,,Uncertain,8,,Agree,5,
Galí,Jordi,Agree,7,,Uncertain,7,,Agree,8,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Agree,7,,Uncertain,5,,Uncertain,5,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Disagree,7,,Disagree,7,,Agree,8,
Guiso,Luigi,Uncertain,5,,Disagree,8,,Agree,6,
Honohan,Patrick,Uncertain,8,Official lenders can string this out for at least another decade; but Greece may not be willing to deliver the primary surpluses entailed.,Disagree,8,"Weak short or medium-term export supply elasticity. Exit unlikely to improve financial, macroeconomic or political stability.",Strongly Agree,8,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
