Last Name,First Name,"Debt Sustainability


Debt sustainability analysis – for example, as practiced currently by the International Monetary Fund – substantially improves the ability to predict future sovereign debt crises.



Details on IMF debt sustainability analysis are here: https://www.imf.org/en/About/Factsheets/Sheets/2023/imf-world-bank-debt-sustainability-framework-for-low-income-countries","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"The European Commission’s proposed move from the existing EU fiscal rules to ones based on debt sustainability analysis would be a measurable improvement.



Details on the EU’s propose fiscal rules are here: https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2393",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"A move from the existing fiscal rules to independent fiscal councils would be more effective than a move to rules based on debt sustainability.



Details on the EU’s propose fiscal rules are here:


https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2393",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,Debt sustainability is a complex issue and depends on political as well as economic factors. The IMF methodology is not perfect but it's better than nothing.,Agree,5,"The fiscal rules that have been used in the past, don't take into account interest rates and other important factors that are included in the debt sustainability analysis.",Uncertain,5,"Difficult to know how the independent fiscal councils would operate in practice.  In particular, they may not be that independent."
Antras,Pol,No Opinion,,,Agree,8,,Uncertain,7,
Bénassy-Quéré,Agnès,Agree,8,Not an exact science but still helps.,Strongly Agree,10,"Existing rules are unworkable, with many problems. No silver bullet but a good reform, although the technicalities still need some work.",Uncertain,8,
Blanchard,Olivier,Agree,9,"it gives a clear sense of trajectories and uncertainty under existing policies. 
",Strongly Agree,9,too many factors have to take into account to be able to write down a simple and good rule.   ,Disagree,9,Both are needed. 
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,6,,Uncertain,6,,Uncertain,6,
Carletti,Elena,Agree,6,,Uncertain,5,,Agree,6,
Danthine,Jean-Pierre,Agree,3,,Agree,6,,Strongly Agree,6,
De Grauwe,Paul,Agree,7,,Agree,8,,Uncertain,5,
Eeckhout,Jan,Agree,6,,Agree,6,,Agree,6,
Fehr,Ernst,No Opinion,,,No Opinion,,,No Opinion,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,3,,Uncertain,3,,Agree,4,
Galí,Jordi,Agree,7,,Agree,7,,Uncertain,7,
Garicano,Luis,Disagree,7,"The issue is, of course, the politics. It is very hard for a multilateral institution, not just the Fund, to make an objective SSA given the stakes for the country. A recent case in point is Argentina.",Disagree,9,"Given the political economy considerations plaguing a multilateral institution worried about impacting future market access for the country in question , the more flexible and open to interpretation and assumptions the analysis, the less credible. Rules need predictability. ",Strongly Agree,9,
Gorodnichenko,Yuriy,Agree,4,,Agree,5,,Agree,6,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Agree,9,,Agree,9,,Uncertain,9,
Guiso,Luigi,Agree,6,,Agree,7,,Uncertain,5,
Guriev,Sergei,Strongly Agree,8,,Agree,6,,Agree,6,
Honohan,Patrick,Uncertain,10,It's not really intended to predict sovereign crises but to help steer policy away from high risk zones.  Current IMF DSA is better in this respect than what came before.   ,Uncertain,7,"It's a bit better than what is there now, but still too much fixation on 3% and 60% and on expenditure as the control variable.",Disagree,8,A retreat to national level assessment would be a move in the wrong direction.
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Disagree,5,"Debt sustainability analysis helps issuers to increase their debt level because IMF serves as a neutral agent assessing their repayment capacity. However, repayment capacity is only a necessary condition for redemption, as willingness to repay is also needed.    ",Disagree,5,"I disagree because sustainability assessment will only increase debt levels without forcing countries to restructure their debt if levels have risen by too much... For the latter, a European sovereign debt restructuring scheme would be needed - but it is still lacking... ",Agree,5,"I would definitely prefer councils over rules, but I would also prefer the twin set of no debt limits coupled with a credible restructuring regime over both options mentioned in the question."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,No Opinion,,,Uncertain,2,,No Opinion,,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Agree,8,,Agree,8,
Pagano,Marco,Uncertain,6,,Uncertain,6,,Uncertain,3,
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Disagree,10,"The purpose of DSA is not to predict debt crises but to propose a sustainable path with implications for requirements of external support or debt restructuring, easing of terms (maturities, interest rates).",Strongly Disagree,10,This is a misguided use of DSA. See comment on previous question.,Agree,9,
Prendergast,Canice,No Opinion,,,Agree,5,,No Opinion,,
Propper,Carol,No Opinion,,,No Opinion,,,No Opinion,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,5,"In absolute terms, prediction performance is poor. But relative to other approaches, DSA fares well.",Agree,5,,Agree,4,It depends on the institutional support.
Repullo,Rafael,Agree,4,,Agree,4,,Uncertain,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Strongly Agree,8,,Agree,7,Existing existing EU fiscal rules are dormant. Switching to debt sustainability rules would be economically and politically sound. A fresh start with a better framework,Disagree,8,"Fiscal policy is inherently a political issue. Fiscal councils serve best as non-partisan fact providers. ""Independent"" fiscal councils are mirage because a democracy cannot commit to future fiscal policy. They become irrelevant once they go against current government"
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
