Last Name,First Name,"Holding other policies fixed, the average European would be better off if every European country taxed corporate profits at a rate of 20% (based as closely as possible on a common definition of profits).","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If other policies were held fixed and every European country taxed corporate profits at a common rate of 20%, then reducing that common rate substantially below 20% would make the average European better off.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Did Not Answer,,,Did Not Answer,,
Bénassy-Quéré,Agnès,Disagree,8,"Economic geography would argue for some rate diversity, possibly with a floor.",Disagree,8,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,7,"sure of the answer if ``at a common rate''.  Not sure about the 20%, if different from current mean",Agree,7,"if by average, we mean ``mean''.  Distribution effects between capital and labor income might have adverse implications.   "
Bloom,Nicholas,Agree,7,,Uncertain,4,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,3,,Disagree,3,
De Grauwe,Paul,Uncertain,5,"My uncertainty stems from the fact that the question does not make clear how the tax cut will be financed (higher deficit, less spending)?",Disagree,7,
Eeckhout,Jan,Agree,7,What is important is the common rate across countries. It is not clear to me that 20% is the correct level.,Disagree,8,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,
Garicano,Luis,Agree,7,Base harmonization is key. Current chaos is inefficient (encourages tax arbitrage) and unfair (profit shifting leads to absurdly low rates),Disagree,6,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Strongly Agree,10,Lack of coordination of corporate taxes leads to inefficient distortion of corporate real and financial activities.,Uncertain,10,"It depends crucially on factors we do not measure well, e.g. is incidence of corporate tax, and income shifting from labour income"
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,7,,Disagree,5,
Hellwig,Martin,Disagree,10," The ""average European"" does not exist. The counterpart of the tax cut in the budget is undefined. Any affirmative statement is unfounded. ",Disagree,10,"The ""average European"" does not exist. The counterpart of the tax cut in the budget is undefined. Any affirmative statement is unfounded. "
Honohan,Patrick,Uncertain,6,Probably needs to be accompanied by coordinated anti-avoidance work to limit tax avoidance practices of MNCs simply shifting to non-EU.,Disagree,6,"Despite theoretical propositions arguing strongly against corporation tax, a nonzero rate is surely needed in a second-best world."
Kőszegi,Botond,Agree,4,,Disagree,6,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,6,The effect of lower tax rate on average income is probably stronger than that of lower taxable income (given concurrent US-tax reduction).,Strongly Disagree,1,Same as before.
Krusell,Per,Agree,6,Harmonization eliminates unnecessary wedges. ,Uncertain,6,It depends on how the resulting debt will be financed. 
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,3,Weakly agree but case in EU not clear cut (see link). Only effective if base harmonized too. Tricky Q as ctries like IRE need big adjustment,Disagree,3,"Benefits are uncertain & concerns about effect on inequality, esp if policies are fixed & govnmts cannot compensate for inequality effects"
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Did Not Answer,,,Did Not Answer,,
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,6,,Uncertain,3,
Pastor,Lubos,Disagree,5,Not until Europe adopts common fiscal policy. Corporate tax is more harmful to growth than other taxes. Tax competition helps keep it low.,Agree,5,Corporate tax should be low as it is harmful to growth. Rules must prevent personal income from avoiding tax by becoming corporate income.
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,Effective rates already in range 20-30 (Ireland lower). Good to minimize incentives for tax avoidance.,Disagree,4,
Prendergast,Canice,Uncertain,8,,Uncertain,8,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Agree,6,,Disagree,6,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,8,Tax harmonization across countries would be beneficial to reduce regulatory arbitrage. I am less sure that 20% is indeed the right number.,Uncertain,7,
Van Reenen,John,Agree,6,Reduce harmful tax competition,Strongly Disagree,8,
Vickers,John,Agree,5,,Disagree,5,Answer might be different if other policies not held fixed
Voth,Hans-Joachim,Strongly Agree,7,,Uncertain,5,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,1,Yes but the implied loss of tax revenue should be compensated by either less distortionary taxes or by inefficient spending cuts.,Uncertain,4,It may be difficult to make up for too large revenue losses.
Zilibotti,Fabrizio,Agree,8,,Disagree,8,
