Last Name,First Name,"If it is implemented, the proposed increase in the tax rate on earned and business income above $400,000 in the Biden budget, along with other proposed changes to Medicare, would extend the solvency of the Medicare program for the next 25 years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"If it is implemented, the proposed reform of Medicare drug negotiations in the Biden budget is likely to lead to a substantial reduction in drug prices for beneficiaries.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"If it is implemented, the proposed reform of Medicare drug negotiations in the Biden budget is likely to lead to a substantial reduction in the development of beneficial new drugs.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,,Agree,4,,Uncertain,4,"Composition of pharma innovation is highly responsive to profits. This may lead to excessive investment in expensive drugs for end-of-life care. Lower profit margins across the board may not have huge effects on overall R&D, and may even lead to better composition of R&D."
Altonji,Joseph,Agree,4,,Agree,3,,Uncertain,3,
Auerbach,Alan,Uncertain,3,,Agree,3,,Uncertain,3,
Autor,David,Agree,8,,Agree,7,,Uncertain,7,"The incentives around drug development are so distorted that it's hard to say. Reducing profits will reduce R&D, but whether these would have been ""beneficial new drugs"" is much less certain."
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,No Opinion,,,Agree,2,,Uncertain,4,
Brunnermeier,Markus,Agree,5,,Agree,7,,Uncertain,7,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Strongly Agree,5,,Strongly Agree,5,,Disagree,5,
Deaton,Angus,Agree,7,,Agree,8,,Disagree,7,The make plenty already. 
Duffie,Darrell,Uncertain,2,"Money is fungible--hard to say that this particular tax is the source of revenue that will ""save Medicare,"" which draws on the entire fiscal purse. Anyway, it's hard (at least for me) to guess how much more funding Medicare needs to survive in its current form. ",Agree,2,"Something related to this approach worked in Canada, for example. ",Uncertain,1,"The concept is that if pharma firms can't anticipate large markups on marginal cost per unit, then they won't commit large amounts of capital to high-risk multi-year R&D. That's a reasonable guess, but I'm not confident enough in this topic to click 'Agree.'"
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,5,,Agree,5,,Uncertain,5,
Einav,Liran,No Opinion,,,Uncertain,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Agree,5,,Disagree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Disagree,4,"There is only one budget constraint, that of the fed gov. It is meaningless to talk about the solvency of a federal program.",No Opinion,,,No Opinion,,
Hart,Oliver,Uncertain,5,,Agree,5,,Disagree,5,
Holmstr̦m,Bengt,Uncertain,3,Depends on follow-up actions,Agree,4,,Uncertain,3,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Agree,5,,Agree,5,,Disagree,5,
Judd,Kenneth,Agree,7,"Yes, but the taxes will reduce economic efficiency.",Agree,7,,Uncertain,7,The market is much bigger than just Medicare.
Kaplan,Steven,Strongly Disagree,7,Does not solve structural problems.  And will reduce long-term growth.,Agree,2,Will reduce costs.  Not clear if substantial.,Agree,3,"Will reduce incentive to invest in new drugs, but substantial depends on how much price reduction.  Also, possible that drug discovery improves with technology."
Kashyap,Anil,Uncertain,2,"Definitely would improve solvency, but a lot hinges on how fast health care costs grow.  ",Agree,2,,Agree,3,
Klenow,Pete,Uncertain,4,,Disagree,3,,Disagree,3,
Levin,Jonathan,Uncertain,4,25 years is a long time to predict anything,Agree,4,,Uncertain,4,
Maskin,Eric,Disagree,3,"Administrations usually make over-optimistic long-term predictions. Mainly for that reason, I am skeptical of this prediction.",Agree,5,,Uncertain,4,"Economic logic suggests that capping drug prices will induce less drug discovery. But whether this effect will be ""substantial"" is hard to predict."
Nordhaus,William,Agree,5,,Uncertain,5,,Disagree,7,
Obstfeld,Maurice,Uncertain,2,,Agree,2,,Uncertain,2,
Saez,Emmanuel,Agree,7,,Agree,6,,Disagree,5,
Samuelson,Larry,Agree,6,"One would need to look more carefully at the details to be sure, but it looks as if the proposed funding increases would suffice.",Uncertain,1,"Enhanced Medicare negotiating power should lower prices, but it remains to be seen if the expansion is enough to ensure significant reductions.",Uncertain,1,"Drugs research will remain lucrative, and so the dire projections of the drug industry may not come to pass."
Scheinkman,Jos̩,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,No Opinion,,Not enough information.,No Opinion,,"Not enough information to have an opinion on ""substantially.""",No Opinion,,"Not enough information to have an opinion on ""substantial""."
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Disagree,3,"Biden's revenue expectations are optimistic, as are his expectations of government savings from pharmaceutical price negotiations.",Agree,3,,Agree,3,
Stock,James,Agree,3,,Agree,4,,Disagree,4,
Thaler,Richard,Agree,4,"I read this question as asking whether it will *help* solvency, which it will. Solve is a big word. 
",Uncertain,1,You lose me at substantial. It should help!,Uncertain,1,Same problem. I dont' know the scope. Pharma came up big on Covid without a huge profit incentive but that will not always be the case. 
Udry,Christopher,Agree,4,Also have to deal with Medicare advantage,Agree,3,"Probably, at least in the short term",Agree,3,
