Last Name,First Name,"Rather than using second-round runoffs to settle elections in which no candidate wins a first-round majority, the overall preferences of the electorate would be better reflected by using a single round with ranked-choice voting, in which voters are instructed to rank all of the candidates.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,4,There are complicated trade-offs here.  Multi-rounds take more time and so attention but allow attention to focus on the finalists.
Antras,Pol,Uncertain,4,
Blanchard,Olivier,Agree,6,"it sounds right to this non expert, but one should never forget the Arrow impossibility theorem"
Bloom,Nicholas,Uncertain,3,
Blundell,Richard William,Agree,6,
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Did Not Answer,,
De Grauwe,Paul,No Opinion,,This is not my expertise. I am not a political scientist
Eeckhout,Jan,Uncertain,6,
Fehr,Ernst,No Opinion,,
Freixas,Xavier,Strongly Disagree,7,More easy to manipulate. Coordination may lead to the worst choices
Fuchs-Schündeln,Nicola,Did Not Answer,,
Galí,Jordi,Did Not Answer,,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,Agree,2,
Guerrieri,Veronica,No Opinion,,
Guiso,Luigi,Uncertain,3,
Guriev,Sergei,Strongly Agree,8,
Honohan,Patrick,Agree,4,Uses more information for final choice. Better especially when more than two candidates attract sizeable first preferences.
Javorcik,Beata,Did Not Answer,,
Kőszegi,Botond,Disagree,3,
Krahnen,Jan Pieter,Disagree,3,The ranking procedure may give undue weight to the group of similar-positioned candidates (doubles).
La Ferrara,Eliana,Did Not Answer,,
Leuz,Christian,Uncertain,4,
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Did Not Answer,,
Pagano,Marco,No Opinion,,
Pastor,Lubos,No Opinion,,
Persson,Torsten,Disagree,7,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,8,"With ranking, question is how you aggregate. I prefer single transferable vote: lowest in first count is eliminated, new count, etc."
Prendergast,Canice,Uncertain,8,
Propper,Carol,No Opinion,,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,
Reis,Ricardo,Did Not Answer,,
Repullo,Rafael,Disagree,4,"No voting system is perfect, but requiring voters to rank all of the candidates is too complicated. 
"
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Uncertain,5,"as initial expression of preferences, ranked system likely more informative. for final formation of gov other institutions play a role too"
Storesletten,Kjetil,Strongly Agree,8,Ranked-choice voting is optimal but takes time to get used to. Better start ASAP
Sturm,Daniel,Disagree,5,Simplicity is key for democratic voting systems and I doubt most voters understand how ranked-choice voting really works.  
Van Reenen,John,Disagree,8,
Vickers,John,Uncertain,4,
Voth,Hans-Joachim,Uncertain,6,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Agree,4,
Zilibotti,Fabrizio,Did Not Answer,,
