Last Name,First Name,"A common European deposit insurance scheme, once fully implemented, would increase the stability of European economies in the event of another financial crisis.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"A common European deposit insurance scheme, once fully implemented, would increase the likelihood of another financial crisis in Europe.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Theoretically it can go both ways as deposit insurance can increase risk taking.  Empirically there is some evidence crises can increase.,Uncertain,6,Complicated issue because of the effect of deposit insurance on risk taking.
Antras,Pol,Uncertain,4,,Disagree,5,
Bénassy-Quéré,Agnès,Strongly Agree,9,,Strongly Disagree,9,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,9,,Strongly Disagree,9,
Bloom,Nicholas,No Opinion,,,No Opinion,,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Agree,8,,Disagree,8,
Danthine,Jean-Pierre,Strongly Agree,1,,Disagree,3,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,5,,Uncertain,5,
Fehr,Ernst,Agree,8,,Disagree,8,
Freixas,Xavier,Strongly Agree,10,,Agree,10,Empirical evidence on emerging countries seems to indicate this. Could we extrapolate to Europe? Not obvious
Fuchs-Schündeln,Nicola,Agree,9,,Uncertain,4,
Galí,Jordi,Agree,7,,Disagree,7,Not with adequate supervision and macroprudential policies 
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Disagree,7,,Strongly Disagree,7,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Agree,8,,Disagree,8,
Guiso,Luigi,Agree,8,,Strongly Disagree,8,
Honohan,Patrick,Agree,8,Though not the most valuable form of cross-border risk-sharing,Disagree,8,Removing bank default risk from small depositors would not imply a dangerous subsidy of risk-taking by supervised banks
Javorcik,Beata,Disagree,6,,Agree,3,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,7,"“Fully implemented” implies implementation in a way that minimizes moral hazard, e.g. through a  European reinsurance scheme.",Disagree,7,"No, it would not iprovided it is implemented cleverly, e.g. relying on a reinsurance scheme."
Krusell,Per,Disagree,6,"A common system appears constraining, given differences in financial systems across countries.",Uncertain,2,Moral hazard is relevant but so is a risk of runs. I’m not an expert. 
La Ferrara,Eliana,Agree,3,,Uncertain,2,
Leuz,Christian,Agree,7,"In principle effect of DI in crisis is clear, but for EU DI much depends on implementation and harmonization. EU has mixed record on that.",Agree,7,Clear tradeoff w/ ex ante moral hazard. Evidence supports this & some suggests ex ante effect dominates but much depends on supervision.
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,9,,Strongly Disagree,7,
Neary,Peter,Did Not Answer,,,Did Not Answer,,
O'Rourke,Kevin,Strongly Agree,10,,Strongly Disagree,10,
Pagano,Marco,Strongly Agree,10,"Actually, creating a euro-wide deposit insurance system is a necessary element to complete the Banking Union and stabilise Europe's banks.",Strongly Disagree,10,"Quite the opposite: it is essential for systemic stability of the banking system. Of course, if it is well designed!"
Pastor,Lubos,Agree,10,,Disagree,10,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,9,,Strongly Disagree,9,
Prendergast,Canice,Agree,7,,Uncertain,8,
Reichlin,Lucrezia,Strongly Agree,1,,Strongly Disagree,1,
Repullo,Rafael,Strongly Agree,8,,Strongly Disagree,8,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,8,"A common scheme prevents a race to the bottom in the event of a crisis, and should include a fair contributn system across countries exante",Uncertain,8,
Sturm,Daniel,Agree,8,,Strongly Disagree,7,
Van Reenen,John,Agree,5,,Disagree,4,
Vickers,John,Agree,9,"But other measures matter more -- e.g. depositor preference for insured deposits.  Then, if(??) resolution works, deposits are safe anyway.",Uncertain,9,Uncertain because could distract from more fundamental issues such as the need for European banks to have much more capital
Voth,Hans-Joachim,Disagree,7,,Agree,7,
Weder di Mauro,Beatrice,Strongly Agree,10,,Strongly Disagree,10,
Whelan,Karl,Agree,8,A common deposit insurance scheme will somewhat weaken the bank runs that occur in euro area countries with fiscal or banking problems.,Disagree,9,"While there is possibly an element of moral hazard with deposit insurance, crisis are generally due to inadequate banking regulation. "
Wyplosz,Charles,Agree,9,Helps break the doom loop,Disagree,8,Regulation and supervision needs to be strong
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
