Last Name,First Name,"Trade with China makes most Europeans better off because, among other advantages, they can buy goods that are made or assembled more cheaply in China.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Some Europeans who work in the production of competing goods, such as clothing and furniture, are made worse off by trade with China.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"If the EU followed the new US steel tariffs by imposing similar EU tariffs on steel from China, it would improve Europeans’ welfare.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,7,"By and large, I agree with free trade. The question is well phrased to avoid some of the downsides of free trade.",Agree,7,"In the short run this is often true. In the medium and long term, it's more difficult to say. Retraining is not that successful so far.",Disagree,6,"Contrary to what President Trump said, outcomes of trade wars are difficult to predict but are probably not good for anybody."
Antras,Pol,Strongly Agree,8,,Strongly Agree,8,,Strongly Disagree,10,
Bénassy-Quéré,Agnès,Agree,8,,Strongly Agree,10,,Disagree,8,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,1,
Blanchard,Olivier,Strongly Agree,8,People as consumers win.  People as workers may lose.  ,Agree,9,"indeed, some workers will lose their jobs.  Some will find better ones, some will have a tougher time.",Disagree,7,
Bloom,Nicholas,Strongly Agree,10,,Strongly Agree,9,,Strongly Disagree,8,
Blundell,Richard William,Agree,8,,Agree,6,,Disagree,8,
Carletti,Elena,Uncertain,3,,Agree,3,,Uncertain,3,
Danthine,Jean-Pierre,Agree,3,,Agree,3,,Disagree,3,
De Grauwe,Paul,Agree,8,,Agree,7,,Disagree,7,
Eeckhout,Jan,Strongly Agree,10,,Uncertain,5,,Strongly Disagree,9,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,1,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,8,,Agree,8,,Strongly Disagree,8,
Galí,Jordi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Garicano,Luis,Strongly Agree,9,,Strongly Agree,1,,Strongly Disagree,9,"(1) China retaliation and inevitable  escalation
(2) destroying rule based-trade, where disputes are settled by WTO norms and ""courts"""
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,Did Not Answer,1,
Griffith,Rachel,Strongly Agree,8,,Agree,8,,Disagree,6,
Guerrieri,Veronica,Agree,7,,Agree,7,,Strongly Disagree,7,
Guiso,Luigi,Agree,7,it is true that consumers can buy cheaper manufacturing goods and accordingly benefit from imports from China ,Strongly Agree,9,This is obviuosly  also true. Displaced workers  and workers in Western Europe who lost their  jobs due to relocatiion  will be worse off,Disagree,8,
Honohan,Patrick,Agree,3,,Agree,3,,Disagree,3,Full implications obviously wider than the direct impact of tariff shifting demand curve.  Would impact EU's position in a tariff war.
Kőszegi,Botond,Agree,9,,Agree,8,,Disagree,6,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,7,"Trade with China, as with other countries, is of a reciprocal nature, and it helps Europeans (and Chinese) in consumption and employment.",Agree,5,This statement is in a way a no-brainer. But it begs the question whether it does not also help affected European producers to find a niche.,Strongly Disagree,6,I do not believe in strategic trade policy as an instrument of welfare improvement: European and Chinese welfare are not substitutes. 
Krusell,Per,Strongly Agree,8,,Agree,8,,Disagree,6,It might trigger further tariff increased. 
La Ferrara,Eliana,Agree,4,,Uncertain,4,,Disagree,4,
Leuz,Christian,Agree,5,,Agree,5,,Disagree,5,"Small group might benefit from tariffs, but most are hurt. Overall costs outweigh benefits considering how widely steel is used in economy."
Meghir,Costas,Agree,8,The key is in the word most. Need to recognize the distributional impacts of trade. There are gainers and losers even if on average we gain,Agree,8,,Strongly Disagree,9,
Neary,Peter,Strongly Agree,8,"Gains from trade on average is one of the most widely accepted predictions of economic theory, stemming from specialisation and wider choice",Agree,7,"As with any change to an economy's structure, it is inevitable that some groups will suffer. Such gains can be offset by a social safety net",Strongly Disagree,6,"Policy effects in multilateral contexts are hard to predict, but for both economic and political reasons such tariffs would entail self-harm"
O'Rourke,Kevin,Agree,7,,Agree,7,,Disagree,7,
Pagano,Marco,Agree,6,,Agree,6,,Uncertain,6,
Pastor,Lubos,Strongly Agree,5,,Agree,5,,Disagree,5,
Persson,Torsten,Agree,8,"On top of the benefits mentioned in the question, we benefit from cheaper goods from Europe due to cheaper intermediate inputs from China.",Agree,5,,Disagree,6,Such tariffs would escalate the risks of a full-blown tripartite trade war to the detriment of everybody.  
Pissarides,Christopher,Strongly Agree,1,"It also benefits European luxury goods maker, whose biggest market today is China",Uncertain,8,They are made better off if they move to new jobs. An economy has to evolve for everyone's benefit,Strongly Disagree,10,Europe has no comparative advantage in steel production. Let it go to China and let Europe produce more hi-tech goods
Portes,Richard,Strongly Agree,9,,Agree,8,,Strongly Disagree,8,
Prendergast,Canice,Strongly Agree,8,,Agree,8,,Disagree,8,
Reichlin,Lucrezia,Agree,6,,Uncertain,3,,Disagree,5,
Repullo,Rafael,Strongly Agree,7,,Agree,7,,Strongly Disagree,9,
Rey,Hélène,Agree,6,Consumers benefit from cheaper goods. But environmental costs of trade are not priced; some workers and producers are worse off,Agree,7,Recent research papers have documented negative effect of Chinese imports on labour market (in line with trade theory) and on health.,Disagree,6,Trade wars are not conducive to higher welfare.
Schoar,Antoinette,Agree,8,,Agree,4,,Strongly Disagree,8,
Van Reenen,John,Strongly Agree,9,Chinese trade has also simulated productivity growth and innovation in Europe - see link ,Uncertain,5,,Strongly Disagree,10,
Vickers,John,Strongly Agree,8,,Uncertain,5,Wider long-term gains from trade may offset short-run losses for workers in such sectors.  ,Strongly Disagree,8,
Voth,Hans-Joachim,Agree,7,,Agree,7,,Uncertain,7,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,10,No brainer,Strongly Agree,9,,Strongly Disagree,10,China would retaliate. It would worsen the trend toward global protectionism.
Zilibotti,Fabrizio,Strongly Agree,10,,Agree,9,"This is natural, and this is why one needs social policies, retraining programs, fluid labor markets etc. But there are many new jobs too...",Strongly Disagree,10,
